contract_id,method,n_successful_replications,n_failed_replications,mean_estimated_price,empirical_std_estimates,mean_model_reported_standard_error,observation_variance,estimator_variance,high_precision_reference_price,bias_vs_reference,absolute_bias,rmse,mae,ci95_coverage,mean_ci_width,computational_efficiency_runtime,computational_efficiency_paths,failed_replication_errors,variance_reduction_ratio_vs_mc_mean,variance_reduction_ratio_vs_mc_median,variance_reduction_ratio_vs_mc_std,variance_reduction_ratio_vs_mc_ci95_lower,variance_reduction_ratio_vs_mc_ci95_upper,variance_reduction_ratio_vs_gcv_mean,variance_reduction_ratio_vs_gcv_median,variance_reduction_ratio_vs_gcv_std,variance_reduction_ratio_vs_gcv_ci95_lower,variance_reduction_ratio_vs_gcv_ci95_upper
maturity_long,AV,2,0,8.89392261942481,0.28880534977746214,0.41355921902018233,34.233545091294516,0.17116772545647257,9.32813899928098,-0.4342163798561707,0.4342163798561707,0.47984177555256713,0.43421637985617156,1.0,1.6211521385591148,31212.707222559755,0.014605557171090307,,4.332494256991042,4.332494256991042,0.039963481355403944,4.277107697605235,4.38788081637685,0.012409662536570745,0.012409662536570745,0.009600860350846747,-0.0008964510436744819,0.02571577611681597
maturity_long,GCV,2,0,9.320026794186411,0.014964184718234493,0.04452526832951848,0.4379474028774878,0.002189737014387439,9.32813899928098,-0.008112205094569447,0.008112205094569447,0.013333089800833647,0.010581276489191715,1.0,0.1745390518517116,885230.5692762277,1.8267033774916426,,496.4528097246425,496.4528097246425,380.8653621053636,-31.399651592351574,1024.3052710416366,1.0,1.0,0.0,1.0,1.0
maturity_long,MC,2,0,9.436199135748254,0.21119871039211213,0.8608835422839474,148.37125211886084,0.7418562605943042,9.32813899928098,0.10806013646727308,0.10806013646727308,0.1843351315646898,0.14934004029611625,1.0,3.3746634857530733,9809.732241597367,0.006739850110578671,,1.0,1.0,0.0,1.0,1.0,0.002854223940006056,0.002854223940006056,0.0021896845241809594,-0.00018052398038083005,0.0058889718603929424
maturity_long,NCV_SCRATCH,0,2,nan,0.0,nan,nan,nan,9.32813899928098,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
maturity_long,NCV_TRANSFER_BETA,0,2,nan,0.0,nan,nan,nan,9.32813899928098,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
maturity_long,NCV_TRANSFER_BETA1,0,2,nan,0.0,nan,nan,nan,9.32813899928098,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
maturity_short,AV,2,0,4.25965024516478,0.02934141196880858,0.20905917801019347,8.741569890537905,0.043707849452689525,4.1066726938470675,0.1529775513177123,0.1529775513177123,0.15437807627809388,0.1529775513177123,1.0,0.8195119777999587,123540.72103033835,0.05719796401115692,,4.063266546505423,4.063266546505423,0.00015816142119828654,4.063047345959058,4.0634857470517876,0.0017419206372733162,0.0017419206372733162,0.0002511458794116804,0.0013938502066511624,0.0020899910678954703
maturity_short,GCV,2,0,4.110082574690404,0.011892835470885951,0.00871708238468286,0.015248690213371377,7.624345106685689e-05,4.1066726938470675,0.003409880843336488,0.003409880843336488,0.009074527818819815,0.008409504608999363,1.0,0.03417096294795652,26221351.30790885,52.46352236197247,,2357.128330749615,2357.128330749615,339.75423071943277,1886.252990611697,2828.003670887533,1.0,1.0,0.0,1.0,1.0
maturity_short,MC,2,0,4.192939932913765,0.34678078837884174,0.4214120368388655,35.519342083575175,0.1775967104178759,4.1066726938470675,0.08626723906669742,0.08626723906669742,0.2599432517502932,0.2452110470478961,1.0,1.6519351844083527,38261.37278545125,0.028153674627391795,,1.0,1.0,0.0,1.0,1.0,0.00042869837131466536,0.00042869837131466536,6.179217459507923e-05,0.00034305878658099585,0.0005143379560483348
maturity_short,NCV_SCRATCH,0,2,nan,0.0,nan,nan,nan,4.1066726938470675,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
maturity_short,NCV_TRANSFER_BETA,0,2,nan,0.0,nan,nan,nan,4.1066726938470675,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
maturity_short,NCV_TRANSFER_BETA1,0,2,nan,0.0,nan,nan,nan,4.1066726938470675,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
reference,AV,2,0,6.238881729743781,0.09418508504705567,0.28945670588812633,16.770516972000465,0.08385258486000233,6.161507615845044,0.07737411389873738,0.07737411389873738,0.1020890230351697,0.07737411389873783,1.0,1.1346702870814553,61977.719475860875,0.029814227005332303,,4.484081011993183,4.484081011993183,0.03645034581015147,4.433563410063235,4.534598613923131,0.003918340746527548,0.003918340746527548,0.0006884168161721802,0.0029642437164910736,0.0048724377765640235
reference,GCV,2,0,6.149184758417976,0.0005645925034271182,0.018115878896984655,0.06617531215729316,0.00033087656078646584,6.161507615845044,-0.01232285742706729,0.01232285742706729,0.012329322670580511,0.01232285742706729,1.0,0.07101424527617972,5358377.824802152,12.089100510753424,,1161.4914772280802,1161.4914772280802,194.760988979997,891.5665178321058,1431.4164366240545,1.0,1.0,0.0,1.0,1.0
reference,MC,2,0,6.401821500341372,0.09231312277461019,0.6129907861171977,75.22485643430355,0.3761242821715177,6.161507615845044,0.24031388449632818,0.24031388449632818,0.2490213231832055,0.24031388449632773,1.0,2.402923881579415,18091.964989338052,0.013293478344798628,,1.0,1.0,0.0,1.0,1.0,0.0008732384836773511,0.0008732384836773511,0.00014642620633108352,0.0006703021153346969,0.0010761748520200054
