contract_id,method,comparator,arithmetic_mean,median,geometric_mean,std_dev,minimum,maximum,log_vrr_ci95_lower,log_vrr_ci95_upper,n_valid_replications,n_invalid_replications,beats_comparator_count,beats_comparator_percentage
maturity_long,AV,GCV,0.008878461264736424,0.008878461264736424,0.008842260524955988,0.0011326987580378097,0.008077522291886309,0.00967940023758654,0.007405671256602811,0.010557526587679084,2,0,0,0.0
maturity_long,AV,MC,4.07509633836006,4.07509633836006,3.9966649333588085,1.1252373770681436,3.279433358590612,4.870759318129509,2.71228821672773,5.889245284120715,2,0,2,100.0
maturity_long,GCV,GCV,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0.0
maturity_long,GCV,MC,470.90354293014093,470.90354293014093,451.99583546297987,186.8149430226702,338.8054298918323,603.0016559684495,256.9056487049761,795.2345007037596,2,0,2,100.0
maturity_long,MC,GCV,0.002304958397596827,0.002304958397596827,0.0022124097647397544,0.0009144137439215582,0.001658370238459714,0.00295154655673394,0.00125749071389009,0.0038924796128105943,2,0,0,0.0
maturity_long,MC,MC,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0.0
maturity_long,NCV_SCRATCH,GCV,0.002625370456372188,0.002625370456372188,0.0025585426812025944,0.000832381380926499,0.002036787937385638,0.003213952975358738,0.0016362921104833212,0.0040005941540607855,2,0,0,0.0
maturity_long,NCV_SCRATCH,MC,1.1585456092843267,1.1585456092843267,1.1564506367578595,0.09848709087320012,1.088904719468551,1.2281864991001021,1.0277752363543218,1.301235939485705,2,0,2,100.0
maturity_long,NCV_TRANSFER_BETA,GCV,0.002504091623343638,0.002504091623343638,0.002484312767619562,0.00044421825883727076,0.0021899818801929226,0.002818201366494353,0.0019402844436180143,0.003180878941568537,2,0,0,0.0
maturity_long,NCV_TRANSFER_BETA,MC,1.1376923128970498,1.1376923128970498,1.122899024951552,0.2586177820177582,0.9548219254968685,1.3205627002972309,0.8171857679356637,1.5429811307438432,2,0,1,50.0
maturity_long,NCV_TRANSFER_BETA1,GCV,0.00253733943812767,0.00253733943812767,0.0024923101376546596,0.0006730254111426265,0.0020614386059978544,0.003013240270257485,0.0017180507695916001,0.0036154984079619238,2,0,0,0.0
maturity_long,NCV_TRANSFER_BETA1,MC,1.1319765291129833,1.1319765291129833,1.1265138029020727,0.15708287197391702,1.0209021651319683,1.2430508930939983,0.9288419638892671,1.3662532459398862,2,0,2,100.0
maturity_short,AV,GCV,0.0017243016193767406,0.0017243016193767406,0.001694083583707697,0.0004545258760452193,0.00140290329020041,0.0020456999485530714,0.0011705687276646083,0.002451730616717965,2,0,0,0.0
maturity_short,AV,MC,4.3627304867304115,4.3627304867304115,4.362043865360721,0.10945881888518953,4.285331413636023,4.440129559824799,4.2129569850998925,4.516406588205397,2,0,2,100.0
maturity_short,GCV,GCV,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0.0
maturity_short,GCV,MC,2629.8786411681067,2629.8786411681067,2574.8693318979495,756.7160510040954,2094.7995900704054,3164.957692265808,1718.3604741778738,3858.3010817451463,2,0,2,100.0
maturity_short,MC,GCV,0.00039666631234784095,0.00039666631234784095,0.00038836922231812626,0.00011413597599047091,0.000315959989747634,0.0004773726349480479,0.00025918143214155034,0.0005819500710282784,2,0,0,0.0
maturity_short,MC,MC,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0.0
maturity_short,NCV_SCRATCH,GCV,0.0004655125699646037,0.0004655125699646037,0.0004524331151602933,0.00015495953730830972,0.00035593963032436805,0.0005750855096048393,0.00028272579031890857,0.0007240079635563304,2,0,0,0.0
maturity_short,NCV_SCRATCH,MC,1.165611380376502,1.165611380376502,1.1649561529612924,0.055263943776033435,1.1265338709773567,1.2046888897756474,1.0908412226246968,1.2441066675652128,2,0,2,100.0
maturity_short,NCV_TRANSFER_BETA,GCV,0.00040606739770474335,0.00040606739770474335,0.0004060345904583442,7.299702737350235e-06,0.00040090572839851697,0.0004112290670109697,0.00039604298148569007,0.00041627827371214807,2,0,0,0.0
maturity_short,NCV_TRANSFER_BETA,MC,1.0651460749839639,1.0651460749839639,1.0454860146609344,0.2880803853168091,0.8614424809996146,1.268849668968313,0.7153161318059539,1.5280530638838103,2,0,1,50.0
maturity_short,NCV_TRANSFER_BETA1,GCV,0.00044678825291902323,0.00044678825291902323,0.0004439363113666285,7.127824908939553e-05,0.0003963869196368078,0.0004971895862012387,0.0003555379913771247,0.0005543133317102051,2,0,0,0.0
maturity_short,NCV_TRANSFER_BETA1,MC,1.1480301858898465,1.1480301858898465,1.1430779934538307,0.15063869752384107,1.0415125413616293,1.2545478304180637,0.9525101195206658,1.3717726167318554,2,0,2,100.0
reference,AV,GCV,0.00313663717335577,0.00313663717335577,0.003087835920985937,0.0007794383649092554,0.002585491020011481,0.0036877833267000594,0.002180300224952128,0.004373127409616452,2,0,0,0.0
reference,AV,MC,4.126152747142303,4.126152747142303,4.124278130474358,0.17587720284849662,4.001788784352009,4.2505167099325964,3.8876228979782828,4.375339518232277,2,0,2,100.0
reference,GCV,GCV,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0.0
reference,GCV,MC,1350.1903523894894,1350.1903523894894,1335.6532652672454,279.4435279858878,1152.5939387919755,1547.7867659870035,1000.5058413370169,1783.0676956718842,2,0,2,100.0
reference,MC,GCV,0.0007568460349980162,0.0007568460349980162,0.0007486973049101288,0.00015664141414407475,0.0006460838288420905,0.0008676082411539418,0.0005608312025546435,0.0009994944144090744,2,0,0,0.0
reference,MC,MC,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0.0
reference,NCV_SCRATCH,GCV,0.001013804827062318,0.001013804827062318,0.0009708232073714783,0.00041304364758173534,0.0007217388629312465,0.0013058707911933897,0.0005429632489912777,0.001735840688521784,2,0,0,0.0
reference,NCV_SCRATCH,MC,1.311118309659237,1.311118309659237,1.296683186922935,0.27438635051720617,1.1170978605434914,1.5051387587749823,0.9681402292133963,1.736718748496515,2,0,2,100.0
strike_high,AV,GCV,0.011162472986263508,0.011162472986263508,0.009411126801501612,0.008488992342453901,0.00515984893547368,0.017165097037053337,0.002897827533823959,0.03056403690010714,2,0,0,0.0
strike_high,AV,MC,0.9107915989164965,0.9107915989164965,0.8794176230866364,0.3351596063415726,0.6737979684925567,1.1477852293404363,0.5217841093482423,1.4821749875851304,2,0,1,50.0
strike_high,GCV,GCV,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0.0
strike_high,GCV,MC,98.72610707701173,98.72610707701173,93.44445586965402,45.055030480643666,66.86738949758201,130.58482465644147,48.494084483320755,180.06044295524313,2,0,2,100.0
strike_high,MC,GCV,0.011306415297086696,0.011306415297086696,0.010701544470384657,0.0051598396910321675,0.00765785766172235,0.014954972932451042,0.0055536906584671905,0.020621071841122066,2,0,0,0.0
strike_high,MC,MC,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0.0
strike_high,NCV_SCRATCH,GCV,0.006949141622664739,0.006949141622664739,0.006175316780603412,0.004506890713352037,0.003762288637186837,0.010135994608142641,0.002338047155813047,0.016310422673036697,2,0,0,0.0
strike_high,NCV_SCRATCH,MC,0.5845326507010152,0.5845326507010152,0.5770491163862298,0.13185398752731364,0.4912978019939653,0.6777674994080651,0.42098980652594375,0.7909590150649125,2,0,0,0.0
strike_high,NCV_TRANSFER_BETA,GCV,0.011806309239258916,0.011806309239258916,0.011220985933372759,0.005191996251166073,0.008135013482164253,0.01547760499635358,0.005974099419616985,0.021076067951514236,2,0,0,0.0
strike_high,NCV_TRANSFER_BETA,MC,1.0486281754635511,1.0486281754635511,1.048538924865059,0.01934804480265007,1.0349470417808961,1.0623093091462061,1.0220646198169392,1.0756989877548955,2,0,2,100.0
strike_high,NCV_TRANSFER_BETA1,GCV,0.003372055361826281,0.003372055361826281,0.00309320669919401,0.0018988573823658637,0.0020293604302492416,0.00471475029340332,0.001354039781410621,0.007066208700287195,2,0,0,0.0
strike_high,NCV_TRANSFER_BETA1,MC,0.29013336010082835,0.29013336010082835,0.28904301689855294,0.03553874014592548,0.26500367594881785,0.31526304425283885,0.2438090028198172,0.34266932168850334,2,0,0,0.0
strike_low,AV,GCV,0.06745226638782625,0.06745226638782625,0.06714074657387886,0.009157334804018855,0.06097705285030894,0.07392747992534357,0.05559291972691295,0.08108730163196531,2,0,0,0.0
