base_seed,replication,contract_id,K,sigma,T,method,monitoring_dates,experiment_role,ncv_epoch,ncv_epoch_source,price,observation_variance,estimator_variance,std_error,ci_lower,ci_upper,pricing_observations,pricing_simulated_paths,pilot_paths,pilot_runtime_s,target_training_paths,target_training_runtime_s,shared_reference_training_paths,shared_reference_training_runtime_s,training_paths,total_simulated_paths,pricing_runtime_s,marginal_runtime_s,standalone_runtime_s,beta,corr_f_c0,param_hash,hash_verified,error,training_data_generation_runtime_s,optimizer_cumulative_training_runtime_s,validation_generation_and_evaluation_runtime_s,ncv_setup_cost_s,setup_cost_excludes_validation_generation_and_evaluation_runtime,validation_generation_and_evaluation_runtime_cost_scope,n_pricing,payoff_variance,control_variance,payoff_control_covariance,optimal_residual_variance,optimal_residual_variance_status,observed_residual_variance,residual_variance_beta_one,variance_improvement_from_estimating_beta,variance_improvement_from_estimating_beta_definition,e_h0,training_runtime_s,end_to_end_runtime_s,var_c0_pilot
42,0,strike_high,120.0,0.2,1.0,AV,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,0.5006748507533305,3.080683640352653,0.015403418201763266,0.12411050802314551,0.25741825502796534,0.7439314464786957,200,400,0,0.0,0,0.0,0,0.0,0,400,0.0024299749999272535,0.0024299749999272535,0.0024299749999272535,nan,nan,,,,,,,,,,,,,,,,,,,,,,,
42,0,strike_high,120.0,0.2,1.0,GCV,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,0.5446270872891837,0.05288023362711601,0.00026440116813558005,0.016260417218988573,0.5127566695399661,0.5764975050384014,200,200,50,0.0010474940000904098,0,0.0,0,0.0,0,250,0.002102020999927845,0.002102020999927845,0.003149515000018255,1.0869030965865827,0.9991595793569571,,,,,,,,,,,,,,,,,,,,,,,
42,0,strike_high,120.0,0.2,1.0,NCV_SCRATCH,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,0.41962473420218865,5.217073969695608,0.026085369848478042,0.16150965868479208,0.1030658031799962,0.7361836652243812,200,200,0,0.0,100,0.17871658100000332,0,0.0,100,300,0.00401728200006346,0.00401728200006346,0.18273386300006678,nan,nan,,,,0.0011670679999724598,0.17754951300003086,0.0,0.17871658100000332,True,research_tuning_overhead_excluded_from_operational_setup_cost,,,,,,,,,,,,,,
42,0,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,0.6578713193358783,11.215913958604299,0.05607956979302149,0.23681125351853846,0.1937212624395429,1.1220213762322135,200,200,0,0.0,0,0.0,100,1.2069169470000816,0,200,0.0025346819999185755,0.0025346819999185755,1.2094516290000001,1.0,0.21109550729710932,da51e340e039cb3d410e5a84f2f4c5d7180fa3d55f3225e03d0f655ed80116df,True,,,,,,,,200,3.5359631786675,10.217638109919063,1.2688436649911319,3.3783960159956092,ok,11.215913958604299,11.215913958604299,1.0,residual_variance_beta_one / observed_residual_variance,2.7599529067377064,1.2069169470000816,1.2094516290000001,
42,0,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,0.37532721783967715,3.4165643611898764,0.01708282180594938,0.13070126933564716,0.11915272994180875,0.6315017057375456,200,200,50,0.000672040000040397,0,0.0,100,1.2069169470000816,0,250,0.0021007779999990817,0.0021007779999990817,1.209689765000121,0.06306267590402445,0.07864871304527789,da51e340e039cb3d410e5a84f2f4c5d7180fa3d55f3225e03d0f655ed80116df,True,,,,,,,,200,3.5359631786675,10.217638109919063,1.2688436649911319,3.3783960159956092,ok,3.4165643611898764,11.215913958604299,3.282804821712232,residual_variance_beta_one / observed_residual_variance,2.7599529067377064,1.2069169470000816,1.209689765000121,8.786302877572206
42,0,volatility_low,100.0,0.1,1.0,MC,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,3.5551496507129996,19.730887721880997,0.09865443860940498,0.31409304132598187,2.939527289714075,4.170772011711924,200,200,0,0.0,0,0.0,0,0.0,0,200,0.0016194969999787645,0.0016194969999787645,0.0016194969999787645,nan,nan,,,,,,,,,,,,,,,,,,,,,,,
42,0,volatility_low,100.0,0.1,1.0,AV,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,3.6184105791527292,3.2161316280963015,0.016080658140481506,0.12680953489577,3.36986389075702,3.8669572675484383,200,400,0,0.0,0,0.0,0,0.0,0,400,0.002430807999985518,0.002430807999985518,0.002430807999985518,nan,nan,,,,,,,,,,,,,,,,,,,,,,,
42,0,volatility_low,100.0,0.1,1.0,GCV,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,3.6528860465681254,0.005967650485293626,2.983825242646813e-05,0.005462440153124621,3.642179663868001,3.66359242926825,200,200,50,0.0010471529999449558,0,0.0,0,0.0,0,250,0.002108964000058222,0.002108964000058222,0.003156117000003178,1.0205477092632267,0.9998944790719478,,,,,,,,,,,,,,,,,,,,,,,
42,0,volatility_low,100.0,0.1,1.0,NCV_SCRATCH,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,3.5767200007995643,15.531029306912632,0.07765514653456317,0.2786667302254848,3.030533209557614,4.122906792041515,200,200,0,0.0,100,0.18022090200008734,0,0.0,100,300,0.004276097000001755,0.004276097000001755,0.1844969990000891,nan,nan,,,,0.0012063620000617448,0.1790145400000256,0.0,0.18022090200008734,True,research_tuning_overhead_excluded_from_operational_setup_cost,,,,,,,,,,,,,,
42,0,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,3.740265541383474,21.200155911741557,0.10600077955870779,0.3255776091175617,3.102133427513053,4.378397655253895,200,200,0,0.0,0,0.0,100,1.2069169470000816,0,200,0.002456264999977975,0.002456264999977975,1.2093732120000595,1.0,0.3177595516357671,da51e340e039cb3d410e5a84f2f4c5d7180fa3d55f3225e03d0f655ed80116df,True,,,,,,,,200,19.730887721880997,10.705895563471511,4.618313686805476,17.73863764029897,ok,21.200155911741557,21.200155911741557,1.0,residual_variance_beta_one / observed_residual_variance,2.7599529067377064,1.2069169470000816,1.2093732120000595,
