contract_id,method,phase,count,mean,std_dev,median,minimum,maximum,first_quartile,third_quartile
maturity_long,AV,marginal,2,0.0024330029999646285,9.466745636260343e-06,0.0024330029999646285,0.0024263089999294607,0.0024396969999997964,0.0024296559999470446,0.0024363499999822125
maturity_long,AV,pilot,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maturity_long,AV,pricing,2,0.0024330029999646285,9.466745636260343e-06,0.0024330029999646285,0.0024263089999294607,0.0024396969999997964,0.0024296559999470446,0.0024363499999822125
maturity_long,AV,setup_cost,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maturity_long,AV,standalone,2,0.0024330029999646285,9.466745636260343e-06,0.0024330029999646285,0.0024263089999294607,0.0024396969999997964,0.0024296559999470446,0.0024363499999822125
maturity_long,AV,target_training,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maturity_long,GCV,marginal,2,0.0021303849999867452,4.110553143874507e-05,0.0021303849999867452,0.002101318999962132,0.0021594510000113587,0.0021158519999744385,0.002144917999999052
maturity_long,GCV,pilot,2,0.0010535260000210656,7.822015212547863e-06,0.0010535260000210656,0.0010479950000217286,0.0010590570000204025,0.001050760500021397,0.001056291500020734
maturity_long,GCV,pricing,2,0.0021303849999867452,4.110553143874507e-05,0.0021303849999867452,0.002101318999962132,0.0021594510000113587,0.0021158519999744385,0.002144917999999052
maturity_long,GCV,setup_cost,2,0.0010535260000210656,7.822015212547863e-06,0.0010535260000210656,0.0010479950000217286,0.0010590570000204025,0.001050760500021397,0.001056291500020734
maturity_long,GCV,standalone,2,0.003183911000007811,4.892754665129293e-05,0.003183911000007811,0.0031493139999838604,0.003218508000031761,0.0031666124999958356,0.003201209500019786
maturity_long,GCV,target_training,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maturity_long,MC,marginal,2,0.0016092129999947247,2.559726544648163e-05,0.0016092129999947247,0.0015911130000176854,0.001627312999971764,0.001600163000006205,0.0016182629999832443
maturity_long,MC,pilot,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maturity_long,MC,pricing,2,0.0016092129999947247,2.559726544648163e-05,0.0016092129999947247,0.0015911130000176854,0.001627312999971764,0.001600163000006205,0.0016182629999832443
maturity_long,MC,setup_cost,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
