base_seed,replication,contract_id,method,target_training_runtime_s,ncv_setup_cost_s,pilot_runtime_s,pricing_runtime_s,marginal_runtime_s,standalone_runtime_s,pricing_observations
42,0,reference,MC,0.0,0.0,0.0,0.001822367000045233,0.001822367000045233,0.001822367000045233,200
42,0,reference,AV,0.0,0.0,0.0,0.0021505519999891476,0.0021505519999891476,0.0021505519999891476,200
42,0,reference,GCV,0.0,0.0,0.0008616159999519368,0.0014839619999520437,0.0014839619999520437,0.0023455779999039805,200
42,0,reference,NCV_SCRATCH,0.13258314599988807,0.13258314599988807,0.0,0.004934510999987651,0.004934510999987651,0.13751765699987573,200
42,0,strike_low,MC,0.0,0.0,0.0,0.0016562160000148651,0.0016562160000148651,0.0016562160000148651,200
42,0,strike_low,AV,0.0,0.0,0.0,0.0026544070000227293,0.0026544070000227293,0.0026544070000227293,200
42,0,strike_low,GCV,0.0,0.0,0.0010947119999400456,0.0021106279999685285,0.0021106279999685285,0.003205339999908574,200
42,0,strike_low,NCV_SCRATCH,0.18129460400007247,0.18129460400007247,0.0,0.004767759000060323,0.004767759000060323,0.1860623630001328,200
42,0,strike_low,NCV_TRANSFER_BETA1,0.0,0.0,0.0,0.0035052919999998267,0.0035052919999998267,1.2104222390000814,200
42,0,strike_low,NCV_TRANSFER_BETA,0.0,0.0,0.0006908649999104455,0.0018512209999244078,0.0018512209999244078,1.2094590329999164,200
42,0,strike_high,MC,0.0,0.0,0.0,0.0015929069999174317,0.0015929069999174317,0.0015929069999174317,200
42,0,strike_high,AV,0.0,0.0,0.0,0.0024299749999272535,0.0024299749999272535,0.0024299749999272535,200
42,0,strike_high,GCV,0.0,0.0,0.0010474940000904098,0.002102020999927845,0.002102020999927845,0.003149515000018255,200
42,0,strike_high,NCV_SCRATCH,0.17871658100000332,0.17871658100000332,0.0,0.00401728200006346,0.00401728200006346,0.18273386300006678,200
42,0,strike_high,NCV_TRANSFER_BETA1,0.0,0.0,0.0,0.0025346819999185755,0.0025346819999185755,1.2094516290000001,200
42,0,strike_high,NCV_TRANSFER_BETA,0.0,0.0,0.000672040000040397,0.0021007779999990817,0.0021007779999990817,1.209689765000121,200
42,0,volatility_low,MC,0.0,0.0,0.0,0.0016194969999787645,0.0016194969999787645,0.0016194969999787645,200
42,0,volatility_low,AV,0.0,0.0,0.0,0.002430807999985518,0.002430807999985518,0.002430807999985518,200
42,0,volatility_low,GCV,0.0,0.0,0.0010471529999449558,0.002108964000058222,0.002108964000058222,0.003156117000003178,200
42,0,volatility_low,NCV_SCRATCH,0.18022090200008734,0.18022090200008734,0.0,0.004276097000001755,0.004276097000001755,0.1844969990000891,200
42,0,volatility_low,NCV_TRANSFER_BETA1,0.0,0.0,0.0,0.002456264999977975,0.002456264999977975,1.2093732120000595,200
42,0,volatility_low,NCV_TRANSFER_BETA,0.0,0.0,0.0006822990000046047,0.0018591259999993781,0.0018591259999993781,1.2094583720000855,200
42,0,volatility_high,MC,0.0,0.0,0.0,0.001597504999949706,0.001597504999949706,0.001597504999949706,200
42,0,volatility_high,AV,0.0,0.0,0.0,0.00246503199991821,0.00246503199991821,0.00246503199991821,200
42,0,volatility_high,GCV,0.0,0.0,0.0010614000000259693,0.002108774000021185,0.002108774000021185,0.0031701740000471545,200
42,0,volatility_high,NCV_SCRATCH,0.18033337300005314,0.18033337300005314,0.0,0.004321813000046859,0.004321813000046859,0.1846551860001,200
42,0,volatility_high,NCV_TRANSFER_BETA1,0.0,0.0,0.0,0.004477564000012535,0.004477564000012535,1.211394511000094,200
42,0,volatility_high,NCV_TRANSFER_BETA,0.0,0.0,0.0007133069999554209,0.0018611790000022665,0.0018611790000022665,1.2094914330000393,200
42,0,maturity_short,MC,0.0,0.0,0.0,0.001604587999963769,0.001604587999963769,0.001604587999963769,200
42,0,maturity_short,AV,0.0,0.0,0.0,0.0024285630000804304,0.0024285630000804304,0.0024285630000804304,200
42,0,maturity_short,GCV,0.0,0.0,0.0010489960000086285,0.0021136130000058984,0.0021136130000058984,0.003162609000014527,200
42,0,maturity_short,NCV_SCRATCH,0.22377409699993223,0.22377409699993223,0.0,0.004834814999981063,0.004834814999981063,0.2286089119999133,200
