contract_id,price,std_error,ci_lower,ci_upper,n_paths,method,seed,monitoring_dates
reference,5.772538871965336,0.004386663018900306,5.763941012448292,5.7811367314823805,2000,GCV_high_precision,9042,252
strike_low,21.492951467278335,0.005829303373724825,21.481526032665833,21.504376901890836,2000,GCV_high_precision,10042,252
strike_high,0.5345743959841888,0.003931914226800068,0.5268678440996606,0.542280947868717,2000,GCV_high_precision,11042,252
volatility_low,3.6535075242219324,0.0013939051960193188,3.6507754700377344,3.6562395784061303,2000,GCV_high_precision,12042,252
volatility_high,12.341140219296628,0.03145562621042601,12.279487191924193,12.402793246669063,2000,GCV_high_precision,13042,252
maturity_short,3.861455453874649,0.002237061524586369,3.8570708132864597,3.865840094462838,2000,GCV_high_precision,14042,252
maturity_long,8.743171169671333,0.010684064706125398,8.722230402847327,8.76411193649534,2000,GCV_high_precision,15042,252
