method,mean_beta,std_beta,mean_correlation,std_correlation,geometric_mean_variance_improvement_from_estimating_beta
NCV_TRANSFER_BETA1,1.0,0.0,0.3641724767135287,0.11944060958704333,1.0
NCV_TRANSFER_BETA,1.2055047837306097,0.8372215394062064,0.38797007361356883,0.156156273923584,1.2350274121401235
