result_type,projection_scope,setup_reuse_assumption,contract_id,method,Q,budget_paths_per_valuation,pricing_observations,pricing_simulated_paths,training_paths,pilot_paths,shared_paths,setup_paths_counted_once,paths_per_pricing_observation,pricing_independent_random_vectors_per_valuation,setup_independent_random_vectors_counted_once,total_independent_random_vectors,pricing_payoff_evaluations_per_valuation,total_payoff_evaluations,validation_paths,total_paths_used,feasible,failure_reason,total_budget_paths,budget_constraint_satisfied,projected_estimator_standard_error
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,GCV,1,200,150,150,0,50,0,50,1,150,50,200,150,200,0,200,True,,200,True,0.1015353038931794
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,NCV_SCRATCH,1,200,100,100,100,0,0,100,1,100,100,200,100,200,0,200,True,,200,True,1.8468825052125457
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,NCV_TRANSFER_BETA1,1,200,100,100,0,0,100,100,1,100,100,200,100,200,0,200,True,,200,True,1.8657070707055363
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,NCV_TRANSFER_BETA,1,200,50,50,0,50,100,150,1,50,150,200,50,200,0,200,True,,200,True,2.584906571460618
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,MC,1,200,200,200,0,0,0,0,1,200,0,200,200,200,0,200,True,,200,True,0.4002995559145653
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,AV,1,200,100,200,0,0,0,0,2,100,0,100,200,200,0,200,True,,200,True,0.27110501988324887
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,GCV,1,200,150,150,0,50,0,50,1,150,50,200,150,200,0,200,True,,200,True,0.009217651750936173
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,NCV_SCRATCH,1,200,100,100,100,0,0,100,1,100,100,200,100,200,0,200,True,,200,True,0.5245370070072556
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,NCV_TRANSFER_BETA1,1,200,100,100,0,0,100,100,1,100,100,200,100,200,0,200,True,,200,True,0.530949632049484
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,NCV_TRANSFER_BETA,1,200,50,50,0,50,100,150,1,50,150,200,50,200,0,200,True,,200,True,0.7912640737399533
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,MC,1,200,200,200,0,0,0,0,1,200,0,200,200,200,0,200,True,,200,True,0.9041954316037777
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,AV,1,200,100,200,0,0,0,0,2,100,0,100,200,200,0,200,True,,200,True,0.6373759050040051
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,GCV,1,200,150,150,0,50,0,50,1,150,50,200,150,200,0,200,True,,200,True,0.049175560998529454
