contract_id,method,successful_replications,failed_replications,failure_messages,mean_price,median_price,empirical_std_across_replications,empirical_standard_error_of_mean,mean_reported_estimator_standard_error,pricing_observations_mean,pricing_simulated_paths_mean,pilot_paths_mean,target_training_paths_mean,mean_observation_variance,mean_estimator_variance,bias_against_reference_estimate,absolute_bias,mae,rmse,mean_confidence_interval_width,naive_coverage_against_estimated_reference,naive_coverage_label,variance_reduction_vs_mc_arithmetic_mean,variance_reduction_vs_gcv_arithmetic_mean,path_efficiency_vs_mc,runtime_efficiency_vs_mc,setup_cost_s_median,setup_cost_s_mean,setup_cost_s_std,pricing_runtime_s_median,pricing_runtime_s_mean,pricing_runtime_s_std,pilot_runtime_s_median,pilot_runtime_s_mean,pilot_runtime_s_std,target_training_runtime_s_median,target_training_runtime_s_mean,target_training_runtime_s_std,ncv_setup_cost_s_median,ncv_setup_cost_s_mean,ncv_setup_cost_s_std,marginal_runtime_s_median,marginal_runtime_s_mean,marginal_runtime_s_std,standalone_runtime_s_median,standalone_runtime_s_mean,standalone_runtime_s_std
maturity_long,AV,2,0,,9.096981253346682,9.096981253346682,0.07676252203597075,0.0542792998726167,0.4504690070353071,200.0,400.0,0.0,0.0,40.62480442796746,0.20312402213983732,0.3538100836753486,0.3538100836753486,0.3538100836753486,0.3579494625013685,1.7658385075784047,1.0,naive_coverage_vs_estimated_reference_not_true_coverage,4.07509633836006,0.008878461264736424,0.5,0.6614101996660586,0.0,0.0,0.0,0.0024330029999646285,0.0024330029999646285,9.466745636260343e-06,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0024330029999646285,0.0024330029999646285,9.466745636260343e-06,0.0024330029999646285,0.0024330029999646285,9.466745636260343e-06
maturity_long,GCV,2,0,,8.798908677690857,8.798908677690857,0.02067572647419044,0.014619946395858285,0.0424628395066858,200.0,200.0,50.0,0.0,0.3627353699280137,0.0018136768496400683,0.05573750801952393,0.05573750801952393,0.05573750801952482,0.05762302172608065,0.16645433086620898,1.0,naive_coverage_vs_estimated_reference_not_true_coverage,470.90354293014093,1.0,0.8,0.5054202206000032,0.0010535260000210656,0.0010535260000210656,7.822015212547863e-06,0.0021303849999867452,0.0021303849999867452,4.110553143874507e-05,0.0010535260000210656,0.0010535260000210656,7.822015212547863e-06,0.0,0.0,0.0,NA,NA,NA,0.0021303849999867452,0.0021303849999867452,4.110553143874507e-05,0.003183911000007811,0.003183911000007811,4.892754665129293e-05
maturity_long,MC,2,0,,9.637110470575736,9.637110470575736,1.2644172410647003,0.8940780054060351,0.9021573625362354,200.0,200.0,0.0,0.0,163.51387570662837,0.8175693785331419,0.8939393009044032,0.8939393009044032,0.8940780054060351,1.2643191659752246,3.5364568611420424,1.0,naive_coverage_vs_estimated_reference_not_true_coverage,1.0,0.002304958397596827,1.0,1.0,0.0,0.0,0.0,0.0016092129999947247,0.0016092129999947247,2.559726544648163e-05,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0016092129999947247,0.0016092129999947247,2.559726544648163e-05,0.0016092129999947247,0.0016092129999947247,2.559726544648163e-05
maturity_long,NCV_SCRATCH,2,0,,9.331642717449276,9.331642717449276,1.2241666699453462,0.8656165536209084,0.837598293518316,200.0,200.0,0.0,100.0,140.5088587859916,0.7025442939299581,0.5884715477779423,0.5884715477779423,0.8656165536209084,1.0467047245745602,3.2833853105917985,1.0,naive_coverage_vs_estimated_reference_not_true_coverage,1.1585456092843267,0.002625370456372188,0.6666666666666666,0.008441816801820998,0.18629645799995842,0.18629645799995842,0.005960169117437537,0.004327555500026392,0.004327555500026392,0.00022328805802073596,0.0,0.0,0.0,0.18629645799995842,0.18629645799995842,0.005960169117437537,0.18629645799995842,0.18629645799995842,0.005960169117437537,0.004327555500026392,0.004327555500026392,0.00022328805802073596,0.1906240134999848,0.1906240134999848,0.005736881059416801
maturity_long,NCV_TRANSFER_BETA,2,0,,9.641058472799363,9.641058472799363,1.3928845840595145,0.9849181347986864,0.8495096859779157,200.0,200.0,50.0,0.0,144.3604864305599,0.7218024321527994,0.8978873031280301,0.8978873031280301,0.9849181347986864,1.3327660490025437,3.3300779690334292,0.5,naive_coverage_vs_estimated_reference_not_true_coverage,1.1376923128970498,0.002504091623343638,0.8,0.0022877405343135087,0.7015447960000643,0.7015447960000643,0.7156582845251211,0.001862332500024877,0.001862332500024877,1.5527357834228627e-05,0.0006819590000191056,0.0006819590000191056,1.0301131576466184e-05,0.0,0.0,0.0,NA,NA,NA,0.001862332500024877,0.001862332500024877,1.5527357834228627e-05,0.7034071285000891,0.7034071285000891,0.7156738118829553
maturity_long,NCV_TRANSFER_BETA1,2,0,,9.640166125784091,9.640166125784091,1.3404454455429538,0.9478380643540455,0.8482053558895952,200.0,200.0,0.0,0.0,143.93778644961017,0.7196889322480509,0.8969949561127581,0.8969949561127581,0.9478380643540456,1.3049892518830009,3.3249649950872127,0.5,naive_coverage_vs_estimated_reference_not_true_coverage,1.1319765291129833,0.00253733943812767,1.0,0.002287972087492995,0.7008628370000451,0.7008628370000451,0.7156685856566976,0.0024731034999945223,0.0024731034999945223,2.2093551420065134e-05,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0024731034999945223,0.0024731034999945223,2.2093551420065134e-05,0.7033359405000397,0.7033359405000397,0.7156906792081177
maturity_short,AV,2,0,,4.009293443196343,4.009293443196343,0.06849465514990649,0.04843303513153296,0.1916782347631396,200.0,400.0,0.0,0.0,7.349793180589675,0.03674896590294838,0.14783798932169434,0.14783798932169434,0.1478379893216939,0.15556937352426917,0.7513786802715072,1.0,naive_coverage_vs_estimated_reference_not_true_coverage,4.3627304867304115,0.0017243016193767406,0.5,0.6538099195671192,0.0,0.0,0.0,0.002451462500062007,0.002451462500062007,3.2384783445508365e-05,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.002451462500062007,0.002451462500062007,3.2384783445508365e-05,0.002451462500062007,0.002451462500062007,3.2384783445508365e-05
maturity_short,GCV,2,0,,3.8649825353658893,3.8649825353658893,0.0053198655426193505,0.003761713000186795,0.007935714164116476,200.0,200.0,50.0,0.0,0.012744765570230503,6.372382785115252e-05,0.00352708149124048,0.00352708149124048,0.003761713000186795,0.005156625693379878,0.031107999523336538,1.0,naive_coverage_vs_estimated_reference_not_true_coverage,2629.8786411681067,1.0,0.8,0.5015235416696214,0.0010786375000293447,0.0010786375000293447,4.191941133837922e-05,0.0021172054999851753,0.0021172054999851753,5.080562193518467e-06,0.0010786375000293447,0.0010786375000293447,4.191941133837922e-05,0.0,0.0,0.0,NA,NA,NA,0.0021172054999851753,0.0021172054999851753,5.080562193518467e-06,0.00319584300001452,0.00319584300001452,4.6999973531897683e-05
maturity_short,MC,2,0,,4.2911576639793125,4.2911576639793125,0.3557772672007429,0.25157251822966353,0.40029169176594337,200.0,200.0,0.0,0.0,32.04794689307964,0.1602397344653982,0.4297022101046637,0.4297022101046637,0.42970221010466325,0.4979284298945447,1.569143431722498,1.0,naive_coverage_vs_estimated_reference_not_true_coverage,1.0,0.00039666631234784095,1.0,1.0,0.0,0.0,0.0,0.00160279049998735,0.00160279049998735,2.542048845017356e-06,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.00160279049998735,0.00160279049998735,2.542048845017356e-06,0.00160279049998735,0.00160279049998735,2.542048845017356e-06
maturity_short,NCV_SCRATCH,2,0,,4.205879322008027,4.205879322008027,0.15612674672636018,0.11039828133480388,0.3708832298288445,200.0,200.0,0.0,100.0,27.51390717201297,0.13756953586006485,0.344423868133378,0.344423868133378,0.34442386813337844,0.3616843671789498,1.4538622609290703,1.0,naive_coverage_vs_estimated_reference_not_true_coverage,1.165611380376502,0.0004655125699646037,0.6666666666666666,0.007574281264887113,0.2070429289999538,0.2070429289999538,0.02366144469991222,0.004566654000029757,0.004566654000029757,0.00037923692303066744,0.0,0.0,0.0,0.2070429289999538,0.2070429289999538,0.02366144469991222,0.2070429289999538,0.2070429289999538,0.02366144469991222,0.004566654000029757,0.004566654000029757,0.00037923692303066744,0.21160958299998356,0.21160958299998356,0.024040681622942886
maturity_short,NCV_TRANSFER_BETA,2,0,,4.043476131816867,4.043476131816867,0.01677149536868226,0.011859238105834,0.3935612026516186,200.0,200.0,50.0,0.0,31.304941719577315,0.15652470859788659,0.182020677942218,0.182020677942218,0.182020677942218,0.18240660275054604,1.5427599143943451,1.0,naive_coverage_vs_estimated_reference_not_true_coverage,1.0651460749839639,0.00040606739770474335,0.8,0.0022785122572267693,0.7015658210000879,0.7015658210000879,0.7156832284239784,0.0018714744999783761,0.0018714744999783761,6.042227455306342e-06,0.0007029840000427612,0.0007029840000427612,1.4642767280770969e-05,0.0,0.0,0.0,NA,NA,NA,0.0018714744999783761,0.0018714744999783761,6.042227455306342e-06,0.7034372955000663,0.7034372955000663,0.7156892706514337
maturity_short,NCV_TRANSFER_BETA1,2,0,,4.115736603531419,4.115736603531419,0.07459802049726351,0.05274876615670809,0.3749169362859799,200.0,200.0,0.0,0.0,28.190751177348236,0.1409537558867412,0.25428114965676984,0.25428114965676984,0.25428114965676984,0.25969469652232724,1.469674390241041,1.0,naive_coverage_vs_estimated_reference_not_true_coverage,1.1480301858898465,0.00044678825291902323,1.0,0.002274007375177285,0.7008628370000451,0.7008628370000451,0.7156685856566976,0.003967990499972984,0.003967990499972984,0.0021194797445690493,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.003967990499972984,0.003967990499972984,0.0021194797445690493,0.7048308275000181,0.7048308275000181,0.7177880654012666
reference,AV,2,0,,6.3364600785741,6.3364600785741,0.48011869293492504,0.3394951835487072,0.3050684561100721,200.0,400.0,0.0,0.0,18.66111045367996,0.0933055522683998,0.5639212066087635,0.5639212066087635,0.5639212066087635,0.6582280052655418,1.1958683479514827,0.5,naive_coverage_vs_estimated_reference_not_true_coverage,4.126152747142303,0.00313663717335577,0.5,0.7868075932169477,0.0,0.0,0.0,0.0019993395000028613,0.0019993395000028613,0.0002138467682809475,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0019993395000028613,0.0019993395000028613,0.0002138467682809475,0.0019993395000028613,0.0019993395000028613,0.0002138467682809475
reference,GCV,2,0,,5.79065669520655,5.79065669520655,0.0036363773542027705,0.0025713070861099747,0.016942650723312858,200.0,200.0,50.0,0.0,0.05749385516769833,0.00028746927583849164,0.018117823241214026,0.018117823241214026,0.018117823241214026,0.018299375375431658,0.06641519083538672,1.0,naive_coverage_vs_estimated_reference_not_true_coverage,1350.1903523894894,1.0,0.8,0.6671985976854257,0.000858630499976698,0.000858630499976698,4.222134555447224e-06,0.0014991314999406313,0.0014991314999406313,2.145291261827914e-05,0.000858630499976698,0.000858630499976698,4.222134555447224e-06,0.0,0.0,0.0,NA,NA,NA,0.0014991314999406313,0.0014991314999406313,2.145291261827914e-05,0.0023577619999173294,0.0023577619999173294,1.7230778062831916e-05
reference,MC,2,0,,6.531019058851001,6.531019058851001,0.06254825318723868,0.044228293980069555,0.6191400477923668,200.0,200.0,0.0,0.0,76.76408326352936,0.38382041631764685,0.7584801868856648,0.7584801868856648,0.7584801868856652,0.7597686068050594,2.4270289873460777,1.0,naive_coverage_vs_estimated_reference_not_true_coverage,1.0,0.0007568460349980162,1.0,1.0,0.0,0.0,0.0,0.0015730955000208269,0.0015730955000208269,0.0003525231360476004,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0015730955000208269,0.0015730955000208269,0.0003525231360476004,0.0015730955000208269,0.0015730955000208269,0.0003525231360476004
