contract_id,replication,method,comparator,variance_ratio,is_valid,invalid_reason,beats_comparator
strike_low,1,NCV_TRANSFER_BETA,GCV,0.001109766827606652,True,,False
strike_high,1,MC,MC,1.0,True,,False
strike_high,1,MC,GCV,0.00765785766172235,True,,False
strike_high,1,AV,MC,0.6737979684925567,True,,False
strike_high,1,AV,GCV,0.00515984893547368,True,,False
strike_high,1,GCV,MC,130.58482465644147,True,,True
strike_high,1,GCV,GCV,1.0,True,,False
strike_high,1,NCV_SCRATCH,MC,0.4912978019939653,True,,False
strike_high,1,NCV_SCRATCH,GCV,0.003762288637186837,True,,False
strike_high,1,NCV_TRANSFER_BETA1,MC,0.26500367594881785,True,,False
strike_high,1,NCV_TRANSFER_BETA1,GCV,0.0020293604302492416,True,,False
strike_high,1,NCV_TRANSFER_BETA,MC,1.0623093091462061,True,,True
strike_high,1,NCV_TRANSFER_BETA,GCV,0.008135013482164253,True,,False
volatility_low,1,MC,MC,1.0,True,,False
volatility_low,1,MC,GCV,0.00014744231669952388,True,,False
volatility_low,1,AV,MC,6.5845143582260715,True,,True
volatility_low,1,AV,GCV,0.0009708360513181306,True,,False
volatility_low,1,GCV,MC,6782.313398112994,True,,True
volatility_low,1,GCV,GCV,1.0,True,,False
volatility_low,1,NCV_SCRATCH,MC,1.1988839018257045,True,,True
volatility_low,1,NCV_SCRATCH,GCV,0.0001767662199389464,True,,False
volatility_low,1,NCV_TRANSFER_BETA1,MC,1.3247094818931098,True,,True
volatility_low,1,NCV_TRANSFER_BETA1,GCV,0.00019531823496414606,True,,False
volatility_low,1,NCV_TRANSFER_BETA,MC,1.2460198561791973,True,,True
volatility_low,1,NCV_TRANSFER_BETA,GCV,0.00018371605424866838,True,,False
volatility_high,1,MC,MC,1.0,True,,False
volatility_high,1,MC,GCV,0.004855840318869228,True,,False
volatility_high,1,AV,MC,2.5347548128534787,True,,True
volatility_high,1,AV,GCV,0.012308364618701747,True,,False
volatility_high,1,GCV,MC,205.93757914858048,True,,True
volatility_high,1,GCV,GCV,1.0,True,,False
volatility_high,1,NCV_SCRATCH,MC,1.163020107983929,True,,True
volatility_high,1,NCV_SCRATCH,GCV,0.005647439932004006,True,,False
volatility_high,1,NCV_TRANSFER_BETA1,MC,1.1422244878473982,True,,True
volatility_high,1,NCV_TRANSFER_BETA1,GCV,0.005546459721289151,True,,False
volatility_high,1,NCV_TRANSFER_BETA,MC,1.1931052413299887,True,,True
volatility_high,1,NCV_TRANSFER_BETA,GCV,0.00579352853550436,True,,False
maturity_short,1,MC,MC,1.0,True,,False
maturity_short,1,MC,GCV,0.0004773726349480479,True,,False
maturity_short,1,AV,MC,4.285331413636023,True,,True
maturity_short,1,AV,GCV,0.0020456999485530714,True,,False
maturity_short,1,GCV,MC,2094.7995900704054,True,,True
maturity_short,1,GCV,GCV,1.0,True,,False
maturity_short,1,NCV_SCRATCH,MC,1.2046888897756474,True,,True
maturity_short,1,NCV_SCRATCH,GCV,0.0005750855096048393,True,,False
maturity_short,1,NCV_TRANSFER_BETA1,MC,1.0415125413616293,True,,True
maturity_short,1,NCV_TRANSFER_BETA1,GCV,0.0004971895862012387,True,,False
maturity_short,1,NCV_TRANSFER_BETA,MC,0.8614424809996146,True,,False
maturity_short,1,NCV_TRANSFER_BETA,GCV,0.0004112290670109697,True,,False
maturity_long,1,MC,MC,1.0,True,,False
maturity_long,1,MC,GCV,0.001658370238459714,True,,False
maturity_long,1,AV,MC,4.870759318129509,True,,True
maturity_long,1,AV,GCV,0.008077522291886309,True,,False
maturity_long,1,GCV,MC,603.0016559684495,True,,True
maturity_long,1,GCV,GCV,1.0,True,,False
maturity_long,1,NCV_SCRATCH,MC,1.2281864991001021,True,,True
maturity_long,1,NCV_SCRATCH,GCV,0.002036787937385638,True,,False
maturity_long,1,NCV_TRANSFER_BETA1,MC,1.2430508930939983,True,,True
maturity_long,1,NCV_TRANSFER_BETA1,GCV,0.0020614386059978544,True,,False
maturity_long,1,NCV_TRANSFER_BETA,MC,1.3205627002972309,True,,True
maturity_long,1,NCV_TRANSFER_BETA,GCV,0.0021899818801929226,True,,False
