contract_id,method,se_combined,z_combined,p_value_two_sided,difference_ci95_lower,difference_ci95_upper,reference_se_divided_by_method_reported_se,reference_se_below_10pct_of_method_se,failure_reason
maturity_long,AV,0.055320806513518235,6.395606029150918,1.5991186153030412e-10,0.24538130290885285,0.46223886444184437,0.023717646584480775,True,
maturity_long,GCV,0.018107790347318582,3.078095502015661,0.0020832813951612295,0.020246238938779505,0.09122877710026836,0.25160975644229316,False,
maturity_long,MC,0.8941418394133444,0.9997734827965616,0.3174201413421065,-0.8585787043457518,2.6464573061545584,0.011842795004287593,True,
maturity_long,NCV_SCRATCH,0.8656824863315555,0.679777582507957,0.49664530315753996,-1.1082661254319066,2.2852092209877912,0.0127555951209585,True,
maturity_long,NCV_TRANSFER_BETA,0.9849760816862347,0.9115828493935482,0.36198835411713626,-1.03266581697699,2.82844042323305,0.012576742658120966,True,
maturity_long,NCV_TRANSFER_BETA1,0.9478982780219978,0.9462987505205086,0.3439962304884636,-0.9608856688103575,2.754875581035874,0.012596082578280801,True,
maturity_short,AV,0.048484671147869925,3.049169682327304,0.002294748304672911,0.05280803387186929,0.2428679447715194,0.011670920943897193,True,
maturity_short,GCV,0.004376634433050015,0.8058889873474094,0.4203068616762424,-0.0050511219975375495,0.01210528498001851,0.28189794621155345,False,
maturity_short,MC,0.2515824643584667,1.7079974599994516,0.08763681377818511,-0.06339942003793103,0.9228038402472585,0.005588578455668805,True,
maturity_short,NCV_SCRATCH,0.11042094441700494,3.119189660547192,0.0018134918753380802,0.12799881707604832,0.5608489191907077,0.006031713878297301,True,
maturity_short,NCV_TRANSFER_BETA,0.012068387328705103,15.082435870223946,0.0,0.15836663877795598,0.20567471710648,0.005684151561470407,True,
maturity_short,NCV_TRANSFER_BETA1,0.05279618144638737,4.816279183277359,1.4625985209626435e-06,0.15080063402185062,0.35776166529168907,0.0059668190686375895,True,
reference,AV,0.33952352269793,1.6609194029554102,0.0967296348217741,-0.10154489787917931,1.2293873110967064,0.014379274326931882,True,
reference,GCV,0.0050847254176078095,3.563186161139424,0.00036638065893956906,0.00815176142270272,0.02808388505972533,0.2589124388230654,False,
reference,MC,0.044445301223288436,17.065475224819412,0.0,0.6713673964880195,0.8455929772833101,0.0070850900931729195,True,
reference,NCV_SCRATCH,0.2298721111592592,2.793419749293318,0.005215396794144622,0.1915799572518756,1.0926786329961717,0.00802431539545493,True,
strike_high,AV,0.08301791479064283,0.5905376602085616,0.5548302450934781,-0.11368990783379998,0.21174031814551988,0.028601818063349535,True,
strike_high,GCV,0.003947691899709459,2.457156869564456,0.014004152068388454,0.0019626221468645143,0.017437574393725595,0.2902325059114132,False,
strike_high,MC,0.02459993856944323,-6.259396393255452,3.864704112288564e-10,-0.20219664635198736,-0.1057648871597699,0.030625314459887247,True,
strike_high,NCV_SCRATCH,0.03049045275435494,-4.761671848948652,1.9199570273631394e-06,-0.20494681794064648,-0.08542424314357513,0.023255631589235694,True,
strike_high,NCV_TRANSFER_BETA,0.028864617924685896,-4.5263587264506695,6.00086828761448e-06,-0.1872262663614508,-0.07407696409668207,0.03135180771682184,True,
strike_high,NCV_TRANSFER_BETA1,0.004020537302328089,30.875582104703366,0.0,0.11625617647049043,0.13201668269561653,0.016474984418447775,True,
strike_low,AV,0.011029057491752071,-5.936608592429723,2.9097821929724432e-09,-0.08709215015577082,-0.04385824478810269,0.06867391891185899,True,
strike_low,GCV,0.00640212162712832,-2.8764675967102615,0.004021534829327322,-0.030963653799804095,-0.00586733702146108,0.26586131369242955,False,
strike_low,MC,0.4241568122997484,-0.5363763620428625,0.5916984647152241,-1.0588550400245431,0.6038396641904705,0.007583902766765894,True,
strike_low,NCV_SCRATCH,0.23231406269413019,-1.3727220800355988,0.1698387622904649,-0.774238206243502,0.13643291951748826,0.007724336542409503,True,
strike_low,NCV_TRANSFER_BETA,0.006067576602734602,-25.5085278267199,0.0,-0.16666739675297,-0.14288249647025036,0.00812438778837186,True,
strike_low,NCV_TRANSFER_BETA1,0.18854379666536783,-1.2127605257721972,0.22522139156402288,-0.5982043154390987,0.1408873674891432,0.00816282880059364,True,
volatility_high,AV,0.533175607034171,1.1929922190371092,0.2328724203885466,-0.40894983921482186,1.6810985403591285,0.03674320794283042,True,
volatility_high,GCV,0.04468153774287117,0.5165226479981274,0.605489425058938,-0.06449678778445139,0.11065484016760357,0.3588858335967559,False,
volatility_high,MC,0.2096522854065438,-4.388824981623837,1.1396473648783711e-05,-1.331045667043596,-0.5092087082499441,0.02249495457133407,True,
volatility_high,NCV_SCRATCH,0.28437826909998964,-1.9736808724730084,0.0484180414448625,-1.1186533577056113,-0.0038905428336517556,0.024100747048749614,True,
volatility_high,NCV_TRANSFER_BETA,0.1665486476306165,-3.1252903025430583,0.0017762966555594506,-0.846948222697635,-0.19407752398561834,0.0243542172630084,True,
volatility_high,NCV_TRANSFER_BETA1,0.2433442764206826,-2.9756445620800696,0.0029237351309494564,-1.2010608546290513,-0.24715129105997558,0.023858445358406383,True,
volatility_low,AV,0.06647809596938982,0.47183264221067894,0.6370462496076199,-0.09893053242963176,0.16166360377037634,0.010827952798637975,True,
volatility_low,GCV,0.0019496102611973746,-1.0179293467000328,0.30871153395377515,-0.005805801611447178,0.0018366706124465304,0.2924253001879354,False,
volatility_low,MC,0.19309983096795014,0.4906111306027153,0.6237015124703802,-0.283738742306803,0.47321259508756147,0.004293186096299125,True,
volatility_low,NCV_SCRATCH,0.1025099649956585,0.2508338008593205,0.801942607493288,-0.17520656724567374,0.22663249553730758,0.004766613364768693,True,
volatility_low,NCV_TRANSFER_BETA,0.1540114729545147,1.1907390535725557,0.23375604141571982,-0.11847501144567474,0.4852499625360229,0.004614695956458089,True,
volatility_low,NCV_TRANSFER_BETA1,0.1800381771405702,1.4818568064805984,0.13837840012574976,-0.08608402897340395,0.6196656254176311,0.004519296289593042,True,
