replication,contract_id,method,K,sigma,T,monitoring_dates,price,observation_variance,estimator_variance,std_error,ci_lower,ci_upper,beta,payoff_control_correlation,training_paths,pilot_paths,pricing_observations,pricing_simulated_paths,training_runtime_s,pilot_runtime_s,marginal_pricing_runtime_s,standalone_runtime_s,selected_checkpoint,parameter_checkpoint_hash,failure_status,failure_message
0,reference,MC,100.0,0.2,1.0,12,6.1135483740244885,67.37894646537656,0.3368947323268828,0.5804263366930232,4.975912754106163,7.2511839939428135,nan,nan,0,0,200,200,0.0,0.0,8.258299999397423e-05,8.258299999397423e-05,2,,,
0,reference,GCV,100.0,0.2,1.0,12,6.15393267324268,0.029613173437857996,0.00014806586718928998,0.012168231884266916,6.130082938749516,6.177782407735843,1.03590544653641,0.9996127827460278,0,50,200,200,0.0,0.0004125380000914447,6.174500003908179e-05,0.0004742830001305265,2,,,
0,reference,NCV_TRANSFER_BETA1,100.0,0.2,1.0,12,6.237580218570952,58.057773756436156,0.2902888687821808,0.5387846218872443,5.181562359671953,7.293598077469951,1.0,0.5676942714767094,0,0,200,200,0.0056660630000351375,0.0,8.338599991475348e-05,0.005749448999949891,2,5d4f00fb9b47baa928e712ff8f27e2788068d641b1edb92b16c393da069d1da1,,
0,reference,NCV_TRANSFER_BETA,100.0,0.2,1.0,12,6.45890565018982,47.875919309598025,0.23937959654799013,0.4892643421995825,5.499947539478638,7.417863760901001,2.784424253530763,0.4459136619876733,0,50,200,200,0.0056660630000351375,9.829600003286032e-05,9.829600003286032e-05,0.005862655000100858,2,5d4f00fb9b47baa928e712ff8f27e2788068d641b1edb92b16c393da069d1da1,,
0,reference,PCNCV_BETA1,100.0,0.2,1.0,12,6.110640008725807,64.84880114571669,0.3242440057285835,0.5694242756755138,4.9945684284017995,7.226711589049814,1.0,0.3102304115234525,100,0,200,200,0.011935219999941182,0.0,9.759999102243455e-07,0.011936195999851407,2,f4b0ed72d866bb163ed5d0cf9ed84bdb109d24f23e8619f937b573a5f3ce88e9,,
0,reference,PCNCV_BETA,100.0,0.2,1.0,12,6.09842334263329,61.020119625742915,0.3051005981287146,0.5523591206169358,5.015799466224096,7.181047219042484,5.200526700705334,0.401556868539726,100,50,200,200,0.011935219999941182,0.0001235300001098949,0.0001235300001098949,0.012182280000160972,2,f4b0ed72d866bb163ed5d0cf9ed84bdb109d24f23e8619f937b573a5f3ce88e9,,
0,strike_low,MC,80.0,0.2,1.0,12,22.095356741356238,149.46709736295628,0.7473354868147815,0.8644856776227016,20.400964813215744,23.78974866949673,nan,nan,0,0,200,200,0.0,0.0,5.673900000147114e-05,5.673900000147114e-05,2,,,
0,strike_low,GCV,80.0,0.2,1.0,12,21.72922028758567,0.09309487368374654,0.0004654743684187327,0.021574855003423144,21.686933571778958,21.77150700339238,1.0072934616633673,0.9997999737362273,0,50,200,200,0.0,0.00029638899991368817,5.864699983249011e-05,0.0003550359997461783,2,,,
0,strike_low,NCV_TRANSFER_BETA1,80.0,0.2,1.0,12,22.12555077767528,134.7859324488372,0.673929662244186,0.8209321910146941,20.51652368328648,23.73457787206408,1.0,0.5730047992351027,0,0,200,200,0.0056660630000351375,0.0,8.041799992497545e-05,0.005746480999960113,2,5d4f00fb9b47baa928e712ff8f27e2788068d641b1edb92b16c393da069d1da1,,
0,strike_low,NCV_TRANSFER_BETA,80.0,0.2,1.0,12,22.22589378803804,104.69211671758225,0.5234605835879113,0.7235057591947083,20.80782250001641,23.64396507605967,4.323272493365808,0.4203971673057082,0,50,200,200,0.0056660630000351375,9.517099988443078e-05,9.517099988443078e-05,0.005856404999803999,2,5d4f00fb9b47baa928e712ff8f27e2788068d641b1edb92b16c393da069d1da1,,
0,strike_low,PCNCV_BETA1,80.0,0.2,1.0,12,22.055946219825547,143.6660220885252,0.7183301104426261,0.8475435743621835,20.394760814075667,23.717131625575426,1.0,0.4500802866915886,100,0,200,200,0.011935219999941182,0.0,1.1449999419710366e-06,0.011936364999883153,2,f4b0ed72d866bb163ed5d0cf9ed84bdb109d24f23e8619f937b573a5f3ce88e9,,
0,strike_low,PCNCV_BETA,80.0,0.2,1.0,12,21.421368115780915,135.11854120556575,0.6755927060278287,0.821944466510864,19.81035696141962,23.032379270142208,17.101743377094543,0.6678722170638384,100,50,200,200,0.011935219999941182,0.00012468399995668733,0.00012468399995668733,0.012184587999854557,2,f4b0ed72d866bb163ed5d0cf9ed84bdb109d24f23e8619f937b573a5f3ce88e9,,
0,strike_high,MC,120.0,0.2,1.0,12,0.7162565490005994,9.627591697796007,0.04813795848898003,0.2194036428343432,0.2862254090452868,1.146287688955912,nan,nan,0,0,200,200,0.0,0.0,5.639799996970396e-05,5.639799996970396e-05,2,,,
0,strike_high,GCV,120.0,0.2,1.0,12,0.6607616428953216,0.039732793354421925,0.00019866396677210962,0.01409482056544565,0.633135794587048,0.6883874912035951,1.1510074021074221,0.998913564081991,0,50,200,200,0.0,0.00026426599993101263,6.15769999967597e-05,0.0003258429999277723,2,,,
