replication,contract_id,method,training_runtime_s,pilot_runtime_s,marginal_pricing_runtime_s,standalone_runtime_s,training_paths,pilot_paths,pricing_simulated_paths
0,reference,MC,0.0,0.0,8.258299999397423e-05,8.258299999397423e-05,0,0,200
0,reference,GCV,0.0,0.0004125380000914447,6.174500003908179e-05,0.0004742830001305265,0,50,200
0,reference,NCV_TRANSFER_BETA1,0.0056660630000351375,0.0,8.338599991475348e-05,0.005749448999949891,0,0,200
0,reference,NCV_TRANSFER_BETA,0.0056660630000351375,9.829600003286032e-05,9.829600003286032e-05,0.005862655000100858,0,50,200
0,reference,PCNCV_BETA1,0.011935219999941182,0.0,9.759999102243455e-07,0.011936195999851407,100,0,200
0,reference,PCNCV_BETA,0.011935219999941182,0.0001235300001098949,0.0001235300001098949,0.012182280000160972,100,50,200
0,strike_low,MC,0.0,0.0,5.673900000147114e-05,5.673900000147114e-05,0,0,200
0,strike_low,GCV,0.0,0.00029638899991368817,5.864699983249011e-05,0.0003550359997461783,0,50,200
0,strike_low,NCV_TRANSFER_BETA1,0.0056660630000351375,0.0,8.041799992497545e-05,0.005746480999960113,0,0,200
0,strike_low,NCV_TRANSFER_BETA,0.0056660630000351375,9.517099988443078e-05,9.517099988443078e-05,0.005856404999803999,0,50,200
0,strike_low,PCNCV_BETA1,0.011935219999941182,0.0,1.1449999419710366e-06,0.011936364999883153,100,0,200
0,strike_low,PCNCV_BETA,0.011935219999941182,0.00012468399995668733,0.00012468399995668733,0.012184587999854557,100,50,200
0,strike_high,MC,0.0,0.0,5.639799996970396e-05,5.639799996970396e-05,0,0,200
0,strike_high,GCV,0.0,0.00026426599993101263,6.15769999967597e-05,0.0003258429999277723,0,50,200
0,strike_high,NCV_TRANSFER_BETA1,0.0056660630000351375,0.0,7.368100000348932e-05,0.005739744000038627,0,0,200
0,strike_high,NCV_TRANSFER_BETA,0.0056660630000351375,8.997100007945846e-05,8.997100007945846e-05,0.0058460050001940544,0,50,200
0,strike_high,PCNCV_BETA1,0.011935219999941182,0.0,9.819998467719415e-07,0.011936201999787954,100,0,200
0,strike_high,PCNCV_BETA,0.011935219999941182,0.00011581099988688948,0.00011581099988688948,0.012166841999714961,100,50,200
0,volatility_low,MC,0.0,0.0,7.859300012569292e-05,7.859300012569292e-05,0,0,200
0,volatility_low,GCV,0.0,0.0002806960001180414,5.695200002264755e-05,0.00033764800014068896,0,50,200
0,volatility_low,NCV_TRANSFER_BETA1,0.0056660630000351375,0.0,7.46810001146514e-05,0.005740744000149789,0,0,200
0,volatility_low,NCV_TRANSFER_BETA,0.0056660630000351375,9.4102000048224e-05,9.4102000048224e-05,0.0058542670001315855,0,50,200
0,volatility_low,PCNCV_BETA1,0.011935219999941182,0.0,9.699999736767495e-07,0.011936189999914859,100,0,200
0,volatility_low,PCNCV_BETA,0.011935219999941182,0.00010661200008144078,0.00010661200008144078,0.012148444000104064,100,50,200
0,volatility_high,MC,0.0,0.0,5.382299991651962e-05,5.382299991651962e-05,0,0,200
0,volatility_high,GCV,0.0,0.0002591229999779898,5.9522000128708896e-05,0.0003186450001066987,0,50,200
0,volatility_high,NCV_TRANSFER_BETA1,0.0056660630000351375,0.0,7.022899990261067e-05,0.005736291999937748,0,0,200
0,volatility_high,NCV_TRANSFER_BETA,0.0056660630000351375,8.394500014219375e-05,8.394500014219375e-05,0.005833953000319525,0,50,200
0,volatility_high,PCNCV_BETA1,0.011935219999941182,0.0,1.0960000054183183e-06,0.0119363159999466,100,0,200
0,volatility_high,PCNCV_BETA,0.011935219999941182,0.00010960999998133047,0.00010960999998133047,0.012154439999903843,100,50,200
0,maturity_short,MC,0.0,0.0,5.2639000159615534e-05,5.2639000159615534e-05,0,0,200
0,maturity_short,GCV,0.0,0.0002605790000416164,5.698099994333461e-05,0.000317559999984951,0,50,200
0,maturity_short,NCV_TRANSFER_BETA1,0.0056660630000351375,0.0,8.727099998395715e-05,0.005753334000019095,0,0,200
0,maturity_short,NCV_TRANSFER_BETA,0.0056660630000351375,8.936099993661628e-05,8.936099993661628e-05,0.00584478499990837,0,50,200
0,maturity_short,PCNCV_BETA1,0.011935219999941182,0.0,8.580000212532468e-07,0.011936077999962436,100,0,200
0,maturity_short,PCNCV_BETA,0.011935219999941182,0.00010974599990731804,0.00010974599990731804,0.012154711999755818,100,50,200
0,maturity_long,MC,0.0,0.0,5.123500000081549e-05,5.123500000081549e-05,0,0,200
0,maturity_long,GCV,0.0,0.0002500699999927747,5.9334999832572066e-05,0.00030940499982534675,0,50,200
0,maturity_long,NCV_TRANSFER_BETA1,0.0056660630000351375,0.0,6.947299993953493e-05,0.0057355359999746724,0,0,200
0,maturity_long,NCV_TRANSFER_BETA,0.0056660630000351375,8.833299989419174e-05,8.833299989419174e-05,0.005842728999823521,0,50,200
0,maturity_long,PCNCV_BETA1,0.011935219999941182,0.0,8.100000741251279e-07,0.011936030000015307,100,0,200
