checkpoint,aux_contract_index,K,sigma,T,validation_payoff_variance,validation_residual_variance,normalized_residual_variance,train_mse,optimizer_cumulative_training_runtime_s
0,0,75.42410292426541,0.2608083107537618,2.1196685103708544,484.7533426735951,478.2697203083392,0.9866249042667837,466.98572298770176,0.0
2,0,75.42410292426541,0.2608083107537618,2.1196685103708544,484.7533426735951,473.7000041557269,0.9771980148565764,443.224468553695,0.0029166829999667243
5,0,75.42410292426541,0.2608083107537618,2.1196685103708544,484.7533426735951,464.555971326152,0.9583347455923726,409.88777748652325,0.005450804000020071
10,0,75.42410292426541,0.2608083107537618,2.1196685103708544,484.7533426735951,432.76638273907275,0.8927558505366978,345.5622069356938,0.009415180999894801
0,1,119.72424194323081,0.1929379164411319,1.2145312462599902,14.496964354610332,15.398975795260128,1.062220711770112,466.98572298770176,0.0
2,1,119.72424194323081,0.1929379164411319,1.2145312462599902,14.496964354610332,14.466156668740982,0.9978748871063098,443.224468553695,0.0029166829999667243
5,1,119.72424194323081,0.1929379164411319,1.2145312462599902,14.496964354610332,13.336081250066126,0.919922331589715,409.88777748652325,0.005450804000020071
10,1,119.72424194323081,0.1929379164411319,1.2145312462599902,14.496964354610332,11.71445704922447,0.8080627614635082,345.5622069356938,0.009415180999894801
0,2,123.51577932017604,0.15398950777541837,0.9005101901275575,0.11750093611497686,0.39787305991858307,3.386126724379939,466.98572298770176,0.0
2,2,123.51577932017604,0.15398950777541837,0.9005101901275575,0.11750093611497686,0.4136785509038959,3.5206404696138223,443.224468553695,0.0029166829999667243
5,2,123.51577932017604,0.15398950777541837,0.9005101901275575,0.11750093611497686,0.6650809407340257,5.660218230799724,409.88777748652325,0.005450804000020071
10,2,123.51577932017604,0.15398950777541837,0.9005101901275575,0.11750093611497686,2.220629044677117,18.89882002730761,345.5622069356938,0.009415180999894801
0,0,80.80439577706761,0.17453713807770171,0.621820504697223,76.34024348296057,75.69503573048031,0.9915482617942623,876.8944118100869,0.0
2,0,80.80439577706761,0.17453713807770171,0.621820504697223,76.34024348296057,71.3485690472278,0.9346128043612156,839.7146919091628,0.0018497080000088317
5,0,80.80439577706761,0.17453713807770171,0.621820504697223,76.34024348296057,64.00758477427883,0.8384514098198489,780.1602567003628,0.004286622999870815
10,0,80.80439577706761,0.17453713807770171,0.621820504697223,76.34024348296057,47.52357051122134,0.6225231718291385,654.4970592025933,0.008158862000072986
0,1,88.4528797589422,0.08339664172939155,1.9730445839674262,46.87048218056936,46.63896364535131,0.9950604618419302,876.8944118100869,0.0
2,1,88.4528797589422,0.08339664172939155,1.9730445839674262,46.87048218056936,43.27804168906593,0.923353882350442,839.7146919091628,0.0018497080000088317
5,1,88.4528797589422,0.08339664172939155,1.9730445839674262,46.87048218056936,37.391217086089526,0.7977561856957051,780.1602567003628,0.004286622999870815
10,1,88.4528797589422,0.08339664172939155,1.9730445839674262,46.87048218056936,24.343144777520877,0.5193704789239949,654.4970592025933,0.008158862000072986
0,2,93.35715879623604,0.1902004016913478,1.4548581857236766,128.95467806137674,128.60207290921332,0.9972656660660608,876.8944118100869,0.0
2,2,93.35715879623604,0.1902004016913478,1.4548581857236766,128.95467806137674,124.01899460827488,0.9617254408502134,839.7146919091628,0.0018497080000088317
5,2,93.35715879623604,0.1902004016913478,1.4548581857236766,128.95467806137674,115.39048342836722,0.8948142491848682,780.1602567003628,0.004286622999870815
10,2,93.35715879623604,0.1902004016913478,1.4548581857236766,128.95467806137674,93.2929880046885,0.7234556311348794,654.4970592025933,0.008158862000072986
