replication,contract_id,method,comparator,variance_ratio,is_valid,beats_comparator
0,strike_high,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.856259418733078,True,False
0,strike_high,PCNCV_BETA,NCV_TRANSFER_BETA,0.8897762145179371,True,False
0,strike_high,PCNCV_BETA1,GCV,0.004209629661563572,True,False
0,strike_high,PCNCV_BETA,GCV,0.0040932981767663685,True,False
0,strike_high,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.856259418733078,True,False
0,strike_high,PCNCV_BETA,NCV_TRANSFER_BETA,0.8897762145179371,True,False
0,strike_high,PCNCV_BETA1,GCV,0.004209629661563572,True,False
0,strike_high,PCNCV_BETA,GCV,0.0040932981767663685,True,False
0,strike_high,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.856259418733078,True,False
0,strike_high,PCNCV_BETA,NCV_TRANSFER_BETA,0.8897762145179371,True,False
0,strike_high,PCNCV_BETA1,GCV,0.004209629661563572,True,False
0,strike_high,PCNCV_BETA,GCV,0.0040932981767663685,True,False
0,strike_high,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.856259418733078,True,False
0,strike_high,PCNCV_BETA,NCV_TRANSFER_BETA,0.8897762145179371,True,False
0,strike_high,PCNCV_BETA1,GCV,0.004209629661563572,True,False
0,strike_high,PCNCV_BETA,GCV,0.0040932981767663685,True,False
0,strike_high,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.856259418733078,True,False
0,strike_high,PCNCV_BETA,NCV_TRANSFER_BETA,0.8897762145179371,True,False
0,strike_low,PCNCV_BETA1,GCV,0.0006479950675211334,True,False
0,strike_low,PCNCV_BETA,GCV,0.0006889866694320988,True,False
0,strike_low,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.9381893539572203,True,False
0,strike_low,PCNCV_BETA,NCV_TRANSFER_BETA,0.7748168074010394,True,False
0,strike_low,PCNCV_BETA1,GCV,0.0006479950675211334,True,False
0,strike_low,PCNCV_BETA,GCV,0.0006889866694320988,True,False
0,strike_low,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.9381893539572203,True,False
0,strike_low,PCNCV_BETA,NCV_TRANSFER_BETA,0.7748168074010394,True,False
0,strike_low,PCNCV_BETA1,GCV,0.0006479950675211334,True,False
0,strike_low,PCNCV_BETA,GCV,0.0006889866694320988,True,False
0,strike_low,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.9381893539572203,True,False
0,strike_low,PCNCV_BETA,NCV_TRANSFER_BETA,0.7748168074010394,True,False
0,strike_low,PCNCV_BETA1,GCV,0.0006479950675211334,True,False
0,strike_low,PCNCV_BETA,GCV,0.0006889866694320988,True,False
0,strike_low,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.9381893539572203,True,False
0,strike_low,PCNCV_BETA,NCV_TRANSFER_BETA,0.7748168074010394,True,False
0,strike_low,PCNCV_BETA1,GCV,0.0006479950675211334,True,False
0,strike_low,PCNCV_BETA,GCV,0.0006889866694320988,True,False
0,strike_low,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.9381893539572203,True,False
0,strike_low,PCNCV_BETA,NCV_TRANSFER_BETA,0.7748168074010394,True,False
0,strike_low,PCNCV_BETA1,GCV,0.0006479950675211334,True,False
0,strike_low,PCNCV_BETA,GCV,0.0006889866694320988,True,False
0,strike_low,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.9381893539572203,True,False
0,strike_low,PCNCV_BETA,NCV_TRANSFER_BETA,0.7748168074010394,True,False
0,volatility_high,PCNCV_BETA1,GCV,0.005688680494351924,True,False
0,volatility_high,PCNCV_BETA,GCV,0.006046977804095498,True,False
0,volatility_high,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.9660596728690094,True,False
0,volatility_high,PCNCV_BETA,NCV_TRANSFER_BETA,0.9032673124001113,True,False
0,volatility_high,PCNCV_BETA1,GCV,0.005688680494351924,True,False
0,volatility_high,PCNCV_BETA,GCV,0.006046977804095498,True,False
0,volatility_high,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.9660596728690094,True,False
0,volatility_high,PCNCV_BETA,NCV_TRANSFER_BETA,0.9032673124001113,True,False
0,volatility_high,PCNCV_BETA1,GCV,0.005688680494351924,True,False
0,volatility_high,PCNCV_BETA,GCV,0.006046977804095498,True,False
0,volatility_high,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.9660596728690094,True,False
0,volatility_high,PCNCV_BETA,NCV_TRANSFER_BETA,0.9032673124001113,True,False
0,volatility_high,PCNCV_BETA1,GCV,0.005688680494351924,True,False
0,volatility_high,PCNCV_BETA,GCV,0.006046977804095498,True,False
0,volatility_high,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.9660596728690094,True,False
0,volatility_high,PCNCV_BETA,NCV_TRANSFER_BETA,0.9032673124001113,True,False
0,volatility_high,PCNCV_BETA1,GCV,0.005688680494351924,True,False
0,volatility_high,PCNCV_BETA,GCV,0.006046977804095498,True,False
0,volatility_high,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.9660596728690094,True,False
0,volatility_high,PCNCV_BETA,NCV_TRANSFER_BETA,0.9032673124001113,True,False
0,volatility_high,PCNCV_BETA1,GCV,0.005688680494351924,True,False
0,volatility_high,PCNCV_BETA,GCV,0.006046977804095498,True,False
0,volatility_high,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.9660596728690094,True,False
0,volatility_high,PCNCV_BETA,NCV_TRANSFER_BETA,0.9032673124001113,True,False
0,volatility_low,PCNCV_BETA1,GCV,0.00021368641494283857,True,False
0,volatility_low,PCNCV_BETA,GCV,0.00021328914697013766,True,False
0,volatility_low,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.8062430982518012,True,False
0,volatility_low,PCNCV_BETA,NCV_TRANSFER_BETA,0.7276468588797451,True,False
0,volatility_low,PCNCV_BETA1,GCV,0.00021368641494283857,True,False
0,volatility_low,PCNCV_BETA,GCV,0.00021328914697013766,True,False
0,volatility_low,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.8062430982518012,True,False
0,volatility_low,PCNCV_BETA,NCV_TRANSFER_BETA,0.7276468588797451,True,False
0,volatility_low,PCNCV_BETA1,GCV,0.00021368641494283857,True,False
0,volatility_low,PCNCV_BETA,GCV,0.00021328914697013766,True,False
0,volatility_low,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.8062430982518012,True,False
0,volatility_low,PCNCV_BETA,NCV_TRANSFER_BETA,0.7276468588797451,True,False
0,volatility_low,PCNCV_BETA1,GCV,0.00021368641494283857,True,False
0,volatility_low,PCNCV_BETA,GCV,0.00021328914697013766,True,False
