method,comparator,geometric_mean,ci95_lower,ci95_upper,n_valid,beats_count,beats_percentage
PCNCV_BETA,GCV,0.0013716602777996308,0.001045691463569104,0.0017992419210076356,84,0,0.0
PCNCV_BETA,NCV_TRANSFER_BETA,1.0688810658157835,1.0015270241133343,1.1407647575670383,84,42,50.0
PCNCV_BETA1,GCV,0.0011324466985337942,0.0008758045142621758,0.0014642942621738845,84,0,0.0
PCNCV_BETA1,NCV_TRANSFER_BETA1,1.066066493047781,1.0220074908669006,1.1120248899889957,84,42,50.0
