contract_id,method,phase,runtime_mean_s,runtime_std_s,runtime_median_s,runtime_min_s,runtime_max_s,n_timing_repetitions
maturity_long,AV,pricing,0.00018839099993783748,5.185921115144846e-06,0.00018839099993783748,0.00018472399995062005,0.0001920579999250549,2
maturity_long,GCV,pilot,0.00022891699995852832,1.1752114218648948e-06,0.00022891699995852832,0.00022808599999279977,0.00022974799992425687,2
maturity_long,GCV,pricing,0.0002776525000172114,1.1298859224274694e-05,0.0002776525000172114,0.0002696630000400546,0.00028564199999436823,2
maturity_long,MC,pricing,0.00013648950005062943,1.29612668894022e-06,0.00013648950005062943,0.00013557300007960293,0.00013740600002165593,2
maturity_short,AV,pricing,0.0001849099999731152,4.314765528837652e-06,0.0001849099999731152,0.00018185900000844413,0.00018796099993778626,2
maturity_short,GCV,pilot,0.00026067600003898406,4.018204994127631e-05,0.00026067600003898406,0.00023226300004353106,0.00028908900003443705,2
maturity_short,GCV,pricing,0.0002705090000176824,2.012708735665879e-05,0.0002705090000176824,0.00025627700006225496,0.00028474099997310987,2
maturity_short,MC,pricing,0.00013619349999771657,4.12313960793882e-06,0.00013619349999771657,0.0001332780000211642,0.00013910899997426895,2
reference,AV,pricing,0.00019365550002703458,8.522758017831163e-06,0.00019365550002703458,0.00018762900003821414,0.000199682000015855,2
reference,GCV,pilot,0.0002612874999954329,3.0674999242787104e-05,0.0002612874999954329,0.0002395970000179659,0.00028297799997289985,2
reference,GCV,pricing,0.00029212449999249657,2.6453571786643128e-05,0.00029212449999249657,0.0002734189999955561,0.00031082999998943706,2
reference,MC,pricing,0.00014728949997788732,1.142613854585673e-05,0.00014728949997788732,0.00013920999992933503,0.0001553690000264396,2
strike_high,AV,pricing,0.00019185849993164084,1.0116576728988576e-05,0.00019185849993164084,0.000184704999924179,0.00019901199993910268,2
strike_high,GCV,pilot,0.0002431785000567288,1.5790401508254215e-05,0.0002431785000567288,0.00023201300007258396,0.00025434400004087365,2
strike_high,GCV,pricing,0.00026167299995449866,1.4382552566679513e-06,0.00026167299995449866,0.00026065599990943156,0.00026268999999956577,2
strike_high,MC,pricing,0.00013643950001096528,1.6228101041455596e-06,0.00013643950001096528,0.0001352919999817459,0.00013758700004018465,2
strike_low,AV,pricing,0.00020584449998750642,2.8975114591088794e-05,0.00020584449998750642,0.00018535599997449026,0.0002263330000005226,2
strike_low,GCV,pilot,0.0002306650000036825,7.445834444171422e-06,0.0002306650000036825,0.00022539999997661653,0.0002359300000307485,2
strike_low,GCV,pricing,0.00026866650000556547,7.983942641155301e-06,0.00026866650000556547,0.0002630210000234001,0.0002743119999877308,2
strike_low,MC,pricing,0.00013717100000576465,1.7649385110958232e-06,0.00013717100000576465,0.0001359230000161915,0.0001384189999953378,2
volatility_high,AV,pricing,0.00018784550002237665,2.585889484151199e-06,0.00018784550002237665,0.00018601700003273436,0.00018967400001201895,2
volatility_high,GCV,pilot,0.00023987749995058039,1.3572914619754985e-05,0.00023987749995058039,0.0002302799999824856,0.00024947499991867517,2
volatility_high,GCV,pricing,0.00025876800003743483,5.504119097544996e-06,0.00025876800003743483,0.0002548760000991024,0.0002626599999757673,2
volatility_high,MC,pricing,0.0001485120000097595,1.7916671541580782e-05,0.0001485120000097595,0.0001358430000664157,0.0001611809999531033,2
volatility_low,AV,pricing,0.00018708400000377878,6.141929502117994e-06,0.00018708400000377878,0.00018274100000326143,0.00019142700000429613,2
volatility_low,GCV,pilot,0.00024192600000105813,1.7957683863890363e-05,0.00024192600000105813,0.000229227999966497,0.00025462400003561925,2
volatility_low,GCV,pricing,0.00025821200000564204,5.454621663985161e-06,0.00025821200000564204,0.0002543550000382311,0.000262068999973053,2
volatility_low,MC,pricing,0.0001471444999765481,1.8433566679078456e-05,0.0001471444999765481,0.00013410999997631734,0.00016017899997677887,2
