base_seed,replication,contract_id,K,sigma,T,method,pricing_seed,pilot_seed,target_training_seed,price,observation_variance,estimator_variance,std_error,ci_lower,ci_upper,pricing_observations,pricing_simulated_paths,pilot_paths,target_training_paths,shared_reference_training_paths,total_simulated_paths,shared_reference_training_runtime_s,target_training_runtime_s,pilot_runtime_s,pricing_runtime_s,end_to_end_runtime_s,beta,corr_f_c0,param_hash,hash_verified,error
42,0,volatility_high,100.0,0.5,1.0,AV,5442,4442,3442,14.990234554570238,232.13385344213432,1.1606692672106715,1.077343616127497,12.878641066960345,17.10182804218013,200,400,0,0,0,400,0.0,0.0,0.0,0.00018967400001201895,0.00018967400001201895,nan,nan,,,
42,0,volatility_high,100.0,0.5,1.0,GCV,5442,4442,3442,12.977060413058862,2.284244840299994,0.01142122420149997,0.10687012773221509,12.76759496270372,13.186525863414003,200,200,50,0,0,250,0.0,0.0,0.0002302799999824856,0.0002626599999757673,0.0004929399999582529,1.1035127283240722,0.996627516639181,,,
42,0,volatility_high,100.0,0.5,1.0,NCV_SCRATCH,5442,4442,3442,,,,,,,,,,,,,,,,,,,,,,torch_not_available
42,0,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,5442,4442,3442,,,,,,,,,,,,,,,,,,,,,,torch_not_available
42,0,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,5442,4442,3442,,,,,,,,,,,,,,,,,,,,,,torch_not_available
42,0,maturity_short,100.0,0.2,0.5,MC,5542,4542,3542,4.438150979961661,35.02485136878223,0.17512425684391114,0.4184785022482172,3.6179331155551555,5.258368844368167,200,200,0,0,0,200,0.0,0.0,0.0,0.00013910899997426895,0.00013910899997426895,nan,nan,,,
42,0,maturity_short,100.0,0.2,0.5,AV,5542,4542,3542,4.280397756537512,8.620112664418208,0.04310056332209104,0.20760675162935102,3.873488523343984,4.687306989731041,200,400,0,0,0,400,0.0,0.0,0.0,0.00018796099993778626,0.00018796099993778626,nan,nan,,,
42,0,maturity_short,100.0,0.2,0.5,GCV,5542,4542,3542,4.101673070081405,0.01348473259112037,6.742366295560186e-05,0.008211191323772809,4.08557913508681,4.117767005075999,200,200,50,0,0,250,0.0,0.0,0.00023226300004353106,0.00028474099997310987,0.0005170040000166409,1.021264375139813,0.999955170151143,,,
42,0,maturity_short,100.0,0.2,0.5,NCV_SCRATCH,5542,4542,3542,,,,,,,,,,,,,,,,,,,,,,torch_not_available
42,0,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,5542,4542,3542,,,,,,,,,,,,,,,,,,,,,,torch_not_available
42,0,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,5542,4542,3542,,,,,,,,,,,,,,,,,,,,,,torch_not_available
42,0,maturity_long,100.0,0.2,2.0,MC,5642,4642,3642,9.585539176044371,139.03052861789155,0.6951526430894578,0.8337581442417565,7.951373213330529,11.219705138758213,200,200,0,0,0,200,0.0,0.0,0.0,0.00013740600002165593,0.00013740600002165593,nan,nan,,,
42,0,maturity_long,100.0,0.2,2.0,AV,5642,4642,3642,9.098138840695405,32.3008624083729,0.1615043120418645,0.40187599087512615,8.310461898580158,9.885815782810653,200,400,0,0,0,400,0.0,0.0,0.0,0.00018472399995062005,0.00018472399995062005,nan,nan,,,
42,0,maturity_long,100.0,0.2,2.0,GCV,5642,4642,3642,9.309445517697219,0.18155762664561995,0.0009077881332280998,0.030129522618655938,9.250391653364654,9.368499382029784,200,200,50,0,0,250,0.0,0.0,0.00022974799992425687,0.00028564199999436823,0.0005153899999186251,1.0560606039547635,0.9996171153226294,,,
42,0,maturity_long,100.0,0.2,2.0,NCV_SCRATCH,5642,4642,3642,,,,,,,,,,,,,,,,,,,,,,torch_not_available
42,0,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,5642,4642,3642,,,,,,,,,,,,,,,,,,,,,,torch_not_available
42,0,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,5642,4642,3642,,,,,,,,,,,,,,,,,,,,,,torch_not_available
42,1,reference,100.0,0.2,1.0,MC,105042,104042,103042,6.336546265234938,79.91944264229235,0.39959721321146174,0.6321370209151349,5.097557704241273,7.575534826228603,200,200,0,0,0,200,0.0,0.0,0.0,0.00013920999992933503,0.00013920999992933503,nan,nan,,,
42,1,reference,100.0,0.2,1.0,AV,105042,104042,103042,6.305480642067186,17.721065832304884,0.08860532916152442,0.2976664730222811,5.722054354943515,6.888906929190857,200,400,0,0,0,400,0.0,0.0,0.0,0.00018762900003821414,0.00018762900003821414,nan,nan,,,
42,1,reference,100.0,0.2,1.0,GCV,105042,104042,103042,6.148785531230196,0.07806350915919028,0.0003903175457959514,0.019756455800470675,6.1100628778612736,6.187508184599118,200,200,50,0,0,250,0.0,0.0,0.0002395970000179659,0.00031082999998943706,0.000550427000007403,1.0354494195209414,0.9992730970912495,,,
