monitoring_dates,ncv_epoch,replications,ncv_beats_gcv_count,advantage_geometric_mean,advantage_ci95_lower,advantage_ci95_upper,advantage_median,advantage_min,advantage_max,ncv_vrr_geometric_mean,ncv_vrr_ci95_lower,ncv_vrr_ci95_upper,gcv_vrr_geometric_mean,gcv_vrr_ci95_lower,gcv_vrr_ci95_upper
12,25,30,0,0.5008707162991715,0.47291300275425036,0.5304812364747152,0.4848994186480459,0.40765312973625684,0.8396427252307874,637.436225291204,600.9032892026154,676.1902432797169,1272.6562055795282,1263.0012335549145,1282.384984725085
12,1000,30,30,17.744767389218183,15.935122529784778,19.75992146335343,17.771549665119792,4.96097866457168,24.449414693644286,22582.988334453763,20294.14830043992,25129.97118992274,1272.6562055795282,1263.0012335549145,1282.384984725085
252,25,30,0,0.1792723981250893,0.17428381051589542,0.18440377585495438,0.17755406067930224,0.15476631260624144,0.20307978186511622,234.2634607708412,228.37605554664697,240.3026399635931,1306.74584164028,1296.5977618634963,1316.9733473779786
252,1000,30,0,0.16973065372109178,0.1593037928709549,0.18083998060187859,0.17575858849839815,0.12499433409714071,0.2570513527820472,221.79482594892303,208.58805075407037,235.83778955637567,1306.74584164028,1296.5977618634963,1316.9733473779786
