method,mean_beta,std_beta,mean_correlation,std_correlation,geometric_mean_variance_improvement_from_estimating_beta
NCV_TRANSFER_BETA1,1.0,0.0,0.9276723434359101,0.1168258166850869,1.0
NCV_TRANSFER_BETA,1.1253719452441837,0.7897625817081264,0.9282605713974204,0.11593546611745383,25.640141731350987
