contract_id,method,successful_replications,failed_replications,failure_messages,mean_price,median_price,empirical_std_across_replications,empirical_standard_error_of_mean,mean_reported_estimator_standard_error,pricing_observations_mean,pricing_simulated_paths_mean,pilot_paths_mean,target_training_paths_mean,mean_observation_variance,mean_estimator_variance,bias_against_reference_estimate,absolute_bias,mae,rmse,mean_confidence_interval_width,naive_coverage_against_estimated_reference,naive_coverage_label,variance_reduction_vs_mc_arithmetic_mean,variance_reduction_vs_gcv_arithmetic_mean,path_efficiency_vs_mc,runtime_efficiency_vs_mc,setup_cost_s_median,setup_cost_s_mean,setup_cost_s_std,pricing_runtime_s_median,pricing_runtime_s_mean,pricing_runtime_s_std,pilot_runtime_s_median,pilot_runtime_s_mean,pilot_runtime_s_std,target_training_runtime_s_median,target_training_runtime_s_mean,target_training_runtime_s_std,ncv_setup_cost_s_median,ncv_setup_cost_s_mean,ncv_setup_cost_s_std,marginal_runtime_s_median,marginal_runtime_s_mean,marginal_runtime_s_std,standalone_runtime_s_median,standalone_runtime_s_mean,standalone_runtime_s_std
maturity_long,AV,5,0,,8.729653402401823,8.72980295355516,0.025358404033345674,0.011340623043893154,0.025627505083159512,50000.0,100000.0,0.0,0.0,32.83940874691699,0.0006567881749383398,-0.00334290043855745,0.00334290043855745,0.017486147571563748,0.022926271119325634,0.10045981992598527,1.0,naive_coverage_vs_estimated_reference_not_true_coverage,4.286174976021564,0.007064333924246347,0.5,0.684443160846844,0.0,0.0,0.0,0.49632248299985804,0.4964566866000041,0.0032488731927508806,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.49632248299985804,0.4964566866000041,0.0032488731927508806,0.49632248299985804,0.4964566866000041,0.0032488731927508806
maturity_long,GCV,5,0,,8.733841871836571,8.733568281638895,0.0013569434252440212,0.0006068435480934071,0.0021536083482772465,50000.0,50000.0,1000.0,0.0,0.23192975943506863,4.638595188701373e-06,0.0008455689961905932,0.0008455689961905932,0.0010398756454904402,0.0014791968411169455,0.008442144725246691,1.0,naive_coverage_vs_estimated_reference_not_true_coverage,607.1955993428996,1.0,0.9803921568627451,0.8533831547304588,0.00758277599993562,0.007595707000018592,0.00011523744840444233,0.3910919710001508,0.39057993300002636,0.0018610883466168757,0.00758277599993562,0.007595707000018592,0.00011523744840444233,0.0,0.0,0.0,NA,NA,NA,0.3910919710001508,0.39057993300002636,0.0018610883466168757,0.3985728040001959,0.39817564000004496,0.0018078804733361767
maturity_long,MC,5,0,,8.736426159424484,8.73860761728546,0.023611739063076176,0.010559490722405104,0.05305559441401037,50000.0,50000.0,0.0,0.0,140.74600825693545,0.0028149201651387094,0.0034298565841037743,0.0034298565841037743,0.018759597967251553,0.02139568399125757,0.20797793010291982,1.0,naive_coverage_vs_estimated_reference_not_true_coverage,1.0,0.0016480490502856465,1.0,1.0,0.0,0.0,0.0,0.3400057190001462,0.33979638380005783,0.0011995359467073274,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.3400057190001462,0.33979638380005783,0.0011995359467073274,0.3400057190001462,0.33979638380005783,0.0011995359467073274
maturity_long,NCV_SCRATCH,5,0,,8.731689897369197,8.7318750902269,0.0006912400014682197,0.0003091319264099987,0.0011352067562363857,50000.0,50000.0,0.0,20000.0,0.0658189274603291,1.3163785492065818e-06,-0.001306405471183325,0.001306405471183325,0.0013064054711826145,0.0014453184586241527,0.004450010484445955,0.8,naive_coverage_vs_estimated_reference_not_true_coverage,2308.267461125266,3.823543563298991,0.7142857142857143,0.02640656463475362,12.523063052999987,12.537097088599921,0.046492915475674045,0.3307414280000103,0.3307783241999914,0.0016048573920667906,0.0,0.0,0.0,12.523063052999987,12.537097088599921,0.046492915475674045,12.523063052999987,12.537097088599921,0.046492915475674045,0.3307414280000103,0.3307783241999914,0.0016048573920667906,12.853804480999997,12.867875412799913,0.04610455349880673
maturity_long,NCV_TRANSFER_BETA,5,0,,8.732631146702602,8.733362626376882,0.001853598237326569,0.0008289543323271992,0.0018067678492996106,50000.0,50000.0,1000.0,0.0,0.16329363903451363,3.265872780690273e-06,-0.00036515613777865497,0.00036515613777865497,0.0012175446760082308,0.0016976454710257007,0.0070825299692543805,0.8,naive_coverage_vs_estimated_reference_not_true_coverage,863.3188435102928,1.4231034467466712,0.9803921568627451,0.025870617232103557,12.584866652999835,12.775714196199896,0.45409108814668886,0.35941032200003065,0.35873794120002456,0.002614134498299164,0.008177499999874271,0.008167385799970362,7.801948197034586e-05,0.0,0.0,0.0,NA,NA,NA,0.35941032200003065,0.35873794120002456,0.002614134498299164,12.944276974999866,13.134452137399922,0.45547868997306357
maturity_long,NCV_TRANSFER_BETA1,5,0,,8.733873654938115,8.735291044012355,0.006861477615463174,0.0030685460748537635,0.01739572783794901,50000.0,50000.0,0.0,0.0,15.131661083503952,0.00030263322167007906,0.0008773520977349847,0.0008773520977349847,0.005694207197750956,0.0061994876205539555,0.06819125312475975,1.0,naive_coverage_vs_estimated_reference_not_true_coverage,9.303704045685254,0.015334313864597727,1.0,0.025887692321073366,12.57665540999983,12.767546810399926,0.45403760438603125,0.35889725099991665,0.35824206199999936,0.0029798882216971277,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.35889725099991665,0.35824206199999936,0.0029798882216971277,12.931720253999856,13.125788872399927,0.45426135170177095
maturity_short,AV,5,0,,3.8711693558320226,3.8734864771057445,0.01457053923955932,0.006516143241696547,0.012096297364334678,50000.0,100000.0,0.0,0.0,7.316197353710543,0.00014632394707421087,0.005681110844061088,0.005681110844061088,0.012108555288944878,0.014216733499919693,0.04741748566819197,0.8,naive_coverage_vs_estimated_reference_not_true_coverage,4.038776823105898,0.0014595880978229107,0.5,0.684117504723811,0.0,0.0,0.0,0.4970369400000436,0.4973877455999173,0.004596886771935496,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.4970369400000436,0.4973877455999173,0.004596886771935496,0.4970369400000436,0.4973877455999173,0.004596886771935496
maturity_short,GCV,5,0,,3.865728915970402,3.8657517210976815,0.0003088959123880428,0.0001381424516142966,0.0004620862756489533,50000.0,50000.0,1000.0,0.0,0.010676949629455751,2.1353899258911503e-07,0.0002406709824405162,0.0002406709824405162,0.00029527358173568884,0.00036640942883723785,0.001811378200543956,1.0,naive_coverage_vs_estimated_reference_not_true_coverage,2768.5018845974614,1.0,0.9803921568627451,0.8560698000685745,0.007563839000113148,0.007547215599970514,5.5409074650108365e-05,0.3895526389999304,0.3899339984000562,0.0015515804780123106,0.007563839000113148,0.007547215599970514,5.5409074650108365e-05,0.0,0.0,0.0,NA,NA,NA,0.3895526389999304,0.3899339984000562,0.0015515804780123106,0.3970406829998865,0.39748121400002673,0.0015404327377057238
maturity_short,MC,5,0,,3.8540824798546844,3.8360441878436227,0.03039840715665916,0.013594580962001196,0.024309149444867444,50000.0,50000.0,0.0,0.0,29.547536960671902,0.000590950739213438,-0.011405765133277068,0.011405765133277068,0.026623756086889206,0.029484606227743595,0.09529186582388043,1.0,naive_coverage_vs_estimated_reference_not_true_coverage,1.0,0.00036142410579349896,1.0,1.0,0.0,0.0,0.0,0.3401593370001592,0.34027166340001713,0.001139629485256969,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.3401593370001592,0.34027166340001713,0.001139629485256969,0.3401593370001592,0.34027166340001713,0.001139629485256969
maturity_short,NCV_SCRATCH,5,0,,3.8658282757380253,3.8658335756107496,0.0005559468418310535,0.00024862698604211184,0.0004027472444775411,50000.0,50000.0,0.0,20000.0,0.00817199589863319,1.634399179726638e-07,0.00034003075006383554,0.00034003075006383554,0.0005205697838520429,0.0006023972308555142,0.0015787691983518925,0.8,naive_coverage_vs_estimated_reference_not_true_coverage,3723.1879378600242,1.3434916089954545,0.7142857142857143,0.0263460394343967,12.546593706999829,12.585136221599987,0.1441507107014013,0.33014464599978055,0.3303406661999816,0.0018778182954667442,0.0,0.0,0.0,12.546593706999829,12.585136221599987,0.1441507107014013,12.546593706999829,12.585136221599987,0.1441507107014013,0.33014464599978055,0.3303406661999816,0.0018778182954667442,12.87673835299961,12.915476887799969,0.14311317204842894
