contract_id,price,std_error,ci_lower,ci_upper,n_paths,method,seed,monitoring_dates
reference,5.782004903136359,0.0003100458644064878,5.781397213242123,5.782612593030596,500000,GCV_high_precision,9042,252
strike_low,21.50122407800831,0.0004085248529464207,21.500423369296534,21.502024786720085,500000,GCV_high_precision,10042,252
strike_high,0.5334244722519295,0.00024941290730008377,0.5329356229536213,0.5339133215502376,500000,GCV_high_precision,11042,252
volatility_low,3.6538345125185363,8.730171729861665e-05,3.653663401152631,3.6540056238844416,500000,GCV_high_precision,12042,252
volatility_high,12.356036930896327,0.0020841309097521885,12.351952034313213,12.36012182747944,500000,GCV_high_precision,13042,252
maturity_short,3.8654882449879615,0.0001451292123684276,3.8652037917317195,3.8657726982442036,500000,GCV_high_precision,14042,252
maturity_long,8.73299630284038,0.0006792020167992061,8.731665066887453,8.734327538793307,500000,GCV_high_precision,15042,252
