result_type,projection_scope,setup_reuse_assumption,contract_id,method,Q,budget_paths_per_valuation,pricing_observations,pricing_simulated_paths,training_paths,pilot_paths,shared_paths,setup_paths_counted_once,paths_per_pricing_observation,pricing_independent_random_vectors_per_valuation,setup_independent_random_vectors_counted_once,total_independent_random_vectors,pricing_payoff_evaluations_per_valuation,total_payoff_evaluations,validation_paths,total_paths_used,feasible,failure_reason,total_budget_paths,budget_constraint_satisfied,projected_estimator_standard_error
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,MC,1,50000,50000,50000,0,0,0,0,1,50000,0,50000,50000,50000,0,50000,True,,50000,True,0.09522043177218106
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,AV,1,50000,25000,50000,0,0,0,0,2,25000,0,25000,50000,50000,0,50000,True,,50000,True,0.07742767485393319
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,GCV,1,50000,49000,49000,0,1000,0,1000,1,49000,1000,50000,49000,50000,0,50000,True,,50000,True,0.006712396869424614
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,NCV_SCRATCH,1,50000,30000,30000,20000,0,0,20000,1,30000,20000,50000,30000,50000,0,50000,True,,50000,True,0.004901064038116441
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,NCV_TRANSFER_BETA1,1,50000,30000,30000,0,0,20000,20000,1,30000,20000,50000,30000,50000,0,50000,True,,50000,True,0.0782408137645829
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,NCV_TRANSFER_BETA,1,50000,29000,29000,0,1000,20000,21000,1,29000,21000,50000,29000,50000,0,50000,True,,50000,True,0.024689756663354004
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,MC,1,50000,50000,50000,0,0,0,0,1,50000,0,50000,50000,50000,0,50000,True,,50000,True,0.02430947838217509
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,AV,1,50000,25000,50000,0,0,0,0,2,25000,0,25000,50000,50000,0,50000,True,,50000,True,0.01710695455504637
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,GCV,1,50000,49000,49000,0,1000,0,1000,1,49000,1000,50000,49000,50000,0,50000,True,,50000,True,0.0004667943136043783
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,NCV_SCRATCH,1,50000,30000,30000,20000,0,0,20000,1,30000,20000,50000,30000,50000,0,50000,True,,50000,True,0.0005219194030573811
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,NCV_TRANSFER_BETA1,1,50000,30000,30000,0,0,20000,20000,1,30000,20000,50000,30000,50000,0,50000,True,,50000,True,0.014847004009452505
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,NCV_TRANSFER_BETA,1,50000,29000,29000,0,1000,20000,21000,1,29000,21000,50000,29000,50000,0,50000,True,,50000,True,0.0007205073220203076
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,MC,1,50000,50000,50000,0,0,0,0,1,50000,0,50000,50000,50000,0,50000,True,,50000,True,0.05305582121821044
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,AV,1,50000,25000,50000,0,0,0,0,2,25000,0,25000,50000,50000,0,50000,True,,50000,True,0.036243293860750016
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,GCV,1,50000,49000,49000,0,1000,0,1000,1,49000,1000,50000,49000,50000,0,50000,True,,50000,True,0.00217560575395315
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,NCV_SCRATCH,1,50000,30000,30000,20000,0,0,20000,1,30000,20000,50000,30000,50000,0,50000,True,,50000,True,0.0014812036486174466
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,NCV_TRANSFER_BETA1,1,50000,30000,30000,0,0,20000,20000,1,30000,20000,50000,30000,50000,0,50000,True,,50000,True,0.022458599751174715
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,NCV_TRANSFER_BETA,1,50000,29000,29000,0,1000,20000,21000,1,29000,21000,50000,29000,50000,0,50000,True,,50000,True,0.002372933867414168
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,MC,5,50000,50000,50000,0,0,0,0,1,50000,0,250000,50000,250000,0,250000,True,,250000,True,0.035716395942955594
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,AV,5,50000,25000,50000,0,0,0,0,2,25000,0,125000,50000,250000,0,250000,True,,250000,True,0.02474055642210764
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,GCV,5,50000,49800,49800,0,1000,0,1000,1,49800,1000,250000,49800,250000,0,250000,True,,250000,True,0.0009852931868724682
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,NCV_SCRATCH,5,50000,46000,46000,20000,0,0,20000,1,46000,20000,250000,46000,250000,0,250000,True,,250000,True,0.0006796847560338214
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,MC,5,50000,50000,50000,0,0,0,0,1,50000,0,250000,50000,250000,0,250000,True,,250000,True,0.05049838392548276
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,AV,5,50000,25000,50000,0,0,0,0,2,25000,0,125000,50000,250000,0,250000,True,,250000,True,0.008831845460162514
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,GCV,5,50000,49800,49800,0,1000,0,1000,1,49800,1000,250000,49800,250000,0,250000,True,,250000,True,0.0013050468337972082
