contract_id,method,baseline_method,initial_cost_s,baseline_marginal_cost_s,proposed_marginal_cost_s,baseline_setup_runtime_components,baseline_marginal_runtime_components,proposed_setup_runtime_components,proposed_marginal_runtime_components,baseline_setup_cost_s,proposed_setup_cost_s,break_even_q,verified_q,verified_q_minus_1,q_minus_1_verification_status,cost_baseline_q_minus_1,cost_proposed_q_minus_1,cost_baseline_q,cost_proposed_q,failure_reason,break_even_q_mean_runtime_sensitivity,break_even_q_mean_runtime_sensitivity_reason
strike_low,NCV_SCRATCH,GCV,12.532240808999859,0.388514707000013,0.33070294200001626,pilot_runtime_s,pricing_runtime_s,ncv_setup_cost_s,pricing_runtime_s,0.007507083000064085,12.532240808999859,217,True,True,verified_against_q_minus_1,83.92668379500287,83.96407628100337,84.31519850200289,84.29477922300339,,214,
strike_low,NCV_TRANSFER_BETA1,GCV,12.57665540999983,0.388514707000013,0.3553459810000277,pilot_runtime_s,pricing_runtime_s,shared_reference_training_runtime_s,pricing_runtime_s,0.007507083000064085,12.57665540999983,379,True,True,verified_against_q_minus_1,146.86606632900498,146.8974362280103,147.254581036005,147.25278220901032,,376,
strike_low,NCV_TRANSFER_BETA,GCV,12.584808863999797,0.388514707000013,0.35711611000010635,pilot_runtime_s,pricing_runtime_s,shared_reference_training_runtime_s|pilot_runtime_s,pricing_runtime_s,0.007507083000064085,12.584808863999797,401,True,True,verified_against_q_minus_1,155.41338988300527,155.43125286404234,155.80190459000528,155.78836897404244,,393,
strike_high,NCV_SCRATCH,GCV,12.535538447999897,0.3906591780000781,0.33036427499996535,pilot_runtime_s,pricing_runtime_s,ncv_setup_cost_s,pricing_runtime_s,0.0076864280001700536,12.535538447999897,208,True,True,verified_against_q_minus_1,80.87413627401634,80.92094337299272,81.26479545201641,81.25130764799269,,208,
strike_high,NCV_TRANSFER_BETA1,GCV,12.57665540999983,0.3906591780000781,0.3556610959999489,pilot_runtime_s,pricing_runtime_s,shared_reference_training_runtime_s,pricing_runtime_s,0.0076864280001700536,12.57665540999983,360,True,True,verified_against_q_minus_1,140.2543313300282,140.25898887398148,140.6449905080283,140.61464996998143,,359,
strike_high,NCV_TRANSFER_BETA,GCV,12.584736798999984,0.3906591780000781,0.35732065400020474,pilot_runtime_s,pricing_runtime_s,shared_reference_training_runtime_s|pilot_runtime_s,pricing_runtime_s,0.0076864280001700536,12.584736798999984,378,True,True,verified_against_q_minus_1,147.2861965340296,147.29462335707717,147.6768557120297,147.65194401107738,,378,
volatility_low,NCV_SCRATCH,GCV,12.555465186999982,0.3896561509998264,0.3321119049999197,pilot_runtime_s,pricing_runtime_s,ncv_setup_cost_s,pricing_runtime_s,0.007542014999899038,12.555465186999982,219,True,True,verified_against_q_minus_1,84.95258293296206,84.95586047698248,85.34223908396189,85.2879723819824,,215,
volatility_low,NCV_TRANSFER_BETA1,GCV,12.57665540999983,0.3896561509998264,0.3577069790001133,pilot_runtime_s,pricing_runtime_s,shared_reference_training_runtime_s,pricing_runtime_s,0.007542014999899038,12.57665540999983,394,True,True,verified_against_q_minus_1,153.14240935793168,153.15549815704435,153.5320655089315,153.51320513604446,,398,
volatility_low,NCV_TRANSFER_BETA,GCV,12.584882892999758,0.3896561509998264,0.3586578700001155,pilot_runtime_s,pricing_runtime_s,shared_reference_training_runtime_s|pilot_runtime_s,pricing_runtime_s,0.007542014999899038,12.584882892999758,406,True,True,verified_against_q_minus_1,157.8182831699296,157.84132024304654,158.20793932092943,158.19997811304665,,416,
volatility_high,NCV_SCRATCH,GCV,12.558667855000294,0.3893420489998789,0.33295778999990944,pilot_runtime_s,pricing_runtime_s,ncv_setup_cost_s,pricing_runtime_s,0.0076348630000211415,12.558667855000294,223,True,True,verified_against_q_minus_1,86.44156974097314,86.47529723498019,86.83091178997302,86.8082550249801,,220,
volatility_high,NCV_TRANSFER_BETA1,GCV,12.57665540999983,0.3893420489998789,0.35767877600005704,pilot_runtime_s,pricing_runtime_s,shared_reference_training_runtime_s,pricing_runtime_s,0.0076348630000211415,12.57665540999983,397,True,True,verified_against_q_minus_1,154.18708626695206,154.21745070602242,154.57642831595194,154.57512948202248,,396,
volatility_high,NCV_TRANSFER_BETA,GCV,12.584890897999912,0.3893420489998789,0.3572674680001455,pilot_runtime_s,pricing_runtime_s,shared_reference_training_runtime_s|pilot_runtime_s,pricing_runtime_s,0.0076348630000211415,12.584890897999912,393,True,True,verified_against_q_minus_1,152.62971807095255,152.63373835405696,153.01906011995243,152.9910058220571,,399,
maturity_short,NCV_SCRATCH,GCV,12.546593706999829,0.3895526389999304,0.33014464599978055,pilot_runtime_s,pricing_runtime_s,ncv_setup_cost_s,pricing_runtime_s,0.007563839000113148,12.546593706999829,212,True,True,verified_against_q_minus_1,82.20317066798543,82.20711401295353,82.59272330698536,82.5372586589533,,212,
maturity_short,NCV_TRANSFER_BETA1,GCV,12.57665540999983,0.3895526389999304,0.35647597100000894,pilot_runtime_s,pricing_runtime_s,shared_reference_training_runtime_s,pricing_runtime_s,0.007563839000113148,12.57665540999983,380,True,True,verified_against_q_minus_1,147.64801401997374,147.68104841900322,148.03756665897367,148.03752439000323,,378,
