base_seed,replication,training_paths,training_runtime_s,analytical_e_h0,frozen_parameter_hash,hash_verification_result,error
42,0,20000,13.578486545000032,5.750217242967382,1f9f0c5e928f55d4673962022a5a00ba7c117bfae17f13d0ab9fe01638936294,True,
42,1,20000,12.527099506000013,5.76391129286037,6e1cf0e92b4387cab442cb651f8472fb163170cc1275ee354b500e71626c9ed0,True,
42,2,20000,12.55938291099983,5.7721842785517525,c46ce45051a7a9765cd32972245d223b0efb4962f16fbc80ab12c0eb9b211779,True,
42,3,20000,12.57665540999983,5.7997151551006905,72cbe26e77a2e42959aef381203aff84fc8b30e78146cd5269c0385c15248218,True,
42,4,20000,12.596109679999927,5.8059736748193895,34564ae2144d99841264883824bc78398ee4ca6ab685538b4838c5d110b1403b,True,
