base_seed,replication,contract_id,K,sigma,T,method,monitoring_dates,experiment_role,ncv_epoch,ncv_epoch_source,estimated_beta,payoff_control_correlation,payoff_variance,control_variance,payoff_control_covariance,optimal_residual_variance,optimal_residual_variance_status,observed_residual_variance,residual_variance_beta_one,variance_improvement_from_estimating_beta,variance_improvement_from_estimating_beta_definition,parameter_hash,hash_verification,target_training_paths,pilot_paths,pricing_paths,marginal_runtime_s,error
42,1,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.917081883967524,127.22082557035053,62.47705906776407,81.76124732532806,20.223126511839055,ok,26.17538998745858,26.17538998745858,1.0,residual_variance_beta_one / observed_residual_variance,6e1cf0e92b4387cab442cb651f8472fb163170cc1275ee354b500e71626c9ed0,True,0,0,50000,0.35627252299991596,
42,1,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.3016451545370753,0.9168167955783322,127.22082557035053,62.47705906776407,81.76124732532806,20.223126511839055,ok,20.226201155970834,26.17538998745858,1.294132782800468,residual_variance_beta_one / observed_residual_variance,6e1cf0e92b4387cab442cb651f8472fb163170cc1275ee354b500e71626c9ed0,True,0,1000,50000,0.3543035699999564,
42,1,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.6695526057158865,5.972261666679008,62.39887521504074,12.92535556333465,3.29489262977117,ok,42.520425755050454,42.520425755050454,1.0,residual_variance_beta_one / observed_residual_variance,6e1cf0e92b4387cab442cb651f8472fb163170cc1275ee354b500e71626c9ed0,True,0,0,50000,0.3533050490000278,
42,1,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,0.21836975196740113,0.6857903761158158,5.972261666679008,62.39887521504074,12.92535556333465,3.29489262977117,ok,3.3027604050410297,42.520425755050454,12.874208401599821,residual_variance_beta_one / observed_residual_variance,6e1cf0e92b4387cab442cb651f8472fb163170cc1275ee354b500e71626c9ed0,True,0,1000,50000,0.3532068839999738,
42,1,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.9900059657462861,17.976255668865416,63.737482598613866,33.510806724544395,0.3575151484453052,ok,14.692124818390564,14.692124818390564,1.0,residual_variance_beta_one / observed_residual_variance,6e1cf0e92b4387cab442cb651f8472fb163170cc1275ee354b500e71626c9ed0,True,0,0,50000,0.35494979999998577,
42,1,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,0.5326060828949027,0.989257748848935,17.976255668865416,63.737482598613866,33.510806724544395,0.3575151484453052,ok,0.360499879179329,14.692124818390562,40.75486752405271,residual_variance_beta_one / observed_residual_variance,6e1cf0e92b4387cab442cb651f8472fb163170cc1275ee354b500e71626c9ed0,True,0,1000,50000,0.3550662279999415,
42,1,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.9805494739904291,461.9262664402213,64.32420912694158,169.0219343943323,17.79466040643075,ok,188.20660677849872,188.20660677849872,1.0,residual_variance_beta_one / observed_residual_variance,6e1cf0e92b4387cab442cb651f8472fb163170cc1275ee354b500e71626c9ed0,True,0,0,50000,0.35351057499997296,
42,1,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,2.554816701450227,0.9798832790418323,461.9262664402213,64.32420912694158,169.0219343943323,17.79466040643075,ok,18.135942453174913,188.20660677849872,10.377547638587203,residual_variance_beta_one / observed_residual_variance,6e1cf0e92b4387cab442cb651f8472fb163170cc1275ee354b500e71626c9ed0,True,0,1000,50000,0.3572674680001455,
42,1,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.999764319175281,29.192202509471542,62.874906993960224,42.8321369492092,0.013758463231550166,ok,6.402835605013311,6.402835605013311,1.0,residual_variance_beta_one / observed_residual_variance,6e1cf0e92b4387cab442cb651f8472fb163170cc1275ee354b500e71626c9ed0,True,0,0,50000,0.35751493699990533,
42,1,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,0.6825073771285786,0.9997869063575343,29.192202509471542,62.874906993960224,42.8321369492092,0.013758463231550166,ok,0.013861403327971289,6.40283560501331,461.91828154172964,residual_variance_beta_one / observed_residual_variance,6e1cf0e92b4387cab442cb651f8472fb163170cc1275ee354b500e71626c9ed0,True,0,1000,50000,0.3549437880001278,
