period,observations,mean_return,annualized_vol,skewness,excess_kurtosis,jarque_bera_stat,jarque_bera_pvalue,freq_outside_3sigma,freq_outside_5sigma,acf1_returns,acf1_squared_returns,adf_stat_c,adf_pvalue_c
full_sample,6599,0.000142562420021218,0.4131509435160701,-1.936311551565501,76.3717726320094,1605146.1747403457,0.0,0.009699909063352531,0.002576538344953016,-0.006055181525091225,0.3639343045845675,-2.6062354904180505,0.09171535462973918
pre-pandemic comparison,2530,-5.51125277449588e-05,0.30317140955232247,0.19332972823704264,2.7694602178723198,819.7062945541534,1.0070238280438203e-178,0.013043478260869565,0.0011857707509881424,-0.006055181525091225,0.3639343045845675,-1.361810637131751,0.6004415558972572
COVID-19 stress period,103,-0.003178722000450533,1.7543989093096126,-1.4732851471229,12.612908720815835,649.1639879192398,1.0860031831019285e-141,0.019417475728155338,0.009708737864077669,-0.006055181525091225,0.3639343045845675,-1.5205675730670338,0.5233134334153959
