series,lag,acf
returns,1,-0.006055181525091225
returns,2,-0.02877451901526583
returns,3,0.007736005154956751
returns,4,0.01864114372988255
returns,5,-0.005486045892304997
returns,6,-0.01802757304323029
returns,7,-0.003984208402071149
returns,8,0.03557286526196338
returns,9,0.03115590596696263
returns,10,-0.05163119439509938
returns,11,-0.027062653133482786
returns,12,0.044691834612650964
returns,13,0.07351713925788902
returns,14,0.020078965286371594
returns,15,0.002439265038082906
returns,16,0.022166530427474913
returns,17,0.001792861386696044
returns,18,-0.037615706765335995
returns,19,-0.016579980073886003
returns,20,-0.003678872690211945
squared_returns,1,0.3639343045845675
squared_returns,2,0.07013375072696543
squared_returns,3,0.04895554762605823
squared_returns,4,0.05212369047825082
squared_returns,5,0.06403011056947472
squared_returns,6,0.13780265722436177
squared_returns,7,0.10217673046305231
squared_returns,8,0.04397539456524079
squared_returns,9,0.08631141567001713
squared_returns,10,0.16724904519925285
squared_returns,11,0.21515743329125242
squared_returns,12,0.08757580514879781
squared_returns,13,0.14305690268542376
squared_returns,14,0.10391596180249597
squared_returns,15,0.049995784088450373
squared_returns,16,0.06875286590858005
squared_returns,17,0.03378404365429015
squared_returns,18,0.04680127212976244
squared_returns,19,0.035967533666665705
squared_returns,20,0.03427987483755052
absolute_returns,1,0.27786452440101433
absolute_returns,2,0.21612386266680564
absolute_returns,3,0.21156335539190113
absolute_returns,4,0.21768578156282345
absolute_returns,5,0.21369428287635084
absolute_returns,6,0.23264401251267075
absolute_returns,7,0.22679735893983027
absolute_returns,8,0.19068611207053887
absolute_returns,9,0.22852052967583822
absolute_returns,10,0.2381532976145958
absolute_returns,11,0.23012733243309014
absolute_returns,12,0.19204621161939103
absolute_returns,13,0.2112782303027106
absolute_returns,14,0.20814639169087257
absolute_returns,15,0.17408864676178842
absolute_returns,16,0.20056070921372246
absolute_returns,17,0.157864099615116
absolute_returns,18,0.15083773287576077
absolute_returns,19,0.16234454048327293
absolute_returns,20,0.15178156356538744
