base_seed,replication,contract_id,method,target_training_runtime_s,ncv_setup_cost_s,pilot_runtime_s,pricing_runtime_s,marginal_runtime_s,standalone_runtime_s,pricing_observations
42,0,reference,MC,0.0,0.0,0.0,0.3140604310000299,0.3140604310000299,0.3140604310000299,50000
42,0,reference,AV,0.0,0.0,0.0,0.4918000349999829,0.4918000349999829,0.4918000349999829,50000
42,0,reference,GCV,0.0,0.0,0.007473714999946424,0.3899794320000183,0.3899794320000183,0.3974531469999647,50000
42,0,reference,NCV_SCRATCH,12.514421069000036,12.514421069000036,0.0,0.3343619470000476,0.3343619470000476,12.848783016000084,50000
42,0,strike_low,MC,0.0,0.0,0.0,0.33920823100004327,0.33920823100004327,0.33920823100004327,50000
42,0,strike_low,AV,0.0,0.0,0.0,0.49767760999998245,0.49767760999998245,0.49767760999998245,50000
42,0,strike_low,GCV,0.0,0.0,0.007542878999970526,0.3908695400000397,0.3908695400000397,0.39841241900001023,50000
42,0,strike_low,NCV_SCRATCH,12.482694616000003,12.482694616000003,0.0,0.33316362200002914,0.33316362200002914,12.815858238000033,50000
42,0,strike_low,NCV_TRANSFER_BETA1,0.0,0.0,0.0,0.35527372800004287,0.35527372800004287,13.847368340999992,50000
42,0,strike_low,NCV_TRANSFER_BETA,0.0,0.0,0.008110669999950915,0.35713598600000296,0.35713598600000296,13.857341268999903,50000
42,0,strike_high,MC,0.0,0.0,0.0,0.34224214500000016,0.34224214500000016,0.34224214500000016,50000
42,0,strike_high,AV,0.0,0.0,0.0,0.4966928569999709,0.4966928569999709,0.4966928569999709,50000
42,0,strike_high,GCV,0.0,0.0,0.007673920999991424,0.3922992160000831,0.3922992160000831,0.39997313700007453,50000
42,0,strike_high,NCV_SCRATCH,12.505343207999886,12.505343207999886,0.0,0.33051650999993853,0.33051650999993853,12.835859717999824,50000
42,0,strike_high,NCV_TRANSFER_BETA1,0.0,0.0,0.0,0.3576675489999843,0.3576675489999843,13.849762161999934,50000
42,0,strike_high,NCV_TRANSFER_BETA,0.0,0.0,0.008190373000047657,0.35593878399993173,0.35593878399993173,13.856223769999929,50000
42,0,volatility_low,MC,0.0,0.0,0.0,0.33992140800000925,0.33992140800000925,0.33992140800000925,50000
42,0,volatility_low,AV,0.0,0.0,0.0,0.49685117399997125,0.49685117399997125,0.49685117399997125,50000
42,0,volatility_low,GCV,0.0,0.0,0.00749908799991772,0.3912468060000265,0.3912468060000265,0.3987458939999442,50000
42,0,volatility_low,NCV_SCRATCH,12.510695874000021,12.510695874000021,0.0,0.3308923939999886,0.3308923939999886,12.84158826800001,50000
42,0,volatility_low,NCV_TRANSFER_BETA1,0.0,0.0,0.0,0.357547056000044,0.357547056000044,13.849641668999993,50000
42,0,volatility_low,NCV_TRANSFER_BETA,0.0,0.0,0.008143080000081682,0.35634288900007505,0.35634288900007505,13.856580582000106,50000
42,0,volatility_high,MC,0.0,0.0,0.0,0.33838556599994263,0.33838556599994263,0.33838556599994263,50000
42,0,volatility_high,AV,0.0,0.0,0.0,0.49567205199991804,0.49567205199991804,0.49567205199991804,50000
42,0,volatility_high,GCV,0.0,0.0,0.007683196999892061,0.3925365210000109,0.3925365210000109,0.40021971799990297,50000
42,0,volatility_high,NCV_SCRATCH,12.465220705999968,12.465220705999968,0.0,0.34722203900003024,0.34722203900003024,12.812442744999998,50000
42,0,volatility_high,NCV_TRANSFER_BETA1,0.0,0.0,0.0,0.3584622630000922,0.3584622630000922,13.850556876000041,50000
42,0,volatility_high,NCV_TRANSFER_BETA,0.0,0.0,0.008051865000084035,0.3594287540000778,0.3594287540000778,13.859575232000111,50000
42,0,maturity_short,MC,0.0,0.0,0.0,0.3400236830000267,0.3400236830000267,0.3400236830000267,50000
42,0,maturity_short,AV,0.0,0.0,0.0,0.49970151599995916,0.49970151599995916,0.49970151599995916,50000
42,0,maturity_short,GCV,0.0,0.0,0.007724230999997417,0.38902495100001033,0.38902495100001033,0.39674918200000775,50000
42,0,maturity_short,NCV_SCRATCH,12.469925005999926,12.469925005999926,0.0,0.32987316000003375,0.32987316000003375,12.79979816599996,50000
42,0,maturity_short,NCV_TRANSFER_BETA1,0.0,0.0,0.0,0.3521678370000245,0.3521678370000245,13.844262449999974,50000
42,0,maturity_short,NCV_TRANSFER_BETA,0.0,0.0,0.00850652799999807,0.3575453280000147,0.3575453280000147,13.858146468999962,50000
42,0,maturity_long,MC,0.0,0.0,0.0,0.338097447999985,0.338097447999985,0.338097447999985,50000
42,0,maturity_long,AV,0.0,0.0,0.0,0.48912065399997573,0.48912065399997573,0.48912065399997573,50000
42,0,maturity_long,GCV,0.0,0.0,0.007472037999946224,0.38893513799996526,0.38893513799996526,0.3964071759999115,50000
42,0,maturity_long,NCV_SCRATCH,12.702885315000003,12.702885315000003,0.0,0.33101065999994717,0.33101065999994717,13.03389597499995,50000
42,0,maturity_long,NCV_TRANSFER_BETA1,0.0,0.0,0.0,0.35519247000001997,0.35519247000001997,13.84728708299997,50000
42,0,maturity_long,NCV_TRANSFER_BETA,0.0,0.0,0.008169347000034577,0.36073719499995605,0.36073719499995605,13.86100115499994,50000
42,1,reference,MC,0.0,0.0,0.0,0.3127601600000389,0.3127601600000389,0.3127601600000389,50000
42,1,reference,AV,0.0,0.0,0.0,0.4911634170000525,0.4911634170000525,0.4911634170000525,50000
42,1,reference,GCV,0.0,0.0,0.007653548000007504,0.3874277230000871,0.3874277230000871,0.3950812710000946,50000
42,1,reference,NCV_SCRATCH,12.462586623999982,12.462586623999982,0.0,0.33078628299995216,0.33078628299995216,12.793372906999934,50000
42,1,strike_low,MC,0.0,0.0,0.0,0.3410674269999845,0.3410674269999845,0.3410674269999845,50000
42,1,strike_low,AV,0.0,0.0,0.0,0.49834259900001143,0.49834259900001143,0.49834259900001143,50000
42,1,strike_low,GCV,0.0,0.0,0.007582995999996456,0.38996378599995296,0.38996378599995296,0.3975467819999494,50000
42,1,strike_low,NCV_SCRATCH,12.437365795000119,12.437365795000119,0.0,0.3319423939999524,0.3319423939999524,12.769308189000071,50000
42,1,strike_low,NCV_TRANSFER_BETA1,0.0,0.0,0.0,0.35384416199997304,0.35384416199997304,12.813216922000038,50000
42,1,strike_low,NCV_TRANSFER_BETA,0.0,0.0,0.008070399000075668,0.35714045199995326,0.35714045199995326,12.824583611000094,50000
42,1,strike_high,MC,0.0,0.0,0.0,0.33933796700000585,0.33933796700000585,0.33933796700000585,50000
42,1,strike_high,AV,0.0,0.0,0.0,0.4922348369999554,0.4922348369999554,0.4922348369999554,50000
42,1,strike_high,GCV,0.0,0.0,0.0077312140000458385,0.3880841719999353,0.3880841719999353,0.3958153859999811,50000
42,1,strike_high,NCV_SCRATCH,12.420282036000003,12.420282036000003,0.0,0.3315311899999642,0.3315311899999642,12.751813225999967,50000
42,1,strike_high,NCV_TRANSFER_BETA1,0.0,0.0,0.0,0.35440515300001607,0.35440515300001607,12.81377791300008,50000
42,1,strike_high,NCV_TRANSFER_BETA,0.0,0.0,0.008140840999999455,0.354927631999999,0.354927631999999,12.822441233000063,50000
42,1,volatility_low,MC,0.0,0.0,0.0,0.3403280030000815,0.3403280030000815,0.3403280030000815,50000
42,1,volatility_low,AV,0.0,0.0,0.0,0.494266664999941,0.494266664999941,0.494266664999941,50000
42,1,volatility_low,GCV,0.0,0.0,0.007592464000026666,0.3917473899999777,0.3917473899999777,0.3993398540000044,50000
42,1,volatility_low,NCV_SCRATCH,12.505634041000008,12.505634041000008,0.0,0.3291545590000169,0.3291545590000169,12.834788600000024,50000
42,1,volatility_low,NCV_TRANSFER_BETA1,0.0,0.0,0.0,0.35246533999998064,0.35246533999998064,12.811838100000045,50000
42,1,volatility_low,NCV_TRANSFER_BETA,0.0,0.0,0.008046945999922173,0.35482948200001374,0.35482948200001374,12.822249188,50000
42,1,volatility_high,MC,0.0,0.0,0.0,0.3390715909999926,0.3390715909999926,0.3390715909999926,50000
42,1,volatility_high,AV,0.0,0.0,0.0,0.49083101099995474,0.49083101099995474,0.49083101099995474,50000
42,1,volatility_high,GCV,0.0,0.0,0.007565422999959992,0.3866720460000579,0.3866720460000579,0.3942374690000179,50000
42,1,volatility_high,NCV_SCRATCH,12.481250936000151,12.481250936000151,0.0,0.3323014019999846,0.3323014019999846,12.813552338000136,50000
42,1,volatility_high,NCV_TRANSFER_BETA1,0.0,0.0,0.0,0.3594767380000121,0.3594767380000121,12.818849498000077,50000
42,1,volatility_high,NCV_TRANSFER_BETA,0.0,0.0,0.008147695000047861,0.35648824499992315,0.35648824499992315,12.824008700000036,50000
42,1,maturity_short,MC,0.0,0.0,0.0,0.3378825150000466,0.3378825150000466,0.3378825150000466,50000
42,1,maturity_short,AV,0.0,0.0,0.0,0.49299489700001686,0.49299489700001686,0.49299489700001686,50000
42,1,maturity_short,GCV,0.0,0.0,0.00752921499997683,0.3875861650000161,0.3875861650000161,0.3951153799999929,50000
42,1,maturity_short,NCV_SCRATCH,12.452659721999908,12.452659721999908,0.0,0.3300014740000279,0.3300014740000279,12.782661195999935,50000
42,1,maturity_short,NCV_TRANSFER_BETA1,0.0,0.0,0.0,0.35203264599999784,0.35203264599999784,12.811405406000063,50000
42,1,maturity_short,NCV_TRANSFER_BETA,0.0,0.0,0.008055391000084455,0.35755976000007195,0.35755976000007195,12.824987911000221,50000
42,1,maturity_long,MC,0.0,0.0,0.0,0.33814031300005354,0.33814031300005354,0.33814031300005354,50000
42,1,maturity_long,AV,0.0,0.0,0.0,0.49096817499992085,0.49096817499992085,0.49096817499992085,50000
42,1,maturity_long,GCV,0.0,0.0,0.00775412600000891,0.3891741989999673,0.3891741989999673,0.3969283249999762,50000
42,1,maturity_long,NCV_SCRATCH,12.436922332999984,12.436922332999984,0.0,0.3331500670000196,0.3331500670000196,12.770072400000004,50000
42,1,maturity_long,NCV_TRANSFER_BETA1,0.0,0.0,0.0,0.3533377730000211,0.3533377730000211,12.812710533000086,50000
42,1,maturity_long,NCV_TRANSFER_BETA,0.0,0.0,0.008123698999952467,0.35618047200000547,0.35618047200000547,12.823676931000023,50000
42,2,reference,MC,0.0,0.0,0.0,0.3120694609999646,0.3120694609999646,0.3120694609999646,50000
42,2,reference,AV,0.0,0.0,0.0,0.4950178170000754,0.4950178170000754,0.4950178170000754,50000
42,2,reference,GCV,0.0,0.0,0.007700977000013154,0.3892678759999626,0.3892678759999626,0.39696885299997575,50000
42,2,reference,NCV_SCRATCH,12.471690278000096,12.471690278000096,0.0,0.32904010499999004,0.32904010499999004,12.800730383000086,50000
42,2,strike_low,MC,0.0,0.0,0.0,0.33700881599997956,0.33700881599997956,0.33700881599997956,50000
42,2,strike_low,AV,0.0,0.0,0.0,0.49261727800001154,0.49261727800001154,0.49261727800001154,50000
42,2,strike_low,GCV,0.0,0.0,0.0076589080000530885,0.39217278299997815,0.39217278299997815,0.39983169100003124,50000
42,2,strike_low,NCV_SCRATCH,12.498343579000107,12.498343579000107,0.0,0.33121696099999554,0.33121696099999554,12.829560540000102,50000
42,2,strike_low,NCV_TRANSFER_BETA1,0.0,0.0,0.0,0.3523122430000285,0.3523122430000285,12.884328025000059,50000
42,2,strike_low,NCV_TRANSFER_BETA,0.0,0.0,0.008073555000009947,0.35453220700003385,0.35453220700003385,12.894621544000074,50000
42,2,strike_high,MC,0.0,0.0,0.0,0.33732126200004586,0.33732126200004586,0.33732126200004586,50000
42,2,strike_high,AV,0.0,0.0,0.0,0.49256881199994496,0.49256881199994496,0.49256881199994496,50000
42,2,strike_high,GCV,0.0,0.0,0.007608873999970456,0.3876669439999887,0.3876669439999887,0.39527581799995914,50000
