contract_id,replication,method,comparator,variance_ratio,is_valid,invalid_reason,beats_comparator
strike_low,1,NCV_TRANSFER_BETA,GCV,0.004208486757919429,True,,False
strike_high,1,MC,MC,1.0,True,,False
strike_high,1,MC,GCV,0.005312091438214527,True,,False
strike_high,1,AV,MC,2.0869422343628687,True,,True
strike_high,1,AV,GCV,0.011086027975207288,True,,False
strike_high,1,GCV,MC,188.2497716071158,True,,True
strike_high,1,GCV,GCV,1.0,True,,False
strike_high,1,NCV_SCRATCH,MC,269.9717017532767,True,,True
strike_high,1,NCV_SCRATCH,GCV,1.434114365443787,True,,True
strike_high,1,NCV_TRANSFER_BETA1,MC,0.14045629978127958,True,,False
strike_high,1,NCV_TRANSFER_BETA1,GCV,0.0007461167075114283,True,,False
strike_high,1,NCV_TRANSFER_BETA,MC,1.8082636747017726,True,,True
strike_high,1,NCV_TRANSFER_BETA,GCV,0.009605661984417625,True,,False
volatility_low,1,MC,MC,1.0,True,,False
volatility_low,1,MC,GCV,0.00021087874403498988,True,,False
volatility_low,1,AV,MC,6.392043150911958,True,,True
volatility_low,1,AV,GCV,0.0013479460314817727,True,,False
volatility_low,1,GCV,MC,4742.061626818471,True,,True
volatility_low,1,GCV,GCV,1.0,True,,False
volatility_low,1,NCV_SCRATCH,MC,4487.5714561203,True,,True
volatility_low,1,NCV_SCRATCH,GCV,0.9463334324339197,True,,False
volatility_low,1,NCV_TRANSFER_BETA1,MC,1.2235300129198474,True,,True
volatility_low,1,NCV_TRANSFER_BETA1,GCV,0.0002580164724136523,True,,False
volatility_low,1,NCV_TRANSFER_BETA,MC,49.864803588250886,True,,True
volatility_low,1,NCV_TRANSFER_BETA,GCV,0.010515427152241803,True,,False
volatility_high,1,MC,MC,1.0,True,,False
volatility_high,1,MC,GCV,0.004705592670735403,True,,False
volatility_high,1,AV,MC,3.060497687688575,True,,True
volatility_high,1,AV,GCV,0.014401455487990007,True,,False
volatility_high,1,GCV,MC,212.51308176738496,True,,True
volatility_high,1,GCV,GCV,1.0,True,,False
volatility_high,1,NCV_SCRATCH,MC,613.4705601277444,True,,True
volatility_high,1,NCV_SCRATCH,GCV,2.886742571449056,True,,True
volatility_high,1,NCV_TRANSFER_BETA1,MC,2.4543573381771053,True,,True
volatility_high,1,NCV_TRANSFER_BETA1,GCV,0.01154920590189184,True,,False
volatility_high,1,NCV_TRANSFER_BETA,MC,25.470210199048996,True,,True
volatility_high,1,NCV_TRANSFER_BETA,GCV,0.11985243443473506,True,,False
maturity_short,1,MC,MC,1.0,True,,False
maturity_short,1,MC,GCV,0.00037087739206425946,True,,False
maturity_short,1,AV,MC,4.067116093603492,True,,True
maturity_short,1,AV,GCV,0.0015084014100182415,True,,False
maturity_short,1,GCV,MC,2696.308864862641,True,,True
maturity_short,1,GCV,GCV,1.0,True,,False
maturity_short,1,NCV_SCRATCH,MC,4019.375716205692,True,,True
maturity_short,1,NCV_SCRATCH,GCV,1.490695583352782,True,,True
maturity_short,1,NCV_TRANSFER_BETA1,MC,4.559261600690567,True,,True
maturity_short,1,NCV_TRANSFER_BETA1,GCV,0.0016909270522028385,True,,False
maturity_short,1,NCV_TRANSFER_BETA,MC,2106.0062836901825,True,,True
maturity_short,1,NCV_TRANSFER_BETA,GCV,0.7810701181659578,True,,False
maturity_long,1,MC,MC,1.0,True,,False
maturity_long,1,MC,GCV,0.001575917760183761,True,,False
maturity_long,1,AV,MC,4.286246027951598,True,,True
maturity_long,1,AV,GCV,0.006754771239966025,True,,False
maturity_long,1,GCV,MC,634.5508790277192,True,,True
maturity_long,1,GCV,GCV,1.0,True,,False
maturity_long,1,NCV_SCRATCH,MC,1360.049282274223,True,,True
maturity_long,1,NCV_SCRATCH,GCV,2.1433258186611255,True,,True
maturity_long,1,NCV_TRANSFER_BETA1,MC,9.196916296396774,True,,True
maturity_long,1,NCV_TRANSFER_BETA1,GCV,0.014493583730415134,True,,False
maturity_long,1,NCV_TRANSFER_BETA,MC,882.1221150170031,True,,True
maturity_long,1,NCV_TRANSFER_BETA,GCV,1.3901519077061575,True,,True
reference,2,MC,MC,1.0,True,,False
reference,2,MC,GCV,0.0007653601675102724,True,,False
reference,2,AV,MC,4.141999738119819,True,,True
reference,2,AV,GCV,0.0031701216133948893,True,,False
reference,2,GCV,MC,1306.5743978459375,True,,True
reference,2,GCV,GCV,1.0,True,,False
reference,2,NCV_SCRATCH,MC,4154.970993620905,True,,True
reference,2,NCV_SCRATCH,GCV,3.180049295678019,True,,True
strike_low,2,MC,MC,1.0,True,,False
strike_low,2,MC,GCV,0.0006607219179682615,True,,False
strike_low,2,AV,MC,65.53540001623634,True,,True
strike_low,2,AV,GCV,0.0433006751935449,True,,False
strike_low,2,GCV,MC,1513.4960303345592,True,,True
strike_low,2,GCV,GCV,1.0,True,,False
strike_low,2,NCV_SCRATCH,MC,279.3493669470923,True,,True
strike_low,2,NCV_SCRATCH,GCV,0.18457224951250248,True,,False
strike_low,2,NCV_TRANSFER_BETA1,MC,4.907414067093116,True,,True
strike_low,2,NCV_TRANSFER_BETA1,GCV,0.00324243603467419,True,,False
strike_low,2,NCV_TRANSFER_BETA,MC,6.3182839967466204,True,,True
strike_low,2,NCV_TRANSFER_BETA,GCV,0.0041746287205985996,True,,False
strike_high,2,MC,MC,1.0,True,,False
strike_high,2,MC,GCV,0.004840151072326801,True,,False
strike_high,2,AV,MC,2.1580691285338833,True,,True
strike_high,2,AV,GCV,0.01044538060662864,True,,False
strike_high,2,GCV,MC,206.60512142222683,True,,True
strike_high,2,GCV,GCV,1.0,True,,False
strike_high,2,NCV_SCRATCH,MC,224.76738769519343,True,,True
strike_high,2,NCV_SCRATCH,GCV,1.0879081125769843,True,,True
strike_high,2,NCV_TRANSFER_BETA1,MC,0.15032890996572817,True,,False
strike_high,2,NCV_TRANSFER_BETA1,GCV,0.0007276146347723383,True,,False
strike_high,2,NCV_TRANSFER_BETA,MC,1.8672248270056986,True,,True
strike_high,2,NCV_TRANSFER_BETA,GCV,0.009037650248706857,True,,False
volatility_low,2,MC,MC,1.0,True,,False
volatility_low,2,MC,GCV,0.00021946932698358186,True,,False
volatility_low,2,AV,MC,6.385289199164298,True,,True
volatility_low,2,AV,GCV,0.0014013751231361229,True,,False
volatility_low,2,GCV,MC,4556.445375507113,True,,True
volatility_low,2,GCV,GCV,1.0,True,,False
volatility_low,2,NCV_SCRATCH,MC,9100.505877444846,True,,True
volatility_low,2,NCV_SCRATCH,GCV,1.9972819001329514,True,,True
volatility_low,2,NCV_TRANSFER_BETA1,MC,1.21066563989125,True,,True
volatility_low,2,NCV_TRANSFER_BETA1,GCV,0.0002657039731890801,True,,False
volatility_low,2,NCV_TRANSFER_BETA,MC,50.78715287284412,True,,True
volatility_low,2,NCV_TRANSFER_BETA,GCV,0.011146222260415384,True,,False
volatility_high,2,MC,MC,1.0,True,,False
volatility_high,2,MC,GCV,0.005047734717492047,True,,False
volatility_high,2,AV,MC,2.9751815634185146,True,,True
volatility_high,2,AV,GCV,0.015017927268509899,True,,False
volatility_high,2,GCV,MC,198.10866774251707,True,,True
volatility_high,2,GCV,GCV,1.0,True,,False
volatility_high,2,NCV_SCRATCH,MC,545.6910457747481,True,,True
volatility_high,2,NCV_SCRATCH,GCV,2.7545036367817377,True,,True
volatility_high,2,NCV_TRANSFER_BETA1,MC,2.4700481894157225,True,,True
volatility_high,2,NCV_TRANSFER_BETA1,GCV,0.012468147999592113,True,,False
volatility_high,2,NCV_TRANSFER_BETA,MC,25.673478061545424,True,,True
volatility_high,2,NCV_TRANSFER_BETA,GCV,0.12959290653003325,True,,False
maturity_short,2,MC,MC,1.0,True,,False
maturity_short,2,MC,GCV,0.0003661837994486987,True,,False
maturity_short,2,AV,MC,3.9865720940390843,True,,True
maturity_short,2,AV,GCV,0.0014598181161713868,True,,False
maturity_short,2,GCV,MC,2730.869037640474,True,,True
maturity_short,2,GCV,GCV,1.0,True,,False
maturity_short,2,NCV_SCRATCH,MC,2821.0501375844174,True,,True
maturity_short,2,NCV_SCRATCH,GCV,1.0330228578159362,True,,True
maturity_short,2,NCV_TRANSFER_BETA1,MC,4.504872844095631,True,,True
maturity_short,2,NCV_TRANSFER_BETA1,GCV,0.0016496114540842037,True,,False
maturity_short,2,NCV_TRANSFER_BETA,MC,1961.7889304931252,True,,True
maturity_short,2,NCV_TRANSFER_BETA,GCV,0.7183753242843717,True,,False
maturity_long,2,MC,MC,1.0,True,,False
maturity_long,2,MC,GCV,0.00170497047517338,True,,False
maturity_long,2,AV,MC,4.308064593891344,True,,True
maturity_long,2,AV,GCV,0.007345122937724538,True,,False
maturity_long,2,GCV,MC,586.5204204772573,True,,True
maturity_long,2,GCV,GCV,1.0,True,,False
maturity_long,2,NCV_SCRATCH,MC,2421.155121445162,True,,True
maturity_long,2,NCV_SCRATCH,GCV,4.12799799787882,True,,True
maturity_long,2,NCV_TRANSFER_BETA1,MC,9.29050059006805,True,,True
maturity_long,2,NCV_TRANSFER_BETA1,GCV,0.015840029205646887,True,,False
maturity_long,2,NCV_TRANSFER_BETA,MC,911.141212527879,True,,True
maturity_long,2,NCV_TRANSFER_BETA,GCV,1.5534688660737073,True,,True
reference,3,MC,MC,1.0,True,,False
reference,3,MC,GCV,0.0007580531511654663,True,,False
reference,3,AV,MC,4.1217489876142395,True,,True
reference,3,AV,GCV,0.003124504808374045,True,,False
reference,3,GCV,MC,1319.1687132525647,True,,True
reference,3,GCV,GCV,1.0,True,,False
reference,3,NCV_SCRATCH,MC,3699.3767045861227,True,,True
reference,3,NCV_SCRATCH,GCV,2.8043241682596287,True,,True
strike_low,3,MC,MC,1.0,True,,False
strike_low,3,MC,GCV,0.0006608297550396488,True,,False
strike_low,3,AV,MC,63.38750376531917,True,,True
strike_low,3,AV,GCV,0.041888348585810684,True,,False
strike_low,3,GCV,MC,1513.2490514746896,True,,True
strike_low,3,GCV,GCV,1.0,True,,False
strike_low,3,NCV_SCRATCH,MC,702.0297135281869,True,,True
strike_low,3,NCV_SCRATCH,GCV,0.46392212362138663,True,,False
strike_low,3,NCV_TRANSFER_BETA1,MC,4.916045655091811,True,,True
strike_low,3,NCV_TRANSFER_BETA1,GCV,0.0032486692460180515,True,,False
strike_low,3,NCV_TRANSFER_BETA,MC,6.2666510938735485,True,,True
strike_low,3,NCV_TRANSFER_BETA,GCV,0.0041411895072834045,True,,False
strike_high,3,MC,MC,1.0,True,,False
strike_high,3,MC,GCV,0.004990283307089523,True,,False
strike_high,3,AV,MC,2.048744016468415,True,,True
