contract_id,method,successful_replications,mean_price,mean_estimator_variance,mean_reported_estimator_standard_error,monitoring_dates,fixed_ncv_epoch,ncv_epoch_source,experiment_role
volatility_high,GCV,5,12.360823242417673,4.415514629800813e-05,0.0066446473025782,252,200,capacity_and_data_sensitivity_best_tested_configuration,expanded_training_followup_stage8_m252_n20000_r5
volatility_high,MC,5,12.320666931757597,0.009066930626880588,0.09521753994530555,252,200,capacity_and_data_sensitivity_best_tested_configuration,expanded_training_followup_stage8_m252_n20000_r5
volatility_high,NCV_SCRATCH,5,12.359084966580667,1.441225722343094e-05,0.0037915698045993336,252,200,capacity_and_data_sensitivity_best_tested_configuration,expanded_training_followup_stage8_m252_n20000_r5
volatility_high,NCV_TRANSFER_BETA,5,12.368040191304768,0.00035355876877546735,0.018802342618314136,252,200,capacity_and_data_sensitivity_best_tested_configuration,expanded_training_followup_stage8_m252_n20000_r5
volatility_high,NCV_TRANSFER_BETA1,5,12.338564827652883,0.0036729749631264873,0.06060309081921449,252,200,capacity_and_data_sensitivity_best_tested_configuration,expanded_training_followup_stage8_m252_n20000_r5
volatility_low,AV,5,3.646921218509685,5.615138615487117e-05,0.007493352990777714,252,200,capacity_and_data_sensitivity_best_tested_configuration,expanded_training_followup_stage8_m252_n20000_r5
volatility_low,GCV,5,3.653936459394634,7.692822015599647e-08,0.00027734253115757065,252,200,capacity_and_data_sensitivity_best_tested_configuration,expanded_training_followup_stage8_m252_n20000_r5
volatility_low,MC,5,3.641697216624256,0.00035801761552191216,0.018920993446072135,252,200,capacity_and_data_sensitivity_best_tested_configuration,expanded_training_followup_stage8_m252_n20000_r5
volatility_low,NCV_SCRATCH,5,3.6539574054922785,6.203873256613955e-08,0.00024644923379738443,252,200,capacity_and_data_sensitivity_best_tested_configuration,expanded_training_followup_stage8_m252_n20000_r5
volatility_low,NCV_TRANSFER_BETA,5,3.6538380582348844,7.166649901264977e-06,0.0026770495534754676,252,200,capacity_and_data_sensitivity_best_tested_configuration,expanded_training_followup_stage8_m252_n20000_r5
volatility_low,NCV_TRANSFER_BETA1,5,3.664949272445503,0.00029472142401693746,0.017167105072103978,252,200,capacity_and_data_sensitivity_best_tested_configuration,expanded_training_followup_stage8_m252_n20000_r5
