contract_id,method,phase,count,mean,std_dev,median,minimum,maximum,first_quartile,third_quartile
maturity_long,AV,marginal,5,0.4916956106000271,0.0034310151188233972,0.490402240000094,0.48912065399997573,0.4977146860001085,0.49027229800003624,0.49096817499992085
maturity_long,AV,pilot,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maturity_long,AV,pricing,5,0.4916956106000271,0.0034310151188233972,0.490402240000094,0.48912065399997573,0.4977146860001085,0.49027229800003624,0.49096817499992085
maturity_long,AV,setup_cost,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maturity_long,AV,standalone,5,0.4916956106000271,0.0034310151188233972,0.490402240000094,0.48912065399997573,0.4977146860001085,0.49027229800003624,0.49096817499992085
maturity_long,AV,target_training,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maturity_long,GCV,marginal,5,0.38977768099998683,0.0016011417177598595,0.3891741989999673,0.38791006700012076,0.3917526719999387,0.38893513799996526,0.3911163289999422
maturity_long,GCV,pilot,5,0.007599577199994201,0.00011026425524386532,0.007554131999995661,0.007472037999946224,0.00775412600000891,0.007552910999947926,0.007664679000072283
maturity_long,GCV,pricing,5,0.38977768099998683,0.0016011417177598595,0.3891741989999673,0.38791006700012076,0.3917526719999387,0.38893513799996526,0.3911163289999422
maturity_long,GCV,setup_cost,5,0.007599577199994201,0.00011026425524386532,0.007554131999995661,0.007472037999946224,0.00775412600000891,0.007552910999947926,0.007664679000072283
maturity_long,GCV,standalone,5,0.39737725819998104,0.001620241469036807,0.3969283249999762,0.3954629780000687,0.39930680399993435,0.3964071759999115,0.3987810080000145
maturity_long,GCV,target_training,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maturity_long,MC,marginal,5,0.33808217660007356,0.00035889403285065076,0.33814031300005354,0.3374854430001051,0.3384402260001025,0.338097447999985,0.3382474530001218
maturity_long,MC,pilot,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maturity_long,MC,pricing,5,0.33808217660007356,0.00035889403285065076,0.33814031300005354,0.3374854430001051,0.3384402260001025,0.338097447999985,0.3382474530001218
maturity_long,MC,setup_cost,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maturity_long,MC,standalone,5,0.33808217660007356,0.00035889403285065076,0.33814031300005354,0.3374854430001051,0.3384402260001025,0.338097447999985,0.3382474530001218
maturity_long,MC,target_training,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maturity_long,NCV_SCRATCH,marginal,5,0.33213540939998437,0.001486676898424392,0.33247439699994175,0.33023139000010815,0.33381053299990526,0.33101065999994717,0.3331500670000196
maturity_long,NCV_SCRATCH,ncv_setup,5,12.51008002619992,0.1090987066983996,12.475560706999886,12.436922332999984,12.702885315000003,12.455914408999888,12.479117366999844
maturity_long,NCV_SCRATCH,pilot,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maturity_long,NCV_SCRATCH,pricing,5,0.33213540939998437,0.001486676898424392,0.33247439699994175,0.33023139000010815,0.33381053299990526,0.33101065999994717,0.3331500670000196
maturity_long,NCV_SCRATCH,setup_cost,5,12.51008002619992,0.1090987066983996,12.475560706999886,12.436922332999984,12.702885315000003,12.455914408999888,12.479117366999844
maturity_long,NCV_SCRATCH,standalone,5,12.842215435599906,0.10842943806994804,12.805792096999994,12.770072400000004,13.03389597499995,12.78838880599983,12.81292789999975
maturity_long,NCV_SCRATCH,target_training,5,12.51008002619992,0.1090987066983996,12.475560706999886,12.436922332999984,12.702885315000003,12.455914408999888,12.479117366999844
