contract_id,method,se_combined,z_combined,p_value_two_sided,difference_ci95_lower,difference_ci95_upper,reference_se_divided_by_method_reported_se,reference_se_below_10pct_of_method_se,failure_reason
maturity_long,AV,0.01136094390459281,-0.2942449559324062,0.768570730440389,-0.02561035049155936,0.01892454961444446,0.026502853656461746,True,
maturity_long,GCV,0.000910809788861925,0.9283705626914139,0.3532153829131772,-0.0009396181899787796,0.0026307561823599663,0.3153786143810808,False,
maturity_long,MC,0.010581311813578862,0.32414285152265176,0.7458298859464241,-0.017309514570510793,0.02416922773871834,0.012801704029534903,True,
maturity_long,NCV_SCRATCH,0.0007462425393597351,-1.7506445991462793,0.08000714787524199,-0.0027690408483284057,0.00015622990596175562,0.598306883805909,False,
maturity_long,NCV_TRANSFER_BETA,0.0010716719016136149,-0.34073501155422653,0.7333030788061288,-0.00246563306494134,0.0017353207893840302,0.3759210222068636,False,
maturity_long,NCV_TRANSFER_BETA1,0.0031428156791521436,0.27916116861542234,0.7801211423907968,-0.005282566633403217,0.007037270828873186,0.03904418505085588,True,
maturity_short,AV,0.00651775921882592,0.8716355810831039,0.3834072133974886,-0.007093697224837714,0.01845591891295989,0.011997821151151077,True,
maturity_short,GCV,0.00020036423139045662,1.2011673978451396,0.2296862732020002,-0.00015204291108477877,0.0006333848759658112,0.31407384295196467,False,
maturity_short,MC,0.013595355604789748,-0.8389457006375567,0.40149978084757443,-0.038052662118664975,0.015241131852110838,0.005970147688530901,True,
maturity_short,NCV_SCRATCH,0.000287885161950151,1.1811332955142506,0.23754977489585238,-0.0002242241673584604,0.0009042856674861315,0.360348119964656,False,
maturity_short,NCV_TRANSFER_BETA,0.0003911026843447628,0.7812933373575504,0.4346299878618467,-0.0004609953398145188,0.0010721271828169514,0.2647855218861216,False,
maturity_short,NCV_TRANSFER_BETA1,0.006125189172282338,0.9348560341306527,0.34986249761239385,-0.0062792007197735,0.017731540835573264,0.012621343653949834,True,
reference,AV,0.0057266660914253855,-0.5924073326134068,0.5535778573467405,-0.014616784523182713,0.0078317465552048,0.017722930222761057,True,
reference,GCV,0.0004554545661206934,0.2575584800170824,0.7967476769141586,-0.0007753847638296735,0.0010099971353634447,0.3153067223863823,False,
reference,MC,0.015976089554906703,-1.1167371519267721,0.2641067277958036,-0.0491542282760907,0.013472042779143573,0.008680780585429228,True,
reference,NCV_SCRATCH,0.000405401393951082,-1.0322245860029482,0.3019669200094288,-0.0012130520181802946,0.000376121446107947,0.47949227475617695,False,
strike_high,AV,0.004714234118302219,0.7846593060693136,0.4326533481161823,-0.005540831199957047,0.01293896654378765,0.03220624447570353,True,
strike_high,GCV,0.00043482275463311654,1.4971655670969304,0.13435018245365793,-0.00020125094305396905,0.001503254255107848,0.31463566940332144,False,
strike_high,MC,0.006426463228610791,0.5172055671904284,0.6050126661553281,-0.009272065368895074,0.015919670487259226,0.02225428102351469,True,
strike_high,NCV_SCRATCH,0.0003889215386061168,1.5622495231468556,0.1182292181579534,-0.00015469372743904153,0.0013698787038969363,0.32214104275119754,False,
strike_high,NCV_TRANSFER_BETA,0.006485519170947735,0.07957847694330607,0.9365725138283734,-0.012195509837246927,0.013227725312868194,0.030202474560846522,True,
strike_high,NCV_TRANSFER_BETA1,0.008901506108403708,-1.0968752213312785,0.27269594190353885,-0.02721079345530831,0.007683110489634222,0.008491560977343717,True,
strike_low,AV,0.002377110618616433,-0.9742508047465674,0.3299320245923951,-0.006975038745646879,0.0023432348793295376,0.06541866016294014,True,
strike_low,GCV,0.0004888281548788113,2.2658011172378045,0.02346356295745844,0.00014948419589923506,0.0020656905630241753,0.31367265891545437,False,
strike_low,MC,0.03534184988097489,-1.0035850535213233,0.31557866181531935,-0.10473857807105155,0.03380147346237003,0.008089886340812166,True,
strike_low,NCV_SCRATCH,0.001295833637709467,1.0448847717924765,0.2960762287423384,-0.001185837095091484,0.0038938307647296264,0.18449386029084577,False,
strike_low,NCV_TRANSFER_BETA,0.013435616687424897,0.41724584298370826,0.6764985967804178,-0.02072785349660222,0.03193976391810338,0.020363040548149785,True,
strike_low,NCV_TRANSFER_BETA1,0.017025111450231282,-0.23956204334361583,0.8106697929909465,-0.037447788929623506,0.029290647955283113,0.017959984642321698,True,
volatility_high,AV,0.012863068275706485,-1.9680453503753237,0.04906281993842265,-0.05052671553194919,-0.0001034878911797682,0.038066700822935735,True,
volatility_high,GCV,0.0025919199568614237,1.8466278284081188,0.06480109812141865,-0.00029385159410171436,0.009866474636795065,0.3136556110274689,False,
volatility_high,MC,0.09924603285004911,-0.3563870325393331,0.721550739250755,-0.22989222352482644,0.15915222524736608,0.021888098673304792,True,
volatility_high,NCV_SCRATCH,0.002340278252663496,1.3024244791710262,0.1927713189627629,-0.001538909690879919,0.007634981059560985,0.5496749412931947,False,
volatility_high,NCV_TRANSFER_BETA,0.007570929235520724,1.5854408402241373,0.11286620828017147,-0.0028357608931791553,0.02684228171006208,0.1108442151097796,False,
volatility_high,NCV_TRANSFER_BETA1,0.05844631664745653,-0.2989427605649479,0.7649837198519214,-0.13202688387245853,0.09708267738557107,0.03438984516432296,True,
volatility_low,AV,0.003957942265757023,-1.746688947098411,0.08069130867722518,-0.0146708608497352,0.0008442728320323311,0.01165055448556359,True,
volatility_low,GCV,0.00014970558687144457,0.6809824417937343,0.4958826005421999,-0.00019147607417015103,0.0003953698263659117,0.3147794062967452,False,
volatility_low,MC,0.010154747375553512,-1.1952336621883395,0.23199575000140227,-0.032040600750365134,0.00776600896180463,0.004614013399848192,True,
volatility_low,NCV_SCRATCH,0.0001545289071428411,0.7952749813252812,0.42645356354721864,-0.00017998368425772946,0.0004257696317422076,0.35423813640415214,False,
volatility_low,NCV_TRANSFER_BETA,0.0012987612408288936,0.002730075580191095,0.9978217175506443,-0.002542026315676546,0.002549117748372717,0.03261116970557291,True,
