contract_id,method,cost_scope,target_definition,target_se,Q,required_pricing_observations,required_simulated_paths,training_paths,pilot_paths,shared_paths,runtime_projection_basis_n,runtime_projection_is_empirical_or_projected,setup_reuse_assumption,projected_pricing_runtime_s_median,projected_pricing_runtime_s_mean_sensitivity,setup_cost_s,ncv_setup_cost_s,setup_runtime_components,marginal_pricing_cost_s,marginal_runtime_components,projected_total_cost_s,marginal_runtime_s,one_time_runtime_s,standalone_runtime_s,feasible,failure_reason
strike_low,AV,end_to_end,match_gcv_50000_se,0.001302392291246947,1,1149634,2299268,0,0,0,50000,projected_from_empirical_single_n,no setup cost,11.442942029894397,11.524090449505902,0.0,NA,none,11.442942029894397,pricing_runtime_s,11.442942029894397,11.442942029894397,0.0,11.442942029894397,True,
strike_low,AV,end_to_end,match_scratch_50000_se,0.0022143005317488656,1,397714,795428,0,0,0,50000,projected_from_empirical_single_n,no setup cost,3.95866705967066,3.9867402225706527,0.0,NA,none,3.95866705967066,pricing_runtime_s,3.95866705967066,3.95866705967066,0.0,3.95866705967066,True,
strike_low,AV,end_to_end,fixed_se_0.001,0.001,1,1950038,3900076,0,0,0,50000,projected_from_empirical_single_n,no setup cost,19.409805024982916,19.547451007863014,0.0,NA,none,19.409805024982916,pricing_runtime_s,19.409805024982916,19.409805024982916,0.0,19.409805024982916,True,
strike_low,GCV,end_to_end,match_gcv_50000_se,0.001302392291246947,1,50004,50004,0,1000,0,50000,projected_from_empirical_single_n,GCV pilot counted once per target,0.3909008095632397,0.3930534255587125,0.007582995999996456,NA,pilot_runtime_s,0.3909008095632397,pricing_runtime_s,0.39848380556323615,0.3909008095632397,0.007582995999996456,0.39848380556323615,True,
strike_low,GCV,end_to_end,match_scratch_50000_se,0.0022143005317488656,1,17299,17299,0,1000,0,50000,projected_from_empirical_single_n,GCV pilot counted once per target,0.13523304344921375,0.13597774595512693,0.007582995999996456,NA,pilot_runtime_s,0.13523304344921375,pricing_runtime_s,0.1428160394492102,0.13523304344921375,0.007582995999996456,0.1428160394492102,True,
strike_low,GCV,end_to_end,fixed_se_0.001,0.001,1,84817,84817,0,1000,0,50000,projected_from_empirical_single_n,GCV pilot counted once per target,0.6630476354836673,0.6666989119993064,0.007582995999996456,NA,pilot_runtime_s,0.6630476354836673,pricing_runtime_s,0.6706306314836638,0.6630476354836673,0.007582995999996456,0.6706306314836638,True,
strike_low,NCV_SCRATCH,end_to_end,match_gcv_50000_se,0.001302392291246947,1,150952,150952,20000,0,0,50000,projected_from_empirical_single_n,target NCV setup (training-data generation + optimizer runtime) counted once; validation/tuning evaluation excluded,0.9999572539374265,0.998170831815341,12.482694616000003,12.482694616000003,ncv_setup_cost_s,0.9999572539374265,pricing_runtime_s,13.48265186993743,0.9999572539374265,12.482694616000003,13.48265186993743,True,
strike_low,NCV_SCRATCH,end_to_end,match_scratch_50000_se,0.0022143005317488656,1,52222,52222,20000,0,0,50000,projected_from_empirical_single_n,target NCV setup (training-data generation + optimizer runtime) counted once; validation/tuning evaluation excluded,0.3459362427468353,0.3453182281722716,12.482694616000003,12.482694616000003,ncv_setup_cost_s,0.3459362427468353,pricing_runtime_s,12.82863085874684,0.3459362427468353,12.482694616000003,12.82863085874684,True,
strike_low,NCV_SCRATCH,end_to_end,fixed_se_0.001,0.001,1,256048,256048,20000,0,0,50000,projected_from_empirical_single_n,target NCV setup (training-data generation + optimizer runtime) counted once; validation/tuning evaluation excluded,1.6961488086025371,1.6931186413207804,12.482694616000003,12.482694616000003,ncv_setup_cost_s,1.6961488086025371,pricing_runtime_s,14.17884342460254,1.6961488086025371,12.482694616000003,14.17884342460254,True,
strike_low,NCV_TRANSFER_BETA1,end_to_end,match_gcv_50000_se,0.001302392291246947,1,15252488,15252488,0,0,20000,50000,projected_from_empirical_single_n,shared reference NCV training counted once,107.71188605288256,107.79824655505087,12.507258970000066,12.507258970000066,shared_reference_training_runtime_s,107.71188605288256,pricing_runtime_s,120.21914502288263,107.71188605288256,12.507258970000066,120.21914502288263,True,
