contrast,n_pairs,estimate_log_scale,ci95_lower_log_scale,ci95_upper_log_scale,estimate_ratio_scale,ci95_lower_ratio_scale,ci95_upper_ratio_scale,paired_t_statistic,paired_t_p_value
delta_12,30,3.567497939984518,3.4212531436976774,3.713742736271359,35.427839583696446,30.607746903487705,41.00699804940914,49.8913651655189,0.0
delta_252,30,-0.05469363564493437,-0.103413411894886,-0.005973859394982739,0.9467751616880828,0.9017541005403469,0.9940439486245384,-2.2960090022403707,0.029093964658408522
delta_interaction,30,3.6221915756294525,3.460451469952623,3.783931681306282,37.419485657533784,31.8313441665849,43.98865154881715,45.80319487834982,0.0
