config_id,hidden_width,train_paths,selected_checkpoint,metric,count,mean,std_dev,median,ci95_lower,ci95_upper
w32_n100,32,100,2,training_data_generation_runtime_s,2,0.0004718100000218328,6.00291231602428e-05,0.0004718100000218328,-6.753027311710196e-05,0.0010111502731607676
w32_n100,32,100,2,optimizer_cumulative_runtime_s,2,0.011881485000003522,0.0026072879641107676,0.011881485000003522,-0.011544067943050174,0.035307037943057215
w32_n100,32,100,2,validation_tuning_overhead_runtime_s,2,0.008314353000059782,0.0002837265958577741,0.008314353000059782,0.005765170675703254,0.01086353532441631
w32_n100,32,100,2,ncv_setup_cost_s,2,0.012353295000025355,0.0025472588409505247,0.012353295000025355,-0.010532917669889407,0.03523950766994012
w32_n100,32,100,2,inference_runtime_per_observation_s,2,3.9557200011586245e-07,5.702108912173053e-09,3.9557200011586245e-07,3.4434058415881267e-07,4.4680341607291223e-07
w16_n100,16,100,2,training_data_generation_runtime_s,2,0.0004718100000218328,6.00291231602428e-05,0.0004718100000218328,-6.753027311710196e-05,0.0010111502731607676
w16_n100,16,100,2,optimizer_cumulative_runtime_s,2,0.00823437400003968,0.00021573262205911865,0.00823437400003968,0.006296093292594593,0.010172654707484765
w16_n100,16,100,2,validation_tuning_overhead_runtime_s,2,0.008314353000059782,0.0002837265958577741,0.008314353000059782,0.005765170675703254,0.01086353532441631
w16_n100,16,100,2,ncv_setup_cost_s,2,0.008706184000061512,0.00027576174521936144,0.008706184000061512,0.006228563019477491,0.011183804980645532
w16_n100,16,100,2,inference_runtime_per_observation_s,2,2.9096999992361813e-07,8.850431323827809e-08,2.9096999992361813e-07,-5.042097055750766e-07,1.086149705422313e-06
w8_n100,8,100,2,training_data_generation_runtime_s,2,0.0004718100000218328,6.00291231602428e-05,0.0004718100000218328,-6.753027311710196e-05,0.0010111502731607676
w8_n100,8,100,2,optimizer_cumulative_runtime_s,2,0.009585530000094877,2.763373338596317e-06,0.009585530000094877,0.009560702075701498,0.009610357924488257
w8_n100,8,100,2,validation_tuning_overhead_runtime_s,2,0.008314353000059782,0.0002837265958577741,0.008314353000059782,0.005765170675703254,0.01086353532441631
w8_n100,8,100,2,ncv_setup_cost_s,2,0.01005734000011671,6.279249649883912e-05,0.01005734000011671,0.009493171802584396,0.010621508197649024
w8_n100,8,100,2,inference_runtime_per_observation_s,2,3.2426300026600074e-07,1.22367657083072e-07,3.2426300026600074e-07,-7.751667784828884e-07,1.42369277901489e-06
w32_n200,32,200,2,training_data_generation_runtime_s,2,0.0006929205000005823,0.00014621483302343732,0.0006929205000005823,-0.0006207676538196119,0.002006608653820776
w32_n200,32,200,2,optimizer_cumulative_runtime_s,2,0.007630659499909598,0.0001358486477483511,0.007630659499909598,0.006410107825573693,0.008851211174245503
w32_n200,32,200,2,validation_tuning_overhead_runtime_s,2,0.008314353000059782,0.0002837265958577741,0.008314353000059782,0.005765170675703254,0.01086353532441631
w32_n200,32,200,2,ncv_setup_cost_s,2,0.00832357999991018,0.0002820634807717884,0.00832357999991018,0.005789340171754081,0.01085781982806628
w32_n200,32,200,2,inference_runtime_per_observation_s,2,6.430129999444035e-07,1.1763004158873367e-07,6.430129999444035e-07,-4.1385099239573174e-07,1.6998769922845387e-06
w32_n400,32,400,2,training_data_generation_runtime_s,2,0.0014851369999178132,0.00019462548469801003,0.0014851369999178132,-0.00026350360235477413,0.0032337776021904006
w32_n400,32,400,2,optimizer_cumulative_runtime_s,2,0.04388323700004548,0.04060143639387024,0.04388323700004548,-0.32090619588985664,0.4086726698899476
w32_n400,32,400,2,validation_tuning_overhead_runtime_s,2,0.008314353000059782,0.0002837265958577741,0.008314353000059782,0.005765170675703254,0.01086353532441631
w32_n400,32,400,2,ncv_setup_cost_s,2,0.045368373999963296,0.04079606187856825,0.045368373999963296,-0.3211696994922114,0.411906447492138
w32_n400,32,400,2,inference_runtime_per_observation_s,2,3.828400001566479e-07,6.025398282878307e-08,3.828400001566479e-07,-1.5852055694886592e-07,9.242005572621618e-07
