contrast,n_pairs,estimate_log_scale,ci95_lower_log_scale,ci95_upper_log_scale,estimate_ratio_scale,ci95_lower_ratio_scale,ci95_upper_ratio_scale,paired_t_statistic,paired_t_p_value
delta_12,2,3.286458617750884,3.0289742059203864,3.5439430295813814,26.74797093989598,20.67601237638011,34.60309156222217,162.17842376259284,0.003925378540839075
delta_252,2,0.007546721446426652,-0.04752079440786389,0.06261423730071719,1.0075752697188212,0.9535906435736774,1.064616070837651,1.7413203827625767,0.3318639351754369
delta_interaction,2,3.2789118963044572,3.0764950003282503,3.481328792280664,26.546871230136873,21.682272698161828,32.50288297357383,205.825337185392,0.0030929854022192504
