replication,monitoring_dates,checkpoint,trajectory_id,training_seed,validation_seed,pilot_seed,pricing_seed,train_mse,validation_mse,validation_ncv_observation_variance,validation_gcv_observation_variance,advantage,pricing_ncv_observation_variance,pricing_gcv_observation_variance,optimizer_cumulative_training_runtime_s,training_data_generation_runtime_s,ncv_setup_cost_s
0,12,0,rep0_m12,1042,2042,3042,4042,83.34782020000405,149.9790847308045,105.53216719982859,0.11877595479240273,0.0011254952678788127,71.61452863402248,0.04581981922941575,0.0,3.9100018511817325e-07,0.0
0,12,10,rep0_m12,1042,2042,3042,4042,54.603787862450766,112.16328040393242,89.85207391350164,0.11877595479240273,0.0013219055456276433,63.49865352555619,0.04581981922941575,0.00713614400001461,3.9100018511817325e-07,0.0071365350001997285
0,12,25,rep0_m12,1042,2042,3042,4042,21.370977363274093,53.80837572941731,52.225714217082384,0.11877595479240273,0.002274281100277468,43.61252941118757,0.04581981922941575,0.016086328000028516,3.9100018511817325e-07,0.016086719000213634
0,12,1000,rep0_m12,1042,2042,3042,4042,2.6020243862648084e-08,1.8328050547736572,1.836378849493834,0.11877595479240273,0.06467943955308637,1.6638768409850457,0.04581981922941575,0.5484259800000473,3.9100018511817325e-07,0.5484263710002324
0,252,0,rep0_m252,1042,2042,3042,4042,118.06796826069822,104.73513259052997,71.0591109343983,0.04237984286762977,0.0005964026612541606,74.7755112121402,0.060739660187940234,0.0,6.620000476686982e-07,0.0
0,252,10,rep0_m252,1042,2042,3042,4042,4.444233018906996,70.39180692514437,60.66569476874535,0.04237984286762977,0.0006985800299358583,65.11473575550933,0.060739660187940234,0.0069031159998758085,6.620000476686982e-07,0.006903777999923477
0,252,25,rep0_m252,1042,2042,3042,4042,1.525875013007333,66.06655610167537,56.131885437373604,0.04237984286762977,0.0007550047987415815,62.04948503972618,0.060739660187940234,0.017199761000028957,6.620000476686982e-07,0.017200423000076626
0,252,1000,rep0_m252,1042,2042,3042,4042,2.5295675464723434e-30,64.3043706745813,56.63859162950318,0.04237984286762977,0.0007482502945139265,61.85045148818859,0.060739660187940234,0.6382042600000659,6.620000476686982e-07,0.6382049220001136
1,12,0,rep1_m12,101042,102042,103042,104042,90.85534061175849,181.0078133955017,114.88291115349344,0.09768018759632681,0.0008502586382566306,78.45786700495545,0.08026101308542966,0.0,4.2100009522982873e-07,0.0
1,12,10,rep1_m12,101042,102042,103042,104042,62.481491581638494,140.8503525011222,99.85790590352728,0.09768018759632681,0.0009781918288041774,67.52841983462076,0.08026101308542966,0.06507938699996885,4.2100009522982873e-07,0.06507980800006408
1,12,25,rep1_m12,101042,102042,103042,104042,24.851752621516074,76.07316186604237,65.23869116158772,0.09768018759632681,0.0014972738701085485,44.012882758079826,0.08026101308542966,0.07484074099988902,4.2100009522982873e-07,0.07484116199998425
1,12,1000,rep1_m12,101042,102042,103042,104042,9.128785589316781e-07,2.6546208486172955,2.6174472104408513,0.09768018759632681,0.03731887589048061,1.6124573191242468,0.08026101308542966,0.6003793569998379,4.2100009522982873e-07,0.6003797779999331
1,252,0,rep1_m252,101042,102042,103042,104042,97.98472848912306,117.4259791575665,77.33138496042804,0.05735849728645005,0.0007417233936234493,78.095581349394,0.04956269303862131,0.0,5.310000688041328e-07,0.0
1,252,10,rep1_m252,101042,102042,103042,104042,7.457614198577804,77.26325408823706,68.17101095105602,0.05735849728645005,0.0008413913258178186,64.97479805828077,0.04956269303862131,0.0068150500001138425,5.310000688041328e-07,0.006815581000182647
1,252,25,rep1_m252,101042,102042,103042,104042,1.6219269516164883,75.52303838689046,66.67492440591592,0.05735849728645005,0.0008602709009049999,62.52587373715809,0.04956269303862131,0.017062914000007368,5.310000688041328e-07,0.01706344500007617
1,252,1000,rep1_m252,101042,102042,103042,104042,2.788788689190251e-30,70.97075496635657,64.92265074230279,0.05735849728645005,0.0008834897625194463,61.787422351886846,0.04956269303862131,0.6522703610000917,5.310000688041328e-07,0.6522708920001605
