config_id,hidden_width,train_paths,selected_checkpoint,metric,count,mean,std_dev,median,ci95_lower,ci95_upper
w32_n100,32,100,2,training_data_generation_runtime_s,2,0.00037687750000259257,6.42470150394818e-05,0.00037687750000259257,-0.00020035902812821763,0.0009541140281334028
w32_n100,32,100,2,optimizer_cumulative_runtime_s,2,0.01598637699999017,0.003324011397576918,0.01598637699999017,-0.013878680503855201,0.04585143450383554
w32_n100,32,100,2,validation_tuning_overhead_runtime_s,2,0.009491486000001714,0.000933799558510637,0.009491486000001714,0.0011016298363571188,0.01788134216364631
w32_n100,32,100,2,ncv_setup_cost_s,2,0.016363254499992763,0.0033882584126163997,0.016363254499992763,-0.014079039531983417,0.046805548531968943
w32_n100,32,100,2,inference_runtime_per_observation_s,2,3.5875800017493016e-07,3.0462162754452944e-09,3.5875800017493016e-07,3.3138883281839185e-07,3.8612716753146846e-07
w16_n100,16,100,2,training_data_generation_runtime_s,2,0.00037687750000259257,6.42470150394818e-05,0.00037687750000259257,-0.00020035902812821763,0.0009541140281334028
w16_n100,16,100,2,optimizer_cumulative_runtime_s,2,0.008020068000064384,0.00026526403802687367,0.008020068000064384,0.0056367651765091625,0.010403370823619605
w16_n100,16,100,2,validation_tuning_overhead_runtime_s,2,0.009491486000001714,0.000933799558510637,0.009491486000001714,0.0011016298363571188,0.01788134216364631
w16_n100,16,100,2,ncv_setup_cost_s,2,0.008396945500066977,0.0002010170229873919,0.008396945500066977,0.006590879204642565,0.010203011795491388
w16_n100,16,100,2,inference_runtime_per_observation_s,2,2.568180000253051e-07,4.533968644118128e-09,2.568180000253051e-07,2.1608190797221327e-07,2.975540920783969e-07
w8_n100,8,100,2,training_data_generation_runtime_s,2,0.00037687750000259257,6.42470150394818e-05,0.00037687750000259257,-0.00020035902812821763,0.0009541140281334028
w8_n100,8,100,2,optimizer_cumulative_runtime_s,2,0.007223438500091106,0.0029012287176072094,0.007223438500091106,-0.01884306733268316,0.033289944332865376
w8_n100,8,100,2,validation_tuning_overhead_runtime_s,2,0.009491486000001714,0.000933799558510637,0.009491486000001714,0.0011016298363571188,0.01788134216364631
w8_n100,8,100,2,ncv_setup_cost_s,2,0.007600316000093699,0.002965475732646691,0.007600316000093699,-0.019043426360811376,0.03424405836099877
w8_n100,8,100,2,inference_runtime_per_observation_s,2,2.1089299980303623e-07,2.1537058239253123e-08,2.1089299980303623e-07,1.7390208793404207e-08,4.0439579081266826e-07
w32_n200,32,200,2,training_data_generation_runtime_s,2,0.0006655055000237553,0.00014747348328852787,0.0006655055000237553,-0.0006594911777598527,0.0019905021778073633
w32_n200,32,200,2,optimizer_cumulative_runtime_s,2,0.008032111000034092,3.936039186891768e-05,0.008032111000034092,0.007678471909808346,0.008385750090259839
w32_n200,32,200,2,validation_tuning_overhead_runtime_s,2,0.009491486000001714,0.000933799558510637,0.009491486000001714,0.0011016298363571188,0.01788134216364631
w32_n200,32,200,2,ncv_setup_cost_s,2,0.008697616500057848,0.00018683387515744555,0.008697616500057848,0.007018980732048492,0.010376252268067203
w32_n200,32,200,2,inference_runtime_per_observation_s,2,3.5489099991536934e-07,4.18182965399582e-09,3.5489099991536934e-07,3.173187511622779e-07,3.9246324866846076e-07
w32_n400,32,400,2,training_data_generation_runtime_s,2,0.0014181429999098327,7.364799963665264e-05,0.0014181429999098327,0.0007564419763227385,0.002079844023496927
w32_n400,32,400,2,optimizer_cumulative_runtime_s,2,0.03540681400011181,0.021649718836297294,0.03540681400011181,-0.15910819231407494,0.22992182031429856
w32_n400,32,400,2,validation_tuning_overhead_runtime_s,2,0.009491486000001714,0.000933799558510637,0.009491486000001714,0.0011016298363571188,0.01788134216364631
w32_n400,32,400,2,ncv_setup_cost_s,2,0.03682495700002164,0.02157607083666064,0.03682495700002164,-0.15702834829057802,0.2306782622906213
w32_n400,32,400,2,inference_runtime_per_observation_s,2,3.710020000653458e-07,1.5655343853170227e-08,3.710020000653458e-07,2.3034431617225624e-07,5.116596839584354e-07
