config_id,replication,checkpoint,split,train_seed,validation_seed,test_seed,pilot_seed,network_init_seed,train_paths,validation_paths,test_paths,hidden_width,parameter_count,parameter_count_formula,parameter_to_training_path_ratio,mse,payoff_mean,network_output_mean,analytic_eh,payoff_variance,network_output_variance,payoff_network_covariance,payoff_network_correlation,centered_residual_mean,centered_residual_variance,ncv_price_estimate,estimator_variance_at_reporting_n,standard_error,ncv_vrr_vs_mc,generalization_gap_ratio,generalization_gap_log,optimizer_cumulative_runtime_s,training_data_generation_runtime_s,validation_tuning_overhead_runtime_s,total_ncv_setup_runtime_s,ncv_setup_cost_s,setup_cost_excludes_validation_generation_and_evaluation_runtime,inference_runtime_per_observation_s,training_continuous_no_reinit_between_checkpoints
w32_n100,0,0,training,1042,2042,3042,4042,5042,100,200,500,32,8129,8129,81.29,105.20701775747224,6.300217984482836,0.07386406307383492,0.09314692038365258,65.37394049012117,1.0068546612113605,-0.36492293081201715,-0.0449795835356996,6.226353921408999,67.11064101295655,6.319500841792653,0.1342212820259131,0.36636222789189543,0.974121830806234,0.9437061197564053,-0.05794047512220957,0.0,0.0003314479999971809,0.008831189999909839,0.0003314479999971809,0.0,True,3.936540001632238e-07,True
w32_n100,0,0,validation,1042,2042,3042,4042,5042,100,200,500,32,8129,8129,81.29,99.28450649904735,5.60351939811515,0.19811423827640895,0.09314692038365258,69.75555187904833,1.230717661470171,0.284038510442136,0.03065551527798925,5.40540515983874,70.41819251963425,5.498552080222392,0.14083638503926849,0.375281740881792,0.9905899226197667,0.9437061197564053,-0.05794047512220957,0.0,0.0003314479999971809,0.008831189999909839,0.0003314479999971809,0.0,True,3.936540001632238e-07,True
w32_n100,0,0,test,1042,2042,3042,4042,5042,100,200,500,32,8129,8129,81.29,109.27302416217968,6.149411986176468,0.2244978360645839,0.09314692038365258,72.9338871112683,1.3605225967979018,-0.011320434535868912,-0.0011364374518887319,5.924914150111885,74.31705057713793,6.018061070495536,0.14863410115427586,0.3855309341081152,0.9813883428482678,0.9437061197564053,-0.05794047512220957,0.0,0.0003314479999971809,0.008831189999909839,0.0003314479999971809,0.0,True,3.936540001632238e-07,True
w32_n100,0,1,training,1042,2042,3042,4042,5042,100,200,500,32,8129,8129,81.29,84.04821576650164,6.300217984482836,0.923162976509465,0.3827268730058672,65.37394049012117,1.4089495869135722,5.5452353376435735,0.5777898700968263,5.377055007973371,55.692419401747586,5.759781880979237,0.11138483880349517,0.3337436723048022,1.1738391183642811,1.1239930071070068,0.11688753001709877,0.0032924560000537895,0.0003314479999971809,0.008831189999909839,0.0036239040000509704,0.0036239040000509704,True,3.7728400002379205e-07,True
w32_n100,0,1,validation,1042,2042,3042,4042,5042,100,200,500,32,8129,8129,81.29,94.46960678136871,5.60351939811515,0.44152001710246425,0.3827268730058672,69.75555187904833,1.3157262058248573,1.4535439812339004,0.1517246083977872,5.161999381012686,68.1641901224054,5.544726254018551,0.1363283802448108,0.36922673284150326,1.0233460084215076,1.1239930071070068,0.11688753001709877,0.0032924560000537895,0.0003314479999971809,0.008831189999909839,0.0036239040000509704,0.0036239040000509704,True,3.7728400002379205e-07,True
w32_n100,0,1,test,1042,2042,3042,4042,5042,100,200,500,32,8129,8129,81.29,104.34023252545288,6.149411986176468,0.4957351371309004,0.3827268730058672,72.9338871112683,1.4407624552839366,0.9267182642284947,0.09040383433852285,5.653676849045568,72.52121303809525,6.036403722051435,0.1450424260761905,0.38084435938607586,1.0056903912094834,1.1239930071070068,0.11688753001709877,0.0032924560000537895,0.0003314479999971809,0.008831189999909839,0.0036239040000509704,0.0036239040000509704,True,3.7728400002379205e-07,True
w32_n100,0,2,training,1042,2042,3042,4042,5042,100,200,500,32,8129,8129,81.29,67.63309767292544,6.300217984482836,1.6834131307226716,0.6740306773135468,65.37394049012117,2.9183863198618907,10.753127740737979,0.7785044204285096,4.616804853760164,46.78607132850709,5.290835531073712,0.09357214265701418,0.3058956401405783,1.3972949348770893,1.3311202372463198,0.2860208713557015,0.013635946000022159,0.0003314479999971809,0.008831189999909839,0.01396739400001934,0.01396739400001934,True,3.609120003602584e-07,True
w32_n100,0,2,validation,1042,2042,3042,4042,5042,100,200,500,32,8129,8129,81.29,90.02778502008803,5.60351939811515,0.6879153299980492,0.6740306773135468,69.75555187904833,1.652025629114716,2.6059889221224086,0.242758690101531,4.9156040681171,66.19559966391823,5.589634745430646,0.13239119932783647,0.3638560145549836,1.0537792879466963,1.3311202372463198,0.2860208713557015,0.013635946000022159,0.0003314479999971809,0.008831189999909839,0.01396739400001934,0.01396739400001934,True,3.609120003602584e-07,True
w32_n100,0,2,test,1042,2042,3042,4042,5042,100,200,500,32,8129,8129,81.29,99.87427294081192,6.149411986176468,0.7707527979288883,0.6740306773135468,72.9338871112683,1.7360850902721487,1.791750490804395,0.1592308994056823,5.37865918824758,71.08647121993165,6.052689865561128,0.1421729424398633,0.37705827459407826,1.0259882908749403,1.3311202372463198,0.2860208713557015,0.013635946000022159,0.0003314479999971809,0.008831189999909839,0.01396739400001934,0.01396739400001934,True,3.609120003602584e-07,True
w16_n100,0,0,training,1042,2042,3042,4042,165142,100,200,500,16,4065,4065,40.65,124.67152100071044,6.300217984482836,-1.26484508324,-1.2908168671523372,65.37394049012117,1.2406058006582452,-0.7540105829367442,-0.08372558796394201,7.565063067722835,68.12256745665289,6.274246200570499,0.13624513491330578,0.369113986342032,0.9596517414250322,0.9683727084916202,-0.03213823637687938,0.0,0.0003314479999971809,0.008831189999909839,0.0003314479999971809,0.0,True,2.5241000003006773e-07,True
w16_n100,0,0,validation,1042,2042,3042,4042,165142,100,200,500,16,4065,4065,40.65,120.72849846322788,5.60351939811515,-1.3757126684613532,-1.2908168671523372,69.75555187904833,1.1742583662541564,-0.7254557939809897,-0.08015668215159993,6.979232066576502,72.38072183326447,5.688415199424165,0.14476144366652896,0.3804752865384675,0.9637310890562343,0.9683727084916202,-0.03213823637687938,0.0,0.0003314479999971809,0.008831189999909839,0.0003314479999971809,0.0,True,2.5241000003006773e-07,True
w16_n100,0,0,test,1042,2042,3042,4042,165142,100,200,500,16,4065,4065,40.65,127.69552230686558,6.149411986176468,-1.1737971435416992,-1.2908168671523372,72.9338871112683,1.3395175066808245,0.02942257486731447,0.002976746141671993,7.323209129718167,74.2145594682145,6.032392262565829,0.14842911893642902,0.38526499832768224,0.9827436507590576,0.9683727084916202,-0.03213823637687938,0.0,0.0003314479999971809,0.008831189999909839,0.0003314479999971809,0.0,True,2.5241000003006773e-07,True
w16_n100,0,1,training,1042,2042,3042,4042,165142,100,200,500,16,4065,4065,40.65,109.1474506945211,6.300217984482836,-0.6886006284047084,-1.12425183767083,65.37394049012117,1.1059800264425592,2.783462737737561,0.3273478087843952,6.988818612887543,60.91299504108861,5.864566775216713,0.12182599008217722,0.3490358005737767,1.0732347087189433,1.0699040015756436,0.06756892629529639,0.0023429070001839136,0.0003314479999971809,0.008831189999909839,0.0026743550001810945,0.0026743550001810945,True,2.533140000195999e-07,True
w16_n100,0,1,validation,1042,2042,3042,4042,165142,100,200,500,16,4065,4065,40.65,116.77729425984839,5.60351939811515,-1.2101377242742861,-1.12425183767083,69.75555187904833,1.0882950753721519,0.0694757996423462,0.007973900874890128,6.813657122389435,70.7048953551358,5.689405284718605,0.1414097907102716,0.3760449317704888,0.986573157752103,1.0699040015756436,0.06756892629529639,0.0023429070001839136,0.0003314479999971809,0.008831189999909839,0.0026743550001810945,0.0026743550001810945,True,2.533140000195999e-07,True
w16_n100,0,1,test,1042,2042,3042,4042,165142,100,200,500,16,4065,4065,40.65,124.12337853803498,6.149411986176468,-1.021196370185953,-1.12425183767083,72.9338871112683,1.3075701083964675,0.6949999837299703,0.0711684688364407,7.170608356362421,72.85145725220482,6.046356518691591,0.14570291450440964,0.3817105113884207,1.0011314785204382,1.0699040015756436,0.06756892629529639,0.0023429070001839136,0.0003314479999971809,0.008831189999909839,0.0026743550001810945,0.0026743550001810945,True,2.533140000195999e-07,True
