config_id,replication,checkpoint,split,train_seed,validation_seed,test_seed,pilot_seed,network_init_seed,train_paths,validation_paths,test_paths,hidden_width,parameter_count,parameter_count_formula,parameter_to_training_path_ratio,parameters_per_training_path,paths_per_parameter,mse,payoff_mean,network_output_mean,analytic_eh,payoff_variance,network_output_variance,payoff_network_covariance,payoff_network_correlation,centered_residual_mean,centered_residual_variance,ncv_price_estimate,estimator_variance_at_reporting_n,standard_error,ncv_vrr_vs_mc,generalization_gap_ratio,generalization_gap_log,optimizer_cumulative_runtime_s,training_data_generation_runtime_s,validation_tuning_overhead_runtime_s,total_ncv_setup_runtime_s,ncv_setup_cost_s,setup_cost_excludes_validation_generation_and_evaluation_runtime,inference_runtime_per_observation_s,training_continuous_no_reinit_between_checkpoints
w32_n100,0,0,training,1042,2042,3042,4042,5042,100,200,500,32,8129,8129,81.29,81.29,0.012301636117603642,105.20701775747222,6.300217984482835,0.07386406307383493,0.09314692038365258,65.37394049012116,1.0068546612113605,-0.3649229308120182,-0.044979583535699724,6.226353921408998,67.11064101295655,6.319500841792651,0.1342212820259131,0.36636222789189543,0.9741218308062338,0.9437061197564055,-0.05794047512220933,0.0,0.0003785139999763487,0.007471462000012252,0.0003785139999763487,0.0,True,3.862020000724442e-07,True
w32_n100,0,0,validation,1042,2042,3042,4042,5042,100,200,500,32,8129,8129,81.29,81.29,0.012301636117603642,99.28450649904735,5.603519398115148,0.19811423827640895,0.09314692038365258,69.75555187904834,1.230717661470171,0.28403851044213596,0.030655515277989247,5.40540515983874,70.41819251963423,5.498552080222392,0.14083638503926846,0.375281740881792,0.9905899226197672,0.9437061197564055,-0.05794047512220933,0.0,0.0003785139999763487,0.007471462000012252,0.0003785139999763487,0.0,True,3.862020000724442e-07,True
w32_n100,0,0,test,1042,2042,3042,4042,5042,100,200,500,32,8129,8129,81.29,81.29,0.012301636117603642,109.27302416217971,6.149411986176467,0.22449783606458393,0.09314692038365258,72.9338871112683,1.3605225967979018,-0.011320434535868756,-0.0011364374518887162,5.924914150111884,74.31705057713793,6.018061070495536,0.14863410115427586,0.3855309341081152,0.9813883428482678,0.9437061197564055,-0.05794047512220933,0.0,0.0003785139999763487,0.007471462000012252,0.0003785139999763487,0.0,True,3.862020000724442e-07,True
w32_n100,0,1,training,1042,2042,3042,4042,5042,100,200,500,32,8129,8129,81.29,81.29,0.012301636117603642,84.04821576650161,6.300217984482835,0.9231629765094651,0.3827268730058671,65.37394049012116,1.4089495869135722,5.545235337643573,0.5777898700968261,5.37705500797337,55.692419401747586,5.7597818809792365,0.11138483880349517,0.3337436723048022,1.173839118364281,1.123993007107007,0.11688753001709898,0.005875296999988677,0.0003785139999763487,0.007471462000012252,0.006253810999965026,0.006253810999965026,True,3.547460000845604e-07,True
w32_n100,0,1,validation,1042,2042,3042,4042,5042,100,200,500,32,8129,8129,81.29,81.29,0.012301636117603642,94.46960678136871,5.603519398115148,0.4415200171024642,0.3827268730058671,69.75555187904834,1.3157262058248573,1.4535439812339004,0.1517246083977872,5.161999381012684,68.16419012240539,5.544726254018551,0.13632838024481078,0.3692267328415032,1.023346008421508,1.123993007107007,0.11688753001709898,0.005875296999988677,0.0003785139999763487,0.007471462000012252,0.006253810999965026,0.006253810999965026,True,3.547460000845604e-07,True
w32_n100,0,1,test,1042,2042,3042,4042,5042,100,200,500,32,8129,8129,81.29,81.29,0.012301636117603642,104.34023252545289,6.149411986176467,0.49573513713090045,0.3827268730058671,72.9338871112683,1.4407624552839369,0.9267182642284946,0.09040383433852284,5.653676849045567,72.52121303809524,6.036403722051435,0.14504242607619047,0.3808443593860758,1.0056903912094837,1.123993007107007,0.11688753001709898,0.005875296999988677,0.0003785139999763487,0.007471462000012252,0.006253810999965026,0.006253810999965026,True,3.547460000845604e-07,True
w32_n100,0,2,training,1042,2042,3042,4042,5042,100,200,500,32,8129,8129,81.29,81.29,0.012301636117603642,67.63309767292543,6.300217984482835,1.6834131307226716,0.6740306773135463,65.37394049012116,2.9183863198618907,10.753127740737979,0.7785044204285096,4.616804853760163,46.78607132850709,5.29083553107371,0.09357214265701418,0.3058956401405783,1.397294934877089,1.3311202372463198,0.2860208713557015,0.012603483999896525,0.0003785139999763487,0.007471462000012252,0.012981997999872874,0.012981997999872874,True,3.4160200016231104e-07,True
w32_n100,0,2,validation,1042,2042,3042,4042,5042,100,200,500,32,8129,8129,81.29,81.29,0.012301636117603642,90.02778502008802,5.603519398115148,0.6879153299980493,0.6740306773135463,69.75555187904834,1.652025629114716,2.6059889221224104,0.24275869010153117,4.9156040681171,66.19559966391823,5.589634745430645,0.13239119932783647,0.3638560145549836,1.0537792879466965,1.3311202372463198,0.2860208713557015,0.012603483999896525,0.0003785139999763487,0.007471462000012252,0.012981997999872874,0.012981997999872874,True,3.4160200016231104e-07,True
w32_n100,0,2,test,1042,2042,3042,4042,5042,100,200,500,32,8129,8129,81.29,81.29,0.012301636117603642,99.8742729408119,6.149411986176467,0.7707527979288883,0.6740306773135463,72.9338871112683,1.7360850902721487,1.7917504908043949,0.15923089940568227,5.378659188247578,71.08647121993165,6.052689865561126,0.1421729424398633,0.37705827459407826,1.0259882908749403,1.3311202372463198,0.2860208713557015,0.012603483999896525,0.0003785139999763487,0.007471462000012252,0.012981997999872874,0.012981997999872874,True,3.4160200016231104e-07,True
w16_n100,0,0,training,1042,2042,3042,4042,165142,100,200,500,16,4065,4065,40.65,40.65,0.024600246002460024,124.6715210007104,6.300217984482835,-1.26484508324,-1.2908168671523372,65.37394049012116,1.2406058006582452,-0.7540105829367443,-0.08372558796394203,7.565063067722835,68.12256745665289,6.274246200570498,0.13624513491330578,0.369113986342032,0.959651741425032,0.9683727084916204,-0.03213823637687915,0.0,0.0003785139999763487,0.007471462000012252,0.0003785139999763487,0.0,True,2.0090400016670173e-07,True
