config_id,hidden_width,train_paths,checkpoint,split,metric,count,mean,std_dev,median,ci95_lower,ci95_upper,ci_method,ci_status
w8_n5000,8,5000,0,training,mse,10,99.65411600112299,9.798758893556982,98.9808822228272,92.64450615667553,106.66372584557044,student-t,ok
w8_n5000,8,5000,0,training,centered_residual_variance,10,65.42332522921319,2.145949341365979,66.039181298513,63.88820554800384,66.95844491042254,student-t,ok
w8_n5000,8,5000,0,training,ncv_vrr_vs_mc,10,0.9795858042327863,0.011110525707823473,0.9773574143946151,0.9716378129387302,0.9875337955268424,student-t,ok
w8_n5000,8,5000,0,training,generalization_gap_ratio,10,1.0060496581423297,0.04354771467743585,1.002000309468169,0.9748974997085859,1.0372018165760735,student-t,ok
w8_n5000,8,5000,0,training,generalization_gap_log,10,0.005198615214767348,0.0428929475969516,0.0019896401999941046,-0.025485151066149805,0.035882381495684505,student-t,ok
w8_n5000,8,5000,0,training,ncv_setup_cost_s,10,0.0,0.0,0.0,0.0,0.0,student-t,ok
w8_n5000,8,5000,0,validation,mse,10,100.11454890756107,9.152270338033034,101.26929224929948,93.56740911593867,106.66168869918347,student-t,ok
w8_n5000,8,5000,0,validation,centered_residual_variance,10,66.0640408774974,1.8364241595772623,66.521344605087,64.75034217265244,67.37773958234237,student-t,ok
w8_n5000,8,5000,0,validation,ncv_vrr_vs_mc,10,0.9790282090019049,0.010668800848788617,0.9791041256452905,0.9713962086362983,0.9866602093675115,student-t,ok
w8_n5000,8,5000,0,validation,generalization_gap_ratio,10,1.0060496581423297,0.04354771467743585,1.002000309468169,0.9748974997085859,1.0372018165760735,student-t,ok
w8_n5000,8,5000,0,validation,generalization_gap_log,10,0.005198615214767348,0.0428929475969516,0.0019896401999941046,-0.025485151066149805,0.035882381495684505,student-t,ok
w8_n5000,8,5000,0,validation,ncv_setup_cost_s,10,0.0,0.0,0.0,0.0,0.0,student-t,ok
w8_n5000,8,5000,0,test,mse,10,99.20460418084292,8.48437362401203,98.2158983512569,93.13524891607057,105.27395944561528,student-t,ok
w8_n5000,8,5000,0,test,centered_residual_variance,10,65.31356408804176,1.2044155806876566,65.36987474135077,64.45197708473817,66.17515109134534,student-t,ok
w8_n5000,8,5000,0,test,ncv_vrr_vs_mc,10,0.9789077000371936,0.009606499378582966,0.9780689361417656,0.9720356243645214,0.9857797757098659,student-t,ok
w8_n5000,8,5000,0,test,generalization_gap_ratio,10,1.0060496581423297,0.04354771467743585,1.002000309468169,0.9748974997085859,1.0372018165760735,student-t,ok
w8_n5000,8,5000,0,test,generalization_gap_log,10,0.005198615214767348,0.0428929475969516,0.0019896401999941046,-0.025485151066149805,0.035882381495684505,student-t,ok
w8_n5000,8,5000,0,test,ncv_setup_cost_s,10,0.0,0.0,0.0,0.0,0.0,student-t,ok
w8_n5000,8,5000,10,training,mse,10,0.164712049307289,0.039445271445635983,0.14692662957749394,0.13649460197076585,0.19292949664381215,student-t,ok
w8_n5000,8,5000,10,training,centered_residual_variance,10,0.16219611090800057,0.03598349685901505,0.14545612420128573,0.13645506792893042,0.18793715388707072,student-t,ok
w8_n5000,8,5000,10,training,ncv_vrr_vs_mc,10,409.0339784054402,71.43189328498678,428.84734399032186,357.9346802374654,460.13327657341506,student-t,ok
w8_n5000,8,5000,10,training,generalization_gap_ratio,10,1.8024524362474317,0.14465318741160657,1.805274249512361,1.69897377966187,1.9059310928329933,student-t,ok
w8_n5000,8,5000,10,training,generalization_gap_log,10,0.5862226069115659,0.08084389449823082,0.5906922202070686,0.5283903686766926,0.6440548451464392,student-t,ok
w8_n5000,8,5000,10,training,ncv_setup_cost_s,10,0.2149300970000354,0.017938360087997,0.21085259950007185,0.2020977672292982,0.2277624267707726,student-t,ok
w8_n5000,8,5000,10,validation,mse,10,0.29368396635442867,0.05323230528527418,0.2831840372496812,0.2556038691478691,0.33176406356098825,student-t,ok
w8_n5000,8,5000,10,validation,centered_residual_variance,10,0.2868176557790623,0.05007720712856612,0.278255654487152,0.2509945798279192,0.32264073173020547,student-t,ok
w8_n5000,8,5000,10,validation,ncv_vrr_vs_mc,10,231.32622362158835,37.877894339748906,236.63681801354565,204.23001032202183,258.4224369211549,student-t,ok
w8_n5000,8,5000,10,validation,generalization_gap_ratio,10,1.8024524362474317,0.14465318741160657,1.805274249512361,1.69897377966187,1.9059310928329933,student-t,ok
w8_n5000,8,5000,10,validation,generalization_gap_log,10,0.5862226069115659,0.08084389449823082,0.5906922202070686,0.5283903686766926,0.6440548451464392,student-t,ok
w8_n5000,8,5000,10,validation,ncv_setup_cost_s,10,0.2149300970000354,0.017938360087997,0.21085259950007185,0.2020977672292982,0.2277624267707726,student-t,ok
w8_n5000,8,5000,10,test,mse,10,0.29050476679722254,0.04587914554594945,0.2824353906185627,0.2576848031908943,0.32332473040355075,student-t,ok
