config_id,hidden_width,parameter_count,train_paths,paths_per_parameter,selected_checkpoint,mean_test_residual_variance,median_test_residual_variance,mean_test_vrr,median_test_vrr,ci95_test_residual_variance_lower,ci95_test_residual_variance_upper,mean_test_correlation,mean_log_generalization_gap,mean_setup_runtime_s
w8_n5000,8,2033,5000,2.459419576979833,25,0.2075817213676317,0.20539547286188836,309.1233540317969,312.1939564053672,0.19741181848336917,0.21775162425189423,0.9983898390634821,0.7614170270126273,0.5199482410000883
w8_n10000,8,2033,10000,4.918839153959666,200,0.09019388846341668,0.05883064510356578,968.7479245904066,1097.2914774183512,0.043906530769554246,0.1364812461572791,0.9993051127392346,0.5667105165139722,6.056261833699989
w8_n20000,8,2033,20000,9.837678307919331,200,0.038325484056164656,0.02451399037760715,2392.8337900740444,2610.6160281153443,0.011868603544560374,0.06478236456776894,0.9997143473275221,0.2681026425939093,11.679327690599962
w16_n5000,16,4065,5000,1.2300123001230012,25,0.23474304836708407,0.2360897184885294,272.67064335873755,272.9777900015253,0.22837861970491172,0.24110747702925642,0.9981725629276459,1.1173696065347378,0.5670496919000811
w16_n10000,16,4065,10000,2.4600246002460024,200,0.07988679813596082,0.061802461358666114,1003.542254007824,1046.101399016535,0.0414439279013017,0.11832966837061995,0.9994635973584827,0.8362297673277814,6.477427330799992
w16_n20000,16,4065,20000,4.920049200492005,200,0.02005507152132196,0.017744778948272207,3305.9099544820115,3541.6835971534615,0.016953467855688388,0.02315667518695553,0.9998602491528756,0.3624851756248463,12.216053526999996
w32_n5000,32,8129,5000,0.615081805880182,25,0.2825019172423863,0.29337225285092006,227.1495582839602,219.00271332003973,0.26973345196004045,0.2952703825247322,0.997833850872228,1.5450683601087485,0.6283497970000098
w32_n10000,32,8129,10000,1.230163611760364,200,0.11241974408587524,0.10041978828398053,608.9758808564399,639.4863961268813,0.08830875944837241,0.13653072872337807,0.9991614951443413,1.2460546901578344,6.922263169500036
w32_n20000,32,8129,20000,2.460327223520728,200,0.020854631516005726,0.017119464943904393,3509.612484565108,3698.906549419357,0.013790539389716566,0.027918723642294887,0.9998669002330278,0.4626598159223046,13.067811497499974
