contract_id,method,cost_scope,target_definition,target_se,Q,required_pricing_observations,required_simulated_paths,training_paths,pilot_paths,shared_paths,runtime_projection_basis_n,runtime_projection_is_empirical_or_projected,setup_reuse_assumption,projected_pricing_runtime_s_median,projected_pricing_runtime_s_mean_sensitivity,setup_cost_s,ncv_setup_cost_s,setup_runtime_components,marginal_pricing_cost_s,marginal_runtime_components,projected_total_cost_s,marginal_runtime_s,one_time_runtime_s,standalone_runtime_s,feasible,failure_reason
strike_low,GCV,end_to_end,match_gcv_50000_se,0.021926106106842785,1,201,201,0,50,0,200,projected_from_empirical_single_n,GCV pilot counted once per target,0.0021385465350448386,0.0021385465350448386,0.0010813009998855705,NA,pilot_runtime_s,0.0021385465350448386,pricing_runtime_s,0.003219847534930409,0.0021385465350448386,0.0010813009998855705,0.003219847534930409,True,
strike_low,GCV,end_to_end,match_scratch_50000_se,0.7546671926734114,1,2,2,0,50,0,200,projected_from_empirical_single_n,GCV pilot counted once per target,2.1279070000446155e-05,2.1279070000446155e-05,0.0010813009998855705,NA,pilot_runtime_s,2.1279070000446155e-05,pricing_runtime_s,0.0011025800698860166,2.1279070000446155e-05,0.0010813009998855705,0.0011025800698860166,True,
strike_low,GCV,end_to_end,fixed_se_0.001,0.001,1,96312,96312,0,50,0,200,projected_from_empirical_single_n,GCV pilot counted once per target,1.024714894941485,1.024714894941485,0.0010813009998855705,NA,pilot_runtime_s,1.024714894941485,pricing_runtime_s,1.0257961959413706,1.024714894941485,0.0010813009998855705,1.0257961959413706,True,
strike_low,NCV_SCRATCH,end_to_end,match_gcv_50000_se,0.021926106106842785,1,236997,236997,100,0,0,200,projected_from_empirical_single_n,target NCV setup (training-data generation + optimizer runtime) counted once; validation/tuning evaluation excluded,4.896224116661059,4.896224116661059,0.18820887600008973,0.18820887600008973,ncv_setup_cost_s,4.896224116661059,pricing_runtime_s,5.0844329926611485,4.896224116661059,0.18820887600008973,5.0844329926611485,True,
strike_low,NCV_SCRATCH,end_to_end,match_scratch_50000_se,0.7546671926734114,1,201,201,100,0,0,200,projected_from_empirical_single_n,target NCV setup (training-data generation + optimizer runtime) counted once; validation/tuning evaluation excluded,0.0041525464349712144,0.0041525464349712144,0.18820887600008973,0.18820887600008973,ncv_setup_cost_s,0.0041525464349712144,pricing_runtime_s,0.19236142243506094,0.0041525464349712144,0.18820887600008973,0.19236142243506094,True,
strike_low,NCV_SCRATCH,end_to_end,fixed_se_0.001,0.001,1,113937164,113937164,100,0,0,200,projected_from_empirical_single_n,target NCV setup (training-data generation + optimizer runtime) counted once; validation/tuning evaluation excluded,2353.877433726023,2353.877433726023,0.18820887600008973,0.18820887600008973,ncv_setup_cost_s,2353.877433726023,pricing_runtime_s,2354.065642602023,2353.877433726023,0.18820887600008973,2354.065642602023,True,
strike_low,NCV_TRANSFER_BETA1,end_to_end,match_gcv_50000_se,0.021926106106842785,1,212603,212603,0,0,100,200,projected_from_empirical_single_n,shared reference NCV training counted once,2.643798562601747,2.643798562601747,0.6784514414998739,0.6784514414998739,shared_reference_training_runtime_s,2.643798562601747,pricing_runtime_s,3.3222500041016207,2.643798562601747,0.6784514414998739,3.3222500041016207,True,
strike_low,NCV_TRANSFER_BETA1,end_to_end,match_scratch_50000_se,0.7546671926734114,1,180,180,0,0,100,200,projected_from_empirical_single_n,shared reference NCV training counted once,0.0022383679499739626,0.0022383679499739626,0.6784514414998739,0.6784514414998739,shared_reference_training_runtime_s,0.0022383679499739626,pricing_runtime_s,0.6806898094498479,0.0022383679499739626,0.6784514414998739,0.6806898094498479,True,
strike_low,NCV_TRANSFER_BETA1,end_to_end,fixed_se_0.001,0.001,1,102209753,102209753,0,0,100,200,projected_from_empirical_single_n,shared reference NCV training counted once,1271.0168627219728,1271.0168627219728,0.6784514414998739,0.6784514414998739,shared_reference_training_runtime_s,1271.0168627219728,pricing_runtime_s,1271.6953141634726,1271.0168627219728,0.6784514414998739,1271.6953141634726,True,
strike_low,NCV_TRANSFER_BETA,end_to_end,match_gcv_50000_se,0.021926106106842785,1,214608,214608,0,50,100,200,projected_from_empirical_single_n,shared reference NCV training counted once,2.012797701584441,2.012797701584441,0.6791339704997199,0.6791339704997199,shared_reference_training_runtime_s|pilot_runtime_s,2.012797701584441,pricing_runtime_s,2.691931672084161,2.012797701584441,0.6791339704997199,2.691931672084161,True,
