contract_id,method,pricing_observations,pricing_simulated_paths,training_paths,pilot_paths,validation_paths,one_time_shared_paths,independent_random_vectors_pricing,payoff_evaluations_pricing,total_paths_one_standalone_valuation,observation_variance,estimator_variance,standard_error,pricing_runtime_s,marginal_runtime_s,standalone_runtime_s,vrr_against_mc,vrr_against_gcv
reference,MC,200.0,200.0,0,0,0,0,200.0,200.0,200.0,76.76408326352936,0.38382041631764685,0.6191400477923668,0.0015461974999197992,0.0015461974999197992,0.0015461974999197992,1.0,0.0007568460349980162
reference,AV,200.0,400.0,0,0,0,0,200.0,400.0,400.0,18.66111045367996,0.0933055522683998,0.3050684561100721,0.0020103320000544045,0.0020103320000544045,0.0020103320000544045,4.126152747142303,0.00313663717335577
reference,GCV,200.0,200.0,0,50.0,0,0,200.0,200.0,250.0,0.05749385516769833,0.00028746927583849164,0.016942650723312858,0.0014929720000509406,0.0014929720000509406,0.0023227020000149423,1350.1903523894894,1.0
reference,NCV_SCRATCH,200.0,200.0,100.0,0,0,0,200.0,200.0,300.0,60.48939713887377,0.30244698569436884,0.5466713112230066,0.00448077049998119,0.00448077049998119,0.13783140349994483,1.311118309659237,0.001013804827062318
strike_low,MC,200.0,200.0,0,0,0,0,200.0,200.0,200.0,118.18158026974797,0.5909079013487399,0.7686416285912765,0.0016500970000379311,0.0016500970000379311,0.0016500970000379311,1.0,0.0008171992223538969
strike_low,AV,200.0,400.0,0,0,0,0,200.0,400.0,400.0,1.4524182130085854,0.007262091065042928,0.08488380255692948,0.0024482625000246117,0.0024482625000246117,0.0024482625000246117,84.35803545671865,0.06745226638782625
strike_low,GCV,200.0,200.0,0,50.0,0,0,200.0,200.0,250.0,0.09631148220348032,0.0004815574110174016,0.021926106106842785,0.0021279070000446154,0.0021279070000446154,0.003209207999930186,1237.9012858801166,1.0
strike_low,NCV_SCRATCH,200.0,200.0,100.0,0,0,0,200.0,200.0,300.0,113.9371630962323,0.5696858154811615,0.7546671926734114,0.004131886999971357,0.004131886999971357,0.1923407630000611,1.0393472582787022,0.0008439351532755492
strike_low,NCV_TRANSFER_BETA1,200.0,200.0,0,0,0,100,200.0,200.0,300.0,102.20975218220673,0.5110487609110337,0.7141278490737046,0.00248707549997107,0.00248707549997107,0.680938516999845,1.1632668603780774,0.0009573258425157954
strike_low,NCV_TRANSFER_BETA,200.0,200.0,0,50.0,0,100,200.0,200.0,350.0,103.17342520818092,0.5158671260409046,0.7175067864274148,0.0018757899999854999,0.0018757899999854999,0.6810097604997054,1.152177065734701,0.0009480739102669252
strike_high,MC,200.0,200.0,0,0,0,0,200.0,200.0,200.0,3.300872371381753,0.016504361856908765,0.12838771768205198,0.0016160175000550225,0.0016160175000550225,0.0016160175000550225,1.0,0.011306415297086696
strike_high,AV,200.0,400.0,0,0,0,0,200.0,400.0,400.0,3.8153424193580627,0.019076712096790314,0.13747077958790446,0.0024559964999752992,0.0024559964999752992,0.0024559964999752992,0.9107915989164965,0.011162472986263508
strike_high,GCV,200.0,200.0,0,50.0,0,0,200.0,200.0,250.0,0.03817877623344787,0.00019089388116723936,0.013547463315498488,0.0021276864999890677,0.0021276864999890677,0.0031869309999592588,98.72610707701173,1.0
strike_high,NCV_SCRATCH,200.0,200.0,100.0,0,0,0,200.0,200.0,300.0,5.728621739606858,0.028643108698034287,0.16907363757086816,0.0033447475000230042,0.0033447475000230042,0.18761948350004332,0.5845326507010152,0.006949141622664739
strike_high,NCV_TRANSFER_BETA1,200.0,200.0,0,0,0,100,200.0,200.0,300.0,11.392370257946865,0.05696185128973432,0.23865966285208312,0.002473930499945709,0.002473930499945709,0.6809253719998196,0.29013336010082835,0.003372055361826281
strike_high,NCV_TRANSFER_BETA,200.0,200.0,0,50.0,0,100,200.0,200.0,350.0,3.1512618936128067,0.015756309468064035,0.12541267994222854,0.0018940135000775626,0.0018940135000775626,0.6810258594999823,1.0486281754635511,0.011806309239258916
volatility_low,MC,200.0,200.0,0,0,0,0,200.0,200.0,200.0,21.105635248986246,0.10552817624493122,0.32467849395601867,0.0016036304999715867,0.0016036304999715867,0.0016036304999715867,1.0,0.00022494726052548083
volatility_low,AV,200.0,400.0,0,0,0,0,200.0,400.0,400.0,3.315130416922516,0.01657565208461258,0.12873210863965487,0.0025352249999741616,0.0025352249999741616,0.0025352249999741616,6.359744770340783,0.0014131864094465798
volatility_low,GCV,200.0,200.0,0,50.0,0,0,200.0,200.0,250.0,0.004641105101046315,2.3205525505231573e-05,0.004766705189747557,0.0021197114999722544,0.0021197114999722544,0.0031709109999837892,5044.310462879026,1.0
volatility_low,NCV_SCRATCH,200.0,200.0,100.0,0,0,0,200.0,200.0,300.0,17.141060835141438,0.08570530417570721,0.2924309335265249,0.004526496500034227,0.004526496500034227,0.18455197350010621,1.2346505817116837,0.00028050336057763837
volatility_low,NCV_TRANSFER_BETA1,200.0,200.0,0,0,0,100,200.0,200.0,300.0,19.085101684985077,0.09542550842492539,0.3084341248501851,0.0024805174999755764,0.0024805174999755764,0.6809319589998495,1.127702444143237,0.00023840455610378818
volatility_low,NCV_TRANSFER_BETA,200.0,200.0,0,50.0,0,100,200.0,200.0,350.0,18.24837534416408,0.0912418767208204,0.3020578623535538,0.0018600504999994882,0.0018600504999994882,0.6810004329998947,1.1575775371089567,0.00025353917884711664
volatility_high,MC,200.0,200.0,0,0,0,0,200.0,200.0,200.0,391.3788008818813,1.9568940044094065,1.398341397430994,0.0016095355000516065,0.0016095355000516065,0.0016095355000516065,1.0,0.003999164521477234
volatility_high,AV,200.0,400.0,0,0,0,0,200.0,400.0,400.0,146.58041230323335,0.7329020615161667,0.8560936284977764,0.0024875504999499753,0.0024875504999499753,0.0024875504999499753,2.6693076190369354,0.010559732194432838
volatility_high,GCV,200.0,200.0,0,50.0,0,0,200.0,200.0,250.0,1.5464126905020437,0.007732063452510218,0.0876480018594703,0.002124190500012446,0.002124190500012446,0.0031836299998531103,262.07835014894175,1.0
volatility_high,NCV_SCRATCH,200.0,200.0,100.0,0,0,0,200.0,200.0,300.0,341.0974988060169,1.7054874940300846,1.305172248262652,0.004846756500000993,0.004846756500000993,0.1896269479999546,1.148413378953724,0.004605207272340763
volatility_high,NCV_TRANSFER_BETA1,200.0,200.0,0,0,0,100,200.0,200.0,300.0,348.0862873680633,1.7404314368403166,1.3184273215581839,0.0029869920000464845,0.0029869920000464845,0.6814384334999204,1.1255525164435105,0.004515552165216831
volatility_high,NCV_TRANSFER_BETA,200.0,200.0,0,50.0,0,100,200.0,200.0,350.0,334.0870991590144,1.670435495795072,1.291588469903483,0.0018654854999340387,0.0018654854999340387,0.6810021754997706,1.172960001575091,0.0047081179627416645
maturity_short,MC,200.0,200.0,0,0,0,0,200.0,200.0,200.0,32.04794689307964,0.1602397344653982,0.40029169176594337,0.0016142795000178012,0.0016142795000178012,0.0016142795000178012,1.0,0.00039666631234784095
maturity_short,AV,200.0,400.0,0,0,0,0,200.0,400.0,400.0,7.349793180589675,0.03674896590294838,0.1916782347631396,0.002459573499891121,0.002459573499891121,0.002459573499891121,4.3627304867304115,0.0017243016193767406
maturity_short,GCV,200.0,200.0,0,50.0,0,0,200.0,200.0,250.0,0.012744765570230503,6.372382785115252e-05,0.007935714164116476,0.002124581000089165,0.002124581000089165,0.003178124999976717,2629.8786411681067,1.0
maturity_short,NCV_SCRATCH,200.0,200.0,100.0,0,0,0,200.0,200.0,300.0,27.51390717201297,0.13756953586006485,0.3708832298288445,0.004436803499970665,0.004436803499970665,0.1936215179998726,1.165611380376502,0.0004655125699646037
maturity_short,NCV_TRANSFER_BETA1,200.0,200.0,0,0,0,100,200.0,200.0,300.0,28.190751177348236,0.1409537558867412,0.3749169362859799,0.0024865990000080274,0.0024865990000080274,0.6809380404998819,1.1480301858898465,0.00044678825291902323
maturity_short,NCV_TRANSFER_BETA,200.0,200.0,0,50.0,0,100,200.0,200.0,350.0,31.304941719577315,0.15652470859788659,0.3935612026516186,0.0018520805000434848,0.0018520805000434848,0.6809784464999211,1.0651460749839639,0.00040606739770474335
maturity_long,MC,200.0,200.0,0,0,0,0,200.0,200.0,200.0,163.51387570662837,0.8175693785331419,0.9021573625362354,0.0016030839999530144,0.0016030839999530144,0.0016030839999530144,1.0,0.002304958397596827
maturity_long,AV,200.0,400.0,0,0,0,0,200.0,400.0,400.0,40.62480442796746,0.20312402213983732,0.4504690070353071,0.0024570790000097986,0.0024570790000097986,0.0024570790000097986,4.07509633836006,0.008878461264736424
maturity_long,GCV,200.0,200.0,0,50.0,0,0,200.0,200.0,250.0,0.3627353699280137,0.0018136768496400683,0.0424628395066858,0.002130351499886274,0.002130351499886274,0.0031721435000235942,470.90354293014093,1.0
maturity_long,NCV_SCRATCH,200.0,200.0,100.0,0,0,0,200.0,200.0,300.0,140.5088587859916,0.7025442939299581,0.837598293518316,0.003001203999929203,0.003001203999929203,0.18965016199990714,1.1585456092843267,0.002625370456372188
