base_seed,replication,contract_id,K,sigma,T,method,pricing_seed,pilot_seed,target_training_seed,price,observation_variance,estimator_variance,std_error,ci_lower,ci_upper,pricing_observations,pricing_simulated_paths,pilot_paths,target_training_paths,shared_reference_training_paths,total_simulated_paths,shared_reference_training_runtime_s,target_training_runtime_s,pilot_runtime_s,pricing_runtime_s,end_to_end_runtime_s,beta,corr_f_c0,param_hash,hash_verified,error
42,0,volatility_high,100.0,0.5,1.0,MC,5442,4442,3442,12.78505486905483,486.5259748456849,0.04865259748456849,0.2205733381090482,12.352731126361096,13.217378611748565,10000,10000,0,0,0,10000,0.0,0.0,0.0,0.06482353199999125,0.06482353199999125,nan,nan,,,
42,0,volatility_high,100.0,0.5,1.0,AV,5442,4442,3442,12.48434858186851,154.37260265298013,0.015437260265298014,0.12424677164939946,12.240824909435686,12.727872254301333,10000,20000,0,0,0,20000,0.0,0.0,0.0,0.09812041099996804,0.09812041099996804,nan,nan,,,
42,0,volatility_high,100.0,0.5,1.0,GCV,5442,4442,3442,12.36824975930576,2.2768158768378512,0.00022768158768378513,0.015089121501392489,12.33867508116303,12.39782443744849,10000,10000,2000,0,0,12000,0.0,0.0,0.011860258999945472,0.049189032000072075,0.06104929100001755,1.0926245135984933,0.9973953337763273,,,
42,0,volatility_high,100.0,0.5,1.0,NCV_SCRATCH,5442,4442,3442,,,,,,,,,,,,,,,,,,,,,,torch_not_available
42,0,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,5442,4442,3442,,,,,,,,,,,,,,,,,,,,,,torch_not_available
42,0,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,5442,4442,3442,,,,,,,,,,,,,,,,,,,,,,torch_not_available
42,0,maturity_short,100.0,0.2,0.5,MC,5542,4542,3542,3.9194691462397118,30.67728038343082,0.0030677280383430818,0.055387074650527286,3.8109104799246785,4.028027812554745,10000,10000,0,0,0,10000,0.0,0.0,0.0,0.06423856300000352,0.06423856300000352,nan,nan,,,
42,0,maturity_short,100.0,0.2,0.5,AV,5542,4542,3542,3.9058314935253104,7.569304872486243,0.0007569304872486243,0.027512369713432978,3.851907248886982,3.959755738163639,10000,20000,0,0,0,20000,0.0,0.0,0.0,0.10106150100000377,0.10106150100000377,nan,nan,,,
42,0,maturity_short,100.0,0.2,0.5,GCV,5542,4542,3542,3.866628090110603,0.011765165753941492,1.1765165753941492e-06,0.0010846734879188986,3.864502130074282,3.868754050146924,10000,10000,2000,0,0,12000,0.0,0.0,0.011839450000024954,0.04997648500000196,0.06181593500002691,1.0221583017367566,0.999814032596856,,,
42,0,maturity_short,100.0,0.2,0.5,NCV_SCRATCH,5542,4542,3542,,,,,,,,,,,,,,,,,,,,,,torch_not_available
42,0,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,5542,4542,3542,,,,,,,,,,,,,,,,,,,,,,torch_not_available
42,0,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,5542,4542,3542,,,,,,,,,,,,,,,,,,,,,,torch_not_available
