contract_id,method,Q,declared_budget_paths,shared_reference_training_paths_per_valuation,pilot_paths,target_training_paths,pricing_observations,pricing_simulated_paths,total_used_paths,feasible,infeasible_reason,estimated_observation_variance,estimated_estimator_variance,estimated_standard_error
strike_low,NCV_SCRATCH,500,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
strike_low,NCV_TRANSFER_BETA1,500,10000,20,0,0,9980,9980,10000,True,,,nan,nan
strike_low,NCV_TRANSFER_BETA,500,10000,20,2000,0,7980,7980,10000,True,,,nan,nan
strike_low,MC,1000,10000,0,0,0,10000,10000,10000,True,,127.49945341779622,0.012749945341779622,0.11291565587543484
strike_low,AV,1000,10000,0,0,0,5000,10000,10000,True,,1.9604324990665078,0.00039208649981330157,0.019801174202892655
strike_low,GCV,1000,10000,0,2000,0,8000,8000,10000,True,,0.08522029899379711,1.065253737422464e-05,0.0032638225096081187
strike_low,NCV_SCRATCH,1000,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
strike_low,NCV_TRANSFER_BETA1,1000,10000,10,0,0,9990,9990,10000,True,,,nan,nan
strike_low,NCV_TRANSFER_BETA,1000,10000,10,2000,0,7990,7990,10000,True,,,nan,nan
strike_high,MC,1,10000,0,0,0,10000,10000,10000,True,,6.170456306229474,0.0006170456306229474,0.024840403189621288
strike_high,AV,1,10000,0,0,0,5000,10000,10000,True,,2.951046460260443,0.0005902092920520886,0.024294223429698027
strike_high,GCV,1,10000,0,2000,0,8000,8000,10000,True,,0.031007125674256526,3.875890709282066e-06,0.001968728195887402
strike_high,NCV_SCRATCH,1,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
strike_high,NCV_TRANSFER_BETA1,1,10000,10000,0,0,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
strike_high,NCV_TRANSFER_BETA,1,10000,10000,2000,0,-2000,-2000,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
strike_high,MC,5,10000,0,0,0,10000,10000,10000,True,,6.170456306229474,0.0006170456306229474,0.024840403189621288
strike_high,AV,5,10000,0,0,0,5000,10000,10000,True,,2.951046460260443,0.0005902092920520886,0.024294223429698027
strike_high,GCV,5,10000,0,2000,0,8000,8000,10000,True,,0.031007125674256526,3.875890709282066e-06,0.001968728195887402
strike_high,NCV_SCRATCH,5,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
