replication,contract_id,method,phase,runtime_s,timing_repetition_index
0,reference,MC,pricing,0.06447180499992555,1
0,reference,AV,pricing,0.10102079099999628,1
0,reference,GCV,pilot,0.01251039999999648,1
0,reference,GCV,pricing,0.050267912999970576,1
0,strike_low,MC,pricing,0.06457139099995857,1
0,strike_low,AV,pricing,0.09922219299994595,1
0,strike_low,GCV,pilot,0.012195701999985431,1
0,strike_low,GCV,pricing,0.05085399800009327,1
0,strike_high,MC,pricing,0.06439097500003754,1
0,strike_high,AV,pricing,0.09837875799996709,1
0,strike_high,GCV,pilot,0.011835429000029762,1
0,strike_high,GCV,pricing,0.049196742999924936,1
0,volatility_low,MC,pricing,0.06504028699998798,1
0,volatility_low,AV,pricing,0.09879416399996899,1
0,volatility_low,GCV,pilot,0.011841731999993499,1
0,volatility_low,GCV,pricing,0.04765224899995246,1
0,volatility_high,MC,pricing,0.06482353199999125,1
0,volatility_high,AV,pricing,0.09812041099996804,1
0,volatility_high,GCV,pilot,0.011860258999945472,1
0,volatility_high,GCV,pricing,0.049189032000072075,1
0,maturity_short,MC,pricing,0.06423856300000352,1
0,maturity_short,AV,pricing,0.10106150100000377,1
0,maturity_short,GCV,pilot,0.011839450000024954,1
0,maturity_short,GCV,pricing,0.04997648500000196,1
0,maturity_long,MC,pricing,0.06405417700000271,1
0,maturity_long,AV,pricing,0.09885379400009242,1
0,maturity_long,GCV,pilot,0.011882850999995753,1
0,maturity_long,GCV,pricing,0.048504793999995854,1
1,reference,MC,pricing,0.06507223099993098,1
1,reference,AV,pricing,0.09977234100006172,1
1,reference,GCV,pilot,0.011767767000037566,1
1,reference,GCV,pricing,0.047555428999999094,1
1,strike_low,MC,pricing,0.06430471699991358,1
1,strike_low,AV,pricing,0.09872110599997086,1
1,strike_low,GCV,pilot,0.01201874499997757,1
1,strike_low,GCV,pricing,0.048043742000004386,1
1,strike_high,MC,pricing,0.06506505700008347,1
1,strike_high,AV,pricing,0.09970310199992127,1
1,strike_high,GCV,pilot,0.011713102999920011,1
1,strike_high,GCV,pricing,0.04824394500008111,1
1,volatility_low,MC,pricing,0.06425585499994213,1
1,volatility_low,AV,pricing,0.0997759680000172,1
1,volatility_low,GCV,pilot,0.012125593999940065,1
1,volatility_low,GCV,pricing,0.04858338000008189,1
1,volatility_high,MC,pricing,0.06401190799999767,1
1,volatility_high,AV,pricing,0.09987894100004269,1
