contract_id,method,phase,runtime_mean_s,runtime_std_s,runtime_median_s,runtime_min_s,runtime_max_s,n_timing_repetitions
maturity_long,AV,pricing,0.09940160316668502,0.0008712680712028051,0.09917932600001222,0.09804117800001677,0.10148333800009368,30
maturity_long,GCV,pilot,0.011935910333337081,0.00025399863070771215,0.01191297649995704,0.011407527999949707,0.01246856900002058,30
maturity_long,GCV,pricing,0.049033901899997547,0.0009397341306494527,0.04886666949994378,0.04710742899999332,0.051039607999996406,30
maturity_long,MC,pricing,0.06441328699999833,0.00046226963328015034,0.06445935950000603,0.06361985900002765,0.06530489199997191,30
maturity_short,AV,pricing,0.09949623249999982,0.0009300093152442655,0.09959640749997334,0.097880516000032,0.10106317200006742,30
maturity_short,GCV,pilot,0.011976965633330868,0.00024024903139215054,0.011929050999981428,0.011593549000053827,0.012552735999975084,30
maturity_short,GCV,pricing,0.0490245674666653,0.0010150037973391788,0.048779441500016674,0.04710405000002993,0.05192227800000637,30
maturity_short,MC,pricing,0.06453739933333888,0.0008718610590144319,0.06441307000000052,0.06334205199993903,0.0676949329999843,30
reference,AV,pricing,0.0994432728333436,0.0011639167692719266,0.09932760050003253,0.09809636900001806,0.10223871099992721,30
reference,GCV,pilot,0.011909344433324047,0.00033738912042955484,0.011846298000023125,0.01139858599992749,0.013059171000008973,30
reference,GCV,pricing,0.04907222036665644,0.0010392893244248174,0.04900606849997757,0.04718953200006126,0.05132710600003065,30
reference,MC,pricing,0.06437110646666042,0.00042759660842004295,0.06443132049992073,0.06334539800002403,0.06507223099993098,30
strike_high,AV,pricing,0.09964615926666814,0.0011332450395101922,0.09942258650005442,0.09786563299996942,0.10204289300008895,30
strike_high,GCV,pilot,0.012000977466683101,0.0002510494003149668,0.011985156500088578,0.011609093999936704,0.012668522000012672,30
strike_high,GCV,pricing,0.04901754323332928,0.0009676946283295704,0.0489049915000237,0.047267746999978044,0.05266736899989155,30
strike_high,MC,pricing,0.06443785323335002,0.000513532805685481,0.06440148500001897,0.06364213099993776,0.06536255000003166,30
strike_low,AV,pricing,0.10037810546664332,0.005392230410281641,0.09922483999997667,0.09813933399993857,0.12858015599999817,30
strike_low,GCV,pilot,0.012048744999985199,0.0003282097252686643,0.012023538499988717,0.01149614799999199,0.012794188999919243,30
strike_low,GCV,pricing,0.04890408223333604,0.0006977763464322065,0.04883880099998805,0.04736214399997607,0.05085399800009327,30
strike_low,MC,pricing,0.06436441133332664,0.00037682714690883535,0.06431862249996811,0.06339059200001884,0.06503234899992094,30
volatility_high,AV,pricing,0.0993599541666716,0.0007236362157498933,0.09944593649998978,0.09796237099999416,0.10048404799999844,30
volatility_high,GCV,pilot,0.011953684233321837,0.0002214410760859381,0.011910427000032087,0.011648852000007537,0.012650017000055414,30
volatility_high,GCV,pricing,0.04887985043333553,0.0007603130836043645,0.048707418999981655,0.04773527500003638,0.05048890199998368,30
volatility_high,MC,pricing,0.0645808705333252,0.0008468175030320833,0.06435282649994178,0.06278400099995451,0.06665033500007667,30
volatility_low,AV,pricing,0.0993614655666723,0.0008523081862727782,0.09926673550000942,0.09786406000000625,0.10145198999998684,30
volatility_low,GCV,pilot,0.01198607456664907,0.00027852766602186357,0.011934716499979459,0.011632372000008218,0.013049722999994628,30
volatility_low,GCV,pricing,0.048951906566670304,0.0009484630173544558,0.04891719199997624,0.04720396200002597,0.051447399000039695,30
volatility_low,MC,pricing,0.06441917689998794,0.0004391672460859422,0.06442721299998766,0.06348578799997995,0.06534345500006111,30
