replication,monitoring_dates,ncv_epoch,trajectory_id,training_seed,validation_seed,pilot_seed,pricing_seed,mc_price,mc_observation_variance,mc_standard_error,gcv_price,gcv_observation_variance,gcv_estimator_variance,gcv_standard_error,ncv_price,ncv_observation_variance,ncv_estimator_variance,ncv_standard_error,gcv_vrr_vs_mc,ncv_vrr_vs_mc,ncv_to_gcv_advantage,ncv_beats_gcv,gcv_reporting_observations,required_ncv_observations_to_match_gcv_reporting_n,required_ncv_observations_reason,optimizer_cumulative_training_runtime_s,training_data_generation_runtime_s,ncv_setup_cost_s,gcv_setup_cost_s,mc_marginal_pricing_runtime_s,gcv_marginal_pricing_runtime_s,ncv_marginal_pricing_runtime_50000_s,ncv_marginal_pricing_runtime_matched_measured_s,ncv_marginal_pricing_runtime_matched_projected_s,break_even_q,break_even_failure_reason,break_even_verified_q,break_even_verified_q_minus_1,break_even_q_minus_1_verification_status
0,12,25,rep0_m12,1042,2042,3042,4042,6.006691708854635,70.3386762904366,0.3706483874641288,6.148763814913283,0.04581981922941575,8.949183443245263e-05,0.009460012390713483,6.275662344779681,43.61252941118757,0.08518072150622573,0.2918573650025398,1535.114661589063,1.6128089161550254,0.0010506113689810882,False,512,487336,,0.01628944300000512,4.910002644464839e-07,0.016289934000269568,0.0003487850003693893,0.0002896050000344985,0.00034661100016819546,0.00041516100009175716,NA,0.39516191629046205,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
0,12,1000,rep0_m12,1042,2042,3042,4042,6.006691708854635,70.3386762904366,0.3706483874641288,6.148763814913283,0.04581981922941575,8.949183443245263e-05,0.009460012390713483,6.135313076404849,1.6638768409850457,0.0032497594550489175,0.057006661497134854,1535.114661589063,42.273967975174656,0.027537987248076348,False,512,18593,,0.5453890389999287,4.910002644464839e-07,0.5453895300001932,0.0003487850003693893,0.00024059199995463132,0.0003026989998033969,0.0004030879999845638,NA,0.014637920280689443,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
0,252,25,rep0_m252,1042,2042,3042,4042,5.922122709874612,72.74497597366255,0.37693504904500413,5.784259336857421,0.060739660187940234,0.00011863214880457077,0.010891838632874193,6.007475583016495,62.04948503972618,0.12119040046821519,0.348124116470283,1197.6520077421499,1.172370341624733,0.0009788906410593521,False,512,523042,,0.01712651600018944,7.809999260643963e-07,0.017127297000115504,0.0001187230000141426,0.006241864000003261,0.007194424999852345,0.006780856999739626,NA,6.927095716519167,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
0,252,1000,rep0_m252,1042,2042,3042,4042,5.922122709874612,72.74497597366255,0.37693504904500413,5.784259336857421,0.060739660187940234,0.00011863214880457077,0.010891838632874193,6.009964517597339,61.85045148818859,0.12080166306286834,0.347565336394279,1197.6520077421499,1.1761430066125622,0.000982040692128812,False,512,521364,,0.6402382060000491,7.809999260643963e-07,0.6402389869999752,0.0001187230000141426,0.004212639999877865,0.006723189000240382,0.006027119999998831,NA,6.13735037437381,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
1,12,25,rep1_m12,101042,102042,103042,104042,6.687065046276585,79.55795942950449,0.39419112053767896,6.163159172626663,0.08026101308542966,0.0001567597911824798,0.012520375041606373,6.633728886765319,44.012882758079826,0.08596266163687466,0.29319389768014387,991.2404088996878,1.8076061926413887,0.0018235800078488485,False,512,280767,,0.031222375000197644,4.910002644464839e-07,0.03122286600046209,0.00014447100011238945,0.00030686599984619534,0.0002798860000439163,0.0003561100002116291,NA,0.19528112583870794,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
1,12,1000,rep1_m12,101042,102042,103042,104042,6.687065046276585,79.55795942950449,0.39419112053767896,6.163159172626663,0.08026101308542966,0.0001567597911824798,0.012520375041606373,6.197176767098943,1.6124573191242468,0.0031493307014145446,0.05611889789914396,991.2404088996878,49.33957537103294,0.04977558917901826,False,512,10287,,0.5866882370000894,4.910002644464839e-07,0.5866887280003539,0.00014447100011238945,0.00023816800012355088,0.0002716310000323574,0.00034781399972416693,NA,0.006988208232739268,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
1,252,25,rep1_m252,101042,102042,103042,104042,6.429826491347239,77.78536511258812,0.3897749879552608,5.768254912149363,0.04956269303862131,9.680213484105725e-05,0.009838807592440114,6.297978465528788,62.52587373715809,0.1221208471428869,0.3494579332951062,1569.433788675981,1.2440508298944661,0.000792674937210306,False,512,645915,,0.017184765999900264,5.29999852005858e-07,0.01718529599975227,0.00011773100004575099,0.004500750000261178,0.00675788399985322,0.006054512999980943,NA,7.638087430434943,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
1,252,1000,rep1_m252,101042,102042,103042,104042,6.429826491347239,77.78536511258812,0.3897749879552608,5.768254912149363,0.04956269303862131,9.680213484105725e-05,0.009838807592440114,6.29445972231321,61.787422351886846,0.120678559281029,0.3473881968073023,1569.433788675981,1.258919083395178,0.0008021485789835313,False,512,638286,,0.6379481710000618,5.29999852005858e-07,0.6379487009999139,0.00011773100004575099,0.005601531000138493,0.006751752000127453,0.006858534000002692,NA,8.550207485792418,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
