series,lag,acf
returns,1,-0.006055181525091236
returns,2,-0.028774519015265836
returns,3,0.007736005154956757
returns,4,0.01864114372988256
returns,5,-0.0054860458923050035
returns,6,-0.01802757304323029
returns,7,-0.00398420840207116
returns,8,0.03557286526196339
returns,9,0.03115590596696263
returns,10,-0.05163119439509939
returns,11,-0.027062653133482786
returns,12,0.04469183461265097
returns,13,0.07351713925788904
returns,14,0.020078965286371597
returns,15,0.002439265038082898
returns,16,0.02216653042747492
returns,17,0.0017928613866960393
returns,18,-0.037615706765336
returns,19,-0.01657998007388601
returns,20,-0.003678872690211946
squared_returns,1,0.36393430458456744
squared_returns,2,0.07013375072696541
squared_returns,3,0.048955547626058235
squared_returns,4,0.05212369047825082
squared_returns,5,0.06403011056947473
squared_returns,6,0.13780265722436175
squared_returns,7,0.10217673046305231
squared_returns,8,0.04397539456524077
squared_returns,9,0.0863114156700171
squared_returns,10,0.1672490451992528
squared_returns,11,0.21515743329125242
squared_returns,12,0.08757580514879777
squared_returns,13,0.1430569026854237
squared_returns,14,0.10391596180249595
squared_returns,15,0.049995784088450373
squared_returns,16,0.06875286590858004
squared_returns,17,0.033784043654290136
squared_returns,18,0.04680127212976243
squared_returns,19,0.03596753366666572
squared_returns,20,0.03427987483755052
absolute_returns,1,0.27786452440101433
absolute_returns,2,0.21612386266680564
absolute_returns,3,0.21156335539190113
absolute_returns,4,0.21768578156282348
absolute_returns,5,0.2136942828763508
absolute_returns,6,0.23264401251267078
absolute_returns,7,0.22679735893983025
absolute_returns,8,0.19068611207053895
absolute_returns,9,0.22852052967583822
absolute_returns,10,0.23815329761459575
absolute_returns,11,0.23012733243309014
absolute_returns,12,0.19204621161939103
absolute_returns,13,0.21127823030271056
absolute_returns,14,0.2081463916908726
absolute_returns,15,0.1740886467617884
absolute_returns,16,0.20056070921372246
absolute_returns,17,0.15786409961511597
absolute_returns,18,0.1508377328757608
absolute_returns,19,0.16234454048327293
absolute_returns,20,0.15178156356538744
