replication,monitoring_dates,ncv_epoch,trajectory_id,training_data_generation_runtime_s,optimizer_cumulative_training_runtime_s,ncv_setup_cost_s,gcv_setup_cost_s,gcv_marginal_pricing_runtime_s,ncv_marginal_pricing_runtime_50000_s,ncv_marginal_pricing_runtime_matched_measured_s,ncv_marginal_pricing_runtime_matched_projected_s,break_even_q,break_even_failure_reason
0,12,25,rep0_m12,9.520001640339615e-07,0.28627941499985354,0.2862803670000176,0.00035343400008969184,0.026608224000028713,0.026985273000036614,0.05342875700011973,0.06066829075868232,NA,proposed_marginal_not_below_baseline_no_finite_break_even
0,12,1000,rep0_m12,9.520001640339615e-07,11.087061740999843,11.087062693000007,0.00035343400008969184,0.026659018999907858,0.023557930000151828,0.0013311320001321292,0.0010765974010069385,438,
0,252,25,rep0_m252,1.6229998891503783e-06,0.404369140999961,0.40437076399985017,0.0001374280000163708,0.39624781999987135,0.34383695699989403,NA,1.7134564612958518,NA,proposed_marginal_not_below_baseline_no_finite_break_even
0,252,1000,rep0_m252,1.6229998891503783e-06,15.5049172250001,15.504918847999988,0.0001374280000163708,0.3973737970000002,0.34096141100008026,NA,1.8885238824754647,NA,proposed_marginal_not_below_baseline_no_finite_break_even
1,12,25,rep1_m12,1.4320000900625018e-06,0.28007749799985504,0.2800789299999451,0.0001306750000367174,0.026588116000084483,0.024259337999865238,0.05682931999990615,0.05951009686070942,NA,proposed_marginal_not_below_baseline_no_finite_break_even
1,12,1000,rep1_m12,1.4320000900625018e-06,11.033165892999932,11.033167325000022,0.0001306750000367174,0.026572626999950444,0.02356040400013626,0.0014139979998617491,0.001153988587926674,439,
1,252,25,rep1_m252,8.409999736613827e-07,0.400285077000035,0.4002859180000087,0.00013163700009499735,0.3952109860001656,0.34067047899998215,NA,2.0803928543379313,NA,proposed_marginal_not_below_baseline_no_finite_break_even
1,252,1000,rep1_m252,8.409999736613827e-07,15.504845235999937,15.504846076999911,0.00013163700009499735,0.39909779399999934,0.3409969719998571,NA,2.534753251784858,NA,proposed_marginal_not_below_baseline_no_finite_break_even
2,12,25,rep2_m12,1.0520000159885967e-06,0.2814767429999847,0.2814777950000007,0.0001356450000002951,0.02660274799995932,0.02532998500009853,0.04915128600009666,0.05405368139051027,NA,proposed_marginal_not_below_baseline_no_finite_break_even
2,12,1000,rep2_m12,1.0520000159885967e-06,11.071853040000178,11.071854092000194,0.0001356450000002951,0.0267034869998497,0.025609731000031388,0.004142394999917087,0.0014003400910817163,491,
2,252,25,rep2_m252,8.709998837730382e-07,0.40252904399994804,0.4025299149998318,0.00013890199988964014,0.3914210279999679,0.3444679690001067,NA,1.962916274550208,NA,proposed_marginal_not_below_baseline_no_finite_break_even
2,252,1000,rep2_m252,8.709998837730382e-07,15.410418371999867,15.410419242999751,0.00013890199988964014,0.40776698200011197,0.34306087599998136,NA,2.3793192891504304,NA,proposed_marginal_not_below_baseline_no_finite_break_even
3,12,25,rep3_m12,8.719998731976375e-07,0.27629502700006014,0.27629589899993334,0.00013259999991532823,0.026625223000110054,0.02364802899978713,0.0519105700000182,0.05497031637058518,NA,proposed_marginal_not_below_baseline_no_finite_break_even
3,12,1000,rep3_m12,8.719998731976375e-07,10.899164501000087,10.89916537299996,0.00013259999991532823,0.026617620000024544,0.023607393000020238,0.001693312000043079,0.0014735734710612633,438,
3,252,25,rep3_m252,9.82000074145617e-07,0.3975815799999509,0.39758256200002506,0.00016499999992447556,0.3957104389999131,0.3386598590000176,NA,2.0802926890765883,NA,proposed_marginal_not_below_baseline_no_finite_break_even
3,252,1000,rep3_m252,9.82000074145617e-07,15.205826767999952,15.205827750000026,0.00016499999992447556,0.3946691130001909,0.3395627449999665,NA,1.998279215540503,NA,proposed_marginal_not_below_baseline_no_finite_break_even
4,12,25,rep4_m12,9.420000424142927e-07,0.2721562609999637,0.2721572030000061,0.00013336100005290064,0.026683233000085238,0.024508336000053532,0.04747645699990244,0.05025973480202978,NA,proposed_marginal_not_below_baseline_no_finite_break_even
4,12,1000,rep4_m12,9.420000424142927e-07,10.798840079000001,10.798841021000044,0.00013336100005290064,0.026679806999936773,0.023535356000138563,0.0016451629999210127,0.0014168284312083414,432,
4,252,25,rep4_m252,1.0220001058769412e-06,0.3947809569999663,0.39478197900007217,0.0001619339998342184,0.39303141200002756,0.3391170720001355,NA,1.829055057198491,NA,proposed_marginal_not_below_baseline_no_finite_break_even
4,252,1000,rep4_m252,1.0220001058769412e-06,15.1959870579999,15.195988080000006,0.0001619339998342184,0.3929349610000372,0.3399450970000544,NA,1.870201152243859,NA,proposed_marginal_not_below_baseline_no_finite_break_even
5,12,25,rep5_m12,1.0820001534739276e-06,0.26936989099999664,0.2693709730001501,0.00013097600003675325,0.026651807000007466,0.026498769999989236,0.044653485000026194,0.051018081880979275,NA,proposed_marginal_not_below_baseline_no_finite_break_even
5,12,1000,rep5_m12,1.0820001534739276e-06,10.736192014000153,10.736193096000306,0.00013097600003675325,0.02682342899993273,0.027919350000047416,0.003743266000128642,0.0018337429080031143,466,
5,252,25,rep5_m252,8.619999789516442e-07,0.39687491600011526,0.3968757780000942,0.0001328299999840965,0.3951224140000704,0.340426965000006,NA,1.804051849781732,NA,proposed_marginal_not_below_baseline_no_finite_break_even
5,252,1000,rep5_m252,8.619999789516442e-07,15.152795395000112,15.152796257000091,0.0001328299999840965,0.3924038049999581,0.3387193119999665,NA,1.8522391369681368,NA,proposed_marginal_not_below_baseline_no_finite_break_even
6,12,25,rep6_m12,9.620000582799548e-07,0.2701021689999834,0.2701031310000417,0.00013041500005783746,0.026619567000125244,0.02337757299983423,0.03166222499999094,0.02784268944280257,NA,proposed_marginal_not_below_baseline_no_finite_break_even
6,12,1000,rep6_m12,9.620000582799548e-07,10.849753175999922,10.84975413799998,0.00013041500005783746,0.0266031149999435,0.02543323700001565,0.004875415000014982,0.0051268319144631555,500,
6,252,25,rep6_m252,7.809999260643963e-07,0.3943631180000011,0.3943638989999272,0.00016713500008336268,0.393145954999909,0.3394984280000699,NA,1.9350188201663183,NA,proposed_marginal_not_below_baseline_no_finite_break_even
6,252,1000,rep6_m252,7.809999260643963e-07,15.204960411999991,15.204961192999917,0.00016713500008336268,0.3935287949998383,0.3396725659999902,NA,1.9215820534725045,NA,proposed_marginal_not_below_baseline_no_finite_break_even
