replication,monitoring_dates,checkpoint,trajectory_id,training_seed,validation_seed,pilot_seed,pricing_seed,train_mse,validation_mse,validation_ncv_observation_variance,validation_gcv_observation_variance,advantage,pricing_ncv_observation_variance,pricing_gcv_observation_variance,optimizer_cumulative_training_runtime_s,training_data_generation_runtime_s,ncv_setup_cost_s
0,12,0,rep0_m12,1042,2042,3042,4042,109.01386274862892,110.0190918085408,74.50320565723472,0.06019245267431191,0.0008079176210381876,74.62558717528158,0.055973954719070865,0.0,9.520001640339615e-07,0.0
0,12,10,rep0_m12,1042,2042,3042,4042,0.1393059236603849,0.21411484111408632,0.2138334586560002,0.06019245267431191,0.28149220918296597,0.1762127855728384,0.055973954719070865,0.11199701399982587,9.520001640339615e-07,0.1119979659999899
0,12,25,rep0_m12,1042,2042,3042,4042,0.08999744306647713,0.15870697327474043,0.15860116057933585,0.06019245267431191,0.37952088404928347,0.12584018209648395,0.055973954719070865,0.28627941499985354,9.520001640339615e-07,0.2862803670000176
0,12,50,rep0_m12,1042,2042,3042,4042,0.020063957255264945,0.049237286912254305,0.0492385128236445,0.06019245267431191,1.222466911011319,0.03393498884033084,0.055973954719070865,0.5637798519999251,9.520001640339615e-07,0.5637808040000891
0,12,100,rep0_m12,1042,2042,3042,4042,0.006170471301145123,0.01829511117281146,0.018294920088962777,0.06019245267431191,3.290118370652282,0.011013541038687027,0.055973954719070865,1.118949973999861,9.520001640339615e-07,1.118950926000025
0,12,200,rep0_m12,1042,2042,3042,4042,0.0026509845213537296,0.009220910501159418,0.009136450555329717,0.06019245267431191,6.588165974279678,0.004907774123853176,0.055973954719070865,2.222826714999883,9.520001640339615e-07,2.222827667000047
0,12,500,rep0_m12,1042,2042,3042,4042,0.0015455868671126187,0.0060015285932397125,0.006001751337169696,0.06019245267431191,10.02914804242747,0.003180109969301365,0.055973954719070865,5.554978185999971,9.520001640339615e-07,5.554979138000135
0,12,1000,rep0_m12,1042,2042,3042,4042,0.00134311759848329,0.004372905160577425,0.0043656609661001065,0.06019245267431191,13.787706636340681,0.002557179820881505,0.055973954719070865,11.087061740999843,9.520001640339615e-07,11.087062693000007
0,252,0,rep0_m252,1042,2042,3042,4042,100.46210459455419,99.79968939985271,68.1635587094405,0.044042612423777945,0.0006461313531401368,66.38723001842946,0.048397448305097526,0.0,1.6229998891503783e-06,0.0
0,252,10,rep0_m252,1042,2042,3042,4042,0.09031136851207348,0.2629145164633582,0.25646173728184474,0.044042612423777945,0.17173170895031514,0.25469397163002794,0.048397448305097526,0.1612839060001079,1.6229998891503783e-06,0.16128552899999704
0,252,25,rep0_m252,1042,2042,3042,4042,0.05165185789622303,0.2520319190899915,0.24890249250785343,0.044042612423777945,0.17694725344057494,0.2411800376984708,0.048397448305097526,0.404369140999961,1.6229998891503783e-06,0.40437076399985017
0,252,50,rep0_m252,1042,2042,3042,4042,0.04628438242271814,0.287696629615598,0.2862820092910496,0.044042612423777945,0.15384345154222342,0.28110122316821606,0.048397448305097526,0.8048237929999686,1.6229998891503783e-06,0.8048254159998578
0,252,100,rep0_m252,1042,2042,3042,4042,0.04524183497107233,0.32584840684596683,0.3237889850473699,0.044042612423777945,0.13602257784443955,0.3195645523811889,0.048397448305097526,1.586655847999964,1.6229998891503783e-06,1.586657470999853
0,252,200,rep0_m252,1042,2042,3042,4042,0.028700847869578536,0.3220355239836073,0.3204052405025142,0.044042612423777945,0.13745908885479777,0.3208724126616753,0.048397448305097526,3.1272830650000287,1.6229998891503783e-06,3.127284687999918
0,252,500,rep0_m252,1042,2042,3042,4042,0.016723351328338458,0.3139197050598303,0.31338001708082314,0.044042612423777945,0.1405405897735305,0.3150861283669861,0.048397448305097526,7.784062500000118,1.6229998891503783e-06,7.784064123000007
0,252,1000,rep0_m252,1042,2042,3042,4042,0.01620631784383211,0.26848296178326636,0.26740484049850566,0.044042612423777945,0.16470387126004202,0.26806449621497985,0.048397448305097526,15.5049172250001,1.6229998891503783e-06,15.504918847999988
1,12,0,rep1_m12,101042,102042,103042,104042,119.88452066470285,114.74646031875021,70.8549143352236,0.05433757243935193,0.0007668850205967927,71.87254260823339,0.055616125569477544,0.0,1.4320000900625018e-06,0.0
1,12,10,rep1_m12,101042,102042,103042,104042,0.16465341779803158,0.1703011689285309,0.16915892296863286,0.05433757243935193,0.32122202888125356,0.16710084215617077,0.055616125569477544,0.11005650699985381,1.4320000900625018e-06,0.11005793899994387
1,12,25,rep1_m12,101042,102042,103042,104042,0.13061074998679925,0.13899066190114645,0.1388736094457862,0.05433757243935193,0.39127356634713495,0.13643002227275927,0.055616125569477544,0.28007749799985504,1.4320000900625018e-06,0.2800789299999451
1,12,50,rep1_m12,101042,102042,103042,104042,0.07033297020013549,0.07762670664541838,0.07760079838742727,0.05433757243935193,0.7002192447565797,0.07653055147071652,0.055616125569477544,0.5572814749998543,1.4320000900625018e-06,0.5572829069999443
1,12,100,rep1_m12,101042,102042,103042,104042,0.012748757894494698,0.016198146469621845,0.015766753786991577,0.05433757243935193,3.446338616905616,0.015314208797390158,0.055616125569477544,1.111673767999946,1.4320000900625018e-06,1.111675200000036
1,12,200,rep1_m12,101042,102042,103042,104042,0.005555443971750438,0.006176393931796611,0.005597082819576026,0.05433757243935193,9.708195177906614,0.005961555546860524,0.055616125569477544,2.2124449089999416,1.4320000900625018e-06,2.2124463410000317
1,12,500,rep1_m12,101042,102042,103042,104042,0.0019165563549837414,0.002744968969116801,0.002744246511685283,0.05433757243935193,19.800543503645528,0.003103702172720657,0.055616125569477544,5.542624005999869,1.4320000900625018e-06,5.542625437999959
1,12,1000,rep1_m12,101042,102042,103042,104042,0.0019483446054118431,0.002841728246028475,0.002497764127881661,0.05433757243935193,21.754485074391432,0.0027232279323126064,0.055616125569477544,11.033165892999932,1.4320000900625018e-06,11.033167325000022
