period,series,regression,autolag,adf_statistic,pvalue,usedlag,nobs,critical_value_1pct,critical_value_5pct,critical_value_10pct,reject_1pct,reject_5pct,reject_10pct,note
full_sample,log_price,c,AIC,-2.6062354904180505,0.09171535462973918,33,6565,-3.431346475054933,-2.861980357328908,-2.567004398762391,False,False,True,
full_sample,log_price,ct,AIC,-2.6658722286648926,0.2505240904110656,33,6565,-3.9601496547370605,-3.4111589683842687,-3.1274439373018654,False,False,False,
pre-pandemic comparison,log_price,c,AIC,-1.361810637131751,0.6004415558972572,0,2529,-3.432938355012086,-2.8626835272597217,-2.567378742868999,False,False,False,
pre-pandemic comparison,log_price,ct,AIC,-1.7599548955865987,0.7237398175136374,0,2529,-3.962354168359823,-3.412227437741413,-3.128072995451161,False,False,False,
COVID-19 stress period,log_price,c,AIC,-1.5205675730670338,0.5233134334153959,0,102,-3.4961490537199116,-2.8903209639580556,-2.5821223452518263,False,False,False,
COVID-19 stress period,log_price,ct,AIC,-1.2581464333223882,0.8978945866736215,0,102,-4.050384710217036,-3.454444406299236,-3.1527973675283265,False,False,False,
