period,series,regression,autolag,adf_statistic,pvalue,usedlag,nobs,critical_value_1pct,critical_value_5pct,critical_value_10pct,reject_1pct,reject_5pct,reject_10pct,note
full_sample,log_price,c,AIC,-2.606235490418056,0.09171535462973807,33,6565,-3.431346475054933,-2.861980357328908,-2.567004398762391,False,False,True,
full_sample,log_price,ct,AIC,-2.6658722286658665,0.2505240904106459,33,6565,-3.9601496547370605,-3.4111589683842687,-3.1274439373018654,False,False,False,
pre-pandemic comparison,log_price,c,AIC,-1.3618106371317498,0.6004415558972578,0,2529,-3.432938355012086,-2.8626835272597217,-2.567378742868999,False,False,False,
pre-pandemic comparison,log_price,ct,AIC,-1.7599548955865958,0.7237398175136388,0,2529,-3.962354168359823,-3.412227437741413,-3.128072995451161,False,False,False,
COVID-19 stress period,log_price,c,AIC,-1.5205675730670347,0.5233134334153955,0,102,-3.4961490537199116,-2.8903209639580556,-2.5821223452518263,False,False,False,
COVID-19 stress period,log_price,ct,AIC,-1.258146433322379,0.8978945866736237,0,102,-4.050384710217036,-3.454444406299236,-3.1527973675283265,False,False,False,
