base_seed,replication,contract_id,K,sigma,T,method,pricing_seed,pilot_seed,target_training_seed,error
42,4,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,405642,404642,403642,torch_not_available
42,5,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,505142,504142,503142,torch_not_available
42,5,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,505142,504142,503142,torch_not_available
42,5,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,505242,504242,503242,torch_not_available
42,5,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,505242,504242,503242,torch_not_available
42,5,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,505342,504342,503342,torch_not_available
42,5,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,505342,504342,503342,torch_not_available
42,5,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,505442,504442,503442,torch_not_available
42,5,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,505442,504442,503442,torch_not_available
42,5,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,505542,504542,503542,torch_not_available
42,5,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,505542,504542,503542,torch_not_available
42,5,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,505642,504642,503642,torch_not_available
42,5,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,505642,504642,503642,torch_not_available
42,6,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,605142,604142,603142,torch_not_available
42,6,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,605142,604142,603142,torch_not_available
42,6,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,605242,604242,603242,torch_not_available
42,6,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,605242,604242,603242,torch_not_available
42,6,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,605342,604342,603342,torch_not_available
42,6,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,605342,604342,603342,torch_not_available
42,6,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,605442,604442,603442,torch_not_available
42,6,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,605442,604442,603442,torch_not_available
42,6,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,605542,604542,603542,torch_not_available
42,6,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,605542,604542,603542,torch_not_available
42,6,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,605642,604642,603642,torch_not_available
42,6,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,605642,604642,603642,torch_not_available
42,7,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,705142,704142,703142,torch_not_available
42,7,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,705142,704142,703142,torch_not_available
42,7,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,705242,704242,703242,torch_not_available
42,7,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,705242,704242,703242,torch_not_available
42,7,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,705342,704342,703342,torch_not_available
42,7,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,705342,704342,703342,torch_not_available
42,7,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,705442,704442,703442,torch_not_available
42,7,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,705442,704442,703442,torch_not_available
42,7,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,705542,704542,703542,torch_not_available
42,7,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,705542,704542,703542,torch_not_available
42,7,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,705642,704642,703642,torch_not_available
42,7,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,705642,704642,703642,torch_not_available
42,8,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,805142,804142,803142,torch_not_available
42,8,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,805142,804142,803142,torch_not_available
42,8,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,805242,804242,803242,torch_not_available
42,8,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,805242,804242,803242,torch_not_available
42,8,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,805342,804342,803342,torch_not_available
42,8,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,805342,804342,803342,torch_not_available
42,8,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,805442,804442,803442,torch_not_available
42,8,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,805442,804442,803442,torch_not_available
42,8,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,805542,804542,803542,torch_not_available
42,8,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,805542,804542,803542,torch_not_available
42,8,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,805642,804642,803642,torch_not_available
42,8,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,805642,804642,803642,torch_not_available
42,9,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,905142,904142,903142,torch_not_available
42,9,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,905142,904142,903142,torch_not_available
42,9,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,905242,904242,903242,torch_not_available
42,9,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,905242,904242,903242,torch_not_available
42,9,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,905342,904342,903342,torch_not_available
42,9,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,905342,904342,903342,torch_not_available
42,9,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,905442,904442,903442,torch_not_available
42,9,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,905442,904442,903442,torch_not_available
42,9,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,905542,904542,903542,torch_not_available
42,9,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,905542,904542,903542,torch_not_available
42,9,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,905642,904642,903642,torch_not_available
42,9,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,905642,904642,903642,torch_not_available
42,10,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,1005142,1004142,1003142,torch_not_available
42,10,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,1005142,1004142,1003142,torch_not_available
