replication,contract_id,method,phase,runtime_s,timing_repetition_index
3,maturity_short,GCV,pricing,0.04842300600000726,1
3,maturity_long,MC,pricing,0.06442518300002575,1
3,maturity_long,AV,pricing,0.09890860999996676,1
3,maturity_long,GCV,pilot,0.011806090000050062,1
3,maturity_long,GCV,pricing,0.048400335999986055,1
4,reference,MC,pricing,0.06492684099998769,1
4,reference,AV,pricing,0.09930088399994474,1
4,reference,GCV,pilot,0.01164342700008092,1
4,reference,GCV,pricing,0.048740890999965814,1
4,strike_low,MC,pricing,0.06396627000003718,1
4,strike_low,AV,pricing,0.10127927500002443,1
4,strike_low,GCV,pilot,0.011896609000018543,1
4,strike_low,GCV,pricing,0.048472842000023775,1
4,strike_high,MC,pricing,0.0643737189999456,1
4,strike_high,AV,pricing,0.09868925399996442,1
4,strike_high,GCV,pilot,0.01180868599999485,1
4,strike_high,GCV,pricing,0.049323828000069625,1
4,volatility_low,MC,pricing,0.06382283099992492,1
4,volatility_low,AV,pricing,0.09960042300008354,1
4,volatility_low,GCV,pilot,0.011730649999890375,1
4,volatility_low,GCV,pricing,0.049008299999968585,1
4,volatility_high,MC,pricing,0.06434056800003418,1
4,volatility_high,AV,pricing,0.09917606199996953,1
4,volatility_high,GCV,pilot,0.011785563000103139,1
4,volatility_high,GCV,pricing,0.04848040599995329,1
4,maturity_short,MC,pricing,0.06397487599997476,1
4,maturity_short,AV,pricing,0.09965424400002121,1
4,maturity_short,GCV,pilot,0.012036060000014004,1
4,maturity_short,GCV,pricing,0.049306386000012026,1
4,maturity_long,MC,pricing,0.06383409300008225,1
4,maturity_long,AV,pricing,0.09918188300002839,1
4,maturity_long,GCV,pilot,0.011878085000034844,1
4,maturity_long,GCV,pricing,0.050909065000041664,1
5,reference,MC,pricing,0.06447901500007447,1
5,reference,AV,pricing,0.100618471999951,1
5,reference,GCV,pilot,0.011884906999966915,1
5,reference,GCV,pricing,0.04850721499997235,1
5,strike_low,MC,pricing,0.0657837590000554,1
5,strike_low,AV,pricing,0.10004703699996753,1
5,strike_low,GCV,pilot,0.012181831000020793,1
5,strike_low,GCV,pricing,0.04899284099997203,1
5,strike_high,MC,pricing,0.0646716749999996,1
5,strike_high,AV,pricing,0.09918577999997069,1
5,strike_high,GCV,pilot,0.011560072000065702,1
5,strike_high,GCV,pricing,0.048986129000013534,1
5,volatility_low,MC,pricing,0.06404160899990075,1
5,volatility_low,AV,pricing,0.09949353399997563,1
5,volatility_low,GCV,pilot,0.012018216000001303,1
5,volatility_low,GCV,pricing,0.051261432000046625,1
5,volatility_high,MC,pricing,0.06502807900005791,1
5,volatility_high,AV,pricing,0.09959331999993992,1
5,volatility_high,GCV,pilot,0.011899814999992486,1
5,volatility_high,GCV,pricing,0.04958816199996363,1
5,maturity_short,MC,pricing,0.0655402250000634,1
5,maturity_short,AV,pricing,0.09971397599997545,1
5,maturity_short,GCV,pilot,0.011809737000021414,1
5,maturity_short,GCV,pricing,0.049896565999915765,1
5,maturity_long,MC,pricing,0.06454513899996073,1
5,maturity_long,AV,pricing,0.09952469200004543,1
5,maturity_long,GCV,pilot,0.011993900999982543,1
5,maturity_long,GCV,pricing,0.05002207100005762,1
6,reference,MC,pricing,0.06476068099993881,1
6,reference,AV,pricing,0.10093318999997791,1
6,reference,GCV,pilot,0.011929020000025048,1
6,reference,GCV,pricing,0.048696678999931464,1
6,strike_low,MC,pricing,0.06422325799996997,1
6,strike_low,AV,pricing,0.09955308500002502,1
6,strike_low,GCV,pilot,0.011787846000061108,1
6,strike_low,GCV,pricing,0.04944875199998933,1
6,strike_high,MC,pricing,0.06435820000001513,1
6,strike_high,AV,pricing,0.09933286399996177,1
6,strike_high,GCV,pilot,0.011710152000091512,1
6,strike_high,GCV,pricing,0.04876372399996853,1
6,volatility_low,MC,pricing,0.0643729370000301,1
6,volatility_low,AV,pricing,0.10025225900005807,1
6,volatility_low,GCV,pilot,0.01197647899994081,1
6,volatility_low,GCV,pricing,0.04893089500001224,1
6,volatility_high,MC,pricing,0.06430396899997959,1
6,volatility_high,AV,pricing,0.1002622580000434,1
6,volatility_high,GCV,pilot,0.011797875999945973,1
6,volatility_high,GCV,pricing,0.05082992799998465,1
6,maturity_short,MC,pricing,0.06404194000003827,1
6,maturity_short,AV,pricing,0.0991988839999749,1
6,maturity_short,GCV,pilot,0.011783928999989257,1
6,maturity_short,GCV,pricing,0.048912711000070885,1
6,maturity_long,MC,pricing,0.06414025300000503,1
6,maturity_long,AV,pricing,0.09961504099999274,1
6,maturity_long,GCV,pilot,0.01212596699997448,1
6,maturity_long,GCV,pricing,0.049798494000015125,1
7,reference,MC,pricing,0.06555114500008585,1
7,reference,AV,pricing,0.09968865799999094,1
7,reference,GCV,pilot,0.011906939000027705,1
7,reference,GCV,pricing,0.04888939799991476,1
7,strike_low,MC,pricing,0.06393396800001483,1
7,strike_low,AV,pricing,0.0992465640000546,1
7,strike_low,GCV,pilot,0.011933257999999114,1
7,strike_low,GCV,pricing,0.04948337600001196,1
7,strike_high,MC,pricing,0.065013442999998,1
7,strike_high,AV,pricing,0.09985622099998182,1
7,strike_high,GCV,pilot,0.011946622999971623,1
7,strike_high,GCV,pricing,0.04909449100000529,1
7,volatility_low,MC,pricing,0.0642029209999464,1
7,volatility_low,AV,pricing,0.09937602500008325,1
7,volatility_low,GCV,pilot,0.011867385000073227,1
7,volatility_low,GCV,pricing,0.0485779470000125,1
7,volatility_high,MC,pricing,0.06404938500008939,1
7,volatility_high,AV,pricing,0.09912764199998492,1
7,volatility_high,GCV,pilot,0.01184547399998337,1
7,volatility_high,GCV,pricing,0.04889926700002434,1
