contract_id,method,n_successful_replications,n_failed_replications,mean_estimated_price,empirical_std_estimates,mean_model_reported_standard_error,observation_variance,estimator_variance,high_precision_reference_price,bias_vs_reference,absolute_bias,rmse,mae,ci95_coverage,mean_ci_width,computational_efficiency_runtime,computational_efficiency_paths,failed_replication_errors,variance_reduction_ratio_vs_mc_mean,variance_reduction_ratio_vs_mc_median,variance_reduction_ratio_vs_mc_std,variance_reduction_ratio_vs_mc_ci95_lower,variance_reduction_ratio_vs_mc_ci95_upper,variance_reduction_ratio_vs_gcv_mean,variance_reduction_ratio_vs_gcv_median,variance_reduction_ratio_vs_gcv_std,variance_reduction_ratio_vs_gcv_ci95_lower,variance_reduction_ratio_vs_gcv_ci95_upper
maturity_long,AV,30,0,8.738863302584898,0.05286021559340842,0.057388630987366365,32.938796369994726,0.0032938796369994723,9.319923885006178,-0.58106058242128,0.58106058242128,0.583380204289267,0.5810605824212807,0.0,0.22496343347047595,3036.65649524504,0.01510896600223643,,4.303571181191826,4.283269133016206,0.08881163888077208,4.271790344375612,4.33535201800804,0.007035824186992477,0.006951559986359483,0.00033063477081045144,0.006917508053777099,0.007154140320207854
maturity_long,GCV,30,0,8.732837802519816,0.005422019395828303,0.004812286885960765,0.23171399245543994,2.3171399245543993e-05,9.319923885006178,-0.587086082486362,0.587086082486362,0.5871102848702006,0.5870860824863622,0.0,0.018864164592966047,710083.054286306,3.620817195516007,,612.7235616812897,615.5098858937434,25.98062034446139,603.4265160918054,622.0206072707739,1.0,1.0,0.0,1.0,1.0
maturity_long,MC,30,0,8.738566471025507,0.09553937287156025,0.11903990843107856,141.72103737697137,0.014172103737697136,9.319923885006178,-0.5813574139806708,0.5813574139806708,0.58889723679096,0.5813574139806711,0.0,0.4666364410498279,1094.3461591284915,0.0070515510167492145,,1.0,1.0,0.0,1.0,1.0,0.0016349586283879946,0.0016246812434759167,7.086942243627743e-05,0.0016095983312682629,0.0016603189255077263
maturity_long,NCV_SCRATCH,0,30,nan,0.0,nan,nan,nan,9.319923885006178,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
maturity_long,NCV_TRANSFER_BETA,0,30,nan,0.0,nan,nan,nan,9.319923885006178,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
maturity_long,NCV_TRANSFER_BETA1,0,30,nan,0.0,nan,nan,nan,9.319923885006178,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
maturity_short,AV,30,0,3.8682649526496093,0.02788199461889985,0.02698706895112922,7.28352806529702,0.000728352806529702,4.109309032986655,-0.2410440803370455,0.2410440803370455,0.24259789934923742,0.24104408033704539,0.0,0.10578931028842643,13862.267303963312,0.06895134799331185,,4.032713329111529,4.042609018830252,0.0526302183682661,4.013879847344471,4.0515468108785875,0.0014770254486522257,0.0014848834698192371,5.864178905033933e-05,0.0014560407539443432,0.0014980101433601082
maturity_short,GCV,30,0,3.86583416281139,0.0010256923711339093,0.0010369365779390224,0.010756642787390493,1.0756642787390495e-06,4.109309032986655,-0.2434748701752647,0.2434748701752647,0.24347695862964314,0.2434748701752649,0.0,0.004064791385520975,15222717.724428654,77.40248471491496,,2734.1707502851004,2713.380973401119,106.995916963371,2695.8827531276656,2772.4587474425352,1.0,1.0,0.0,1.0,1.0
maturity_short,MC,30,0,3.869051843701393,0.04690619345076608,0.05419302197779423,29.371814460837445,0.0029371814460837447,4.109309032986655,-0.24025718928526185,0.24025718928526185,0.2446433491591929,0.24025718928526177,0.0,0.2124366461529533,5305.583109554358,0.034064422076739785,,1.0,1.0,0.0,1.0,1.0,0.0003662663936968597,0.0003685448463466844,1.3891938346670032e-05,0.0003612952274035641,0.0003712375599901553
maturity_short,NCV_SCRATCH,0,30,nan,0.0,nan,nan,nan,4.109309032986655,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
